,price,rooms,address
0,"$1,195 - 1,990",1-3 Beds,"1720 Summit Crossing Ln, College Station, TX 77845"
0,"$800 - 1,375",Studio - 4 Beds,"1501 Northpoint Ln, College Station, TX 77840"
0,$635 - 795,2-4 Beds,"1725 Harvey Mitchell Pky S, College Station, TX 77840"
0,"$1,217 - 2,943",1-3 Beds,"3210 Harvey Rd, College Station, TX 77845"
0,"$1,144 - 1,544",1-2 Beds,"2201 Crescent Pointe Pky, College Station, TX 77845"
0,"$1,115 - 3,140",1-3 Beds,"1650 Arrington Rd, College Station, TX 77845"
0,$745 - 875,3-4 Beds,"3695 General Pky, College Station, TX 77845"
0,"$950 - 1,224",1-2 Beds,"801 Spring Loop, College Station, TX 77840"
0,"$1,109 - 1,737",2-3 Beds,"2500 Central Park Ln, College Station, TX 77840"
0,"$1,089 - 1,575",1-2 Beds,"1550 Crescent Pointe Pky, College Station, TX 77845"
0,"$916 - 1,196",2 Beds,"603 Southwest Pky, College Station, TX 77840"
0,"$1,024 - 1,500",1-2 Beds,"1501 Copperfield Pky, College Station, TX 77845"
0,"$549 - 1,590",1-4 Beds,"2888 Nash St, Bryan, TX 77802"
0,"$1,070 - 2,858",Studio - 3 Beds,"4050 Eastchester Dr, Bryan, TX 77802"
0,"$1,160 - 1,475",1-2 Beds,"852 N Harvey Mitchell Pky, Bryan, TX 77807"
0,"$992 - 1,147",2-3 Beds,"1828 Sandy Point Rd, Bryan, TX 77807"
0,"$1,105 - 2,623",1-3 Beds,"3150 Finfeather Rd, Bryan, TX 77801"
0,"$984 - 1,334",1-3 Beds,"3780 Copperfield Dr, Bryan, TX 77802"
0,"$1,099 - 2,199",Studio - 6 Beds,"315 College Main St, College Station, TX 77840"
0,"$749 - 1,219",1-4 Beds,"801 Wellborn Rd, College Station, TX 77840"
0,"$1,108 - 1,568",1-3 Beds,"301 Holleman Dr E, College Station, TX 77840"
0,"$699 - 1,718",1-2 Beds,"1800 Holleman Dr, College Station, TX 77840"
0,"$839 - 1,499",Studio - 4 Beds,"410 Stasney St, College Station, TX 77840"
0,"$889 - 1,909",Studio - 6 Beds,"401 1st St, College Station, TX 77840"
0,"$730 - 1,350",1-3 Beds,"1201 Harvey Rd, College Station, TX 77840"
0,"$729 - 1,500",Studio - 3 Beds,"1501 Harvey Rd, College Station, TX 77840"
0,"$690 - 1,270",Studio - 4 Beds,"503 George Bush Dr, College Station, TX 77840"
0,$479 - 499,4 Beds,"400 Southwest Pky, College Station, TX 77840"
0,"$1,159 - 2,085",1-3 Beds,"4340 Decatur Dr, College Station, TX 77845"
0,"$925 - 1,699",1-4 Beds,"501 University Oaks Blvd, College Station, TX 77840"
0,"$875 - 1,399",1-3 Beds,"503 Southwest Pky, College Station, TX 77840"
