,price,rooms,address
0,"$2,083 - 3,788",1-3 Beds,"5421 Lynx Ln, Columbia, MD 21044"
0,"$1,651 - 2,780",1-3 Beds,"5029 Columbia Rd, Columbia, MD 21044"
0,"$1,799 - 4,864",Studio - 3 Beds,"6200 Valencia Ln, Columbia, MD 21044"
0,"$1,715 - 3,380",1-3 Beds,"10300 Hickory Ridge Rd, Columbia, MD 21044"
0,"$1,985 - 3,397",1-2 Beds,"12290 Green Meadow Dr, Columbia, MD 21044"
0,"$1,492 - 1,825",1-3 Beds,"12100 Little Patuxent Pky, Columbia, MD 21044"
0,"$2,418 - 3,379",2 Beds,"5331 Columbia Rd, Columbia, MD 21044"
0,"$1,928 - 3,253",1-3 Beds,"10360 Swift Stream Pl, Columbia, MD 21044"
0,"$1,600 - 2,355",1-3 Beds,"5458 Harpers Farm Rd, Columbia, MD 21044"
0,"$1,815 - 3,679",1-3 Beds,"6900 Tasker Fls, Elkridge, MD 21075"
0,"$1,361 - 2,005",1-2 Beds,"3463 Plum Tree Dr, Ellicott City, MD 21042"
0,"$3,300 - 4,800",3 Beds,"9580 Old Route 108, Ellicott City, MD 21042"
0,"$1,449 - 2,249",1-2 Beds,"3332 N Chatham Rd, Ellicott City, MD 21042"
0,"$1,879 - 2,258",1-2 Beds,"9000 Stebbing Way, Laurel, MD 20723"
0,"$1,827 - 2,691",1-2 Beds,"8151 Robinson Jefferson Dr, Elkridge, MD 21075"
0,"$1,690 - 2,010",1-2 Beds,"10095 Washington Blvd, Laurel, MD 20723"
0,"$1,545 - 3,101",1-3 Beds,"9220 Old Lantern Way, Laurel, MD 20723"
0,"$1,960 - 4,200",1-3 Beds,"5320 Cedar Ln, Columbia, MD 21044"
0,"$1,900 - 3,160",1-2 Beds,"9705 Clocktower Ln, Columbia, MD 21046"
0,"$1,923 - 13,889",Studio - 3 Beds,"10101 Twin Rivers Rd, Columbia, MD 21044"
0,"$1,800 - 2,190",1-2 Beds,"7525 Murray Hill Rd, Columbia, MD 21046"
0,"$1,775 - 2,185",1-2 Beds,"7310 Eden Brook Dr, Columbia, MD 21046"
0,"$1,544 - 2,280",1-3 Beds,"5764 Stevens Forest Rd, Columbia, MD 21045"
0,"$1,793 - 2,736",1-3 Beds,"8600 Cobblefield Dr, Columbia, MD 21045"
0,"$1,790 - 2,515",1-2 Beds,"24 C St, Laurel, MD 20707"
0,"$1,852 - 2,498",1-3 Beds,"6731 Old Waterloo Rd, Elkridge, MD 21075"
0,"$2,074 - 3,174",1-3 Beds,"7030 Gentle Shade Rd, Columbia, MD 21046"
0,"$1,930 - 3,408",1-3 Beds,"12020 Little Patuxent Pky, Columbia, MD 21044"
0,"$1,888 - 2,985",1-2 Beds,"12215 Little Patuxent Pky, Columbia, MD 21044"
0,"$1,754 - 2,774",1-3 Beds,"5351 Harpers Farm Rd, Columbia, MD 21044"
0,"$1,918 - 4,064",Studio - 3 Beds,"6000 Merriweather Dr, Columbia, MD 21044"
0,"$1,894 - 11,204",1-3 Beds,"10000 Town Center Ave, Columbia, MD 21044"
0,"$1,919 - 6,491",1-3 Beds,"11311 Little Patuxent Pky, Columbia, MD 21044"
0,"$1,823 - 5,294",1-5 Beds,"5361 Brook Way, Columbia, MD 21044"
0,"$1,455 - 1,660",1-2 Beds,"8905 Tamar Dr, Columbia, MD 21045"
0,"$1,405 - 2,315",1-3 Beds,"7213-7233 Oakland Mills Rd, Columbia, MD 21046"
0,"$1,103 - 3,200",1-4 Beds,"10401 Twin Rivers Rd, Columbia, MD 21044"
0,"$1,969 - 4,828",1-3 Beds,"4900 Walking Stick Rd, Ellicott City, MD 21043"
0,"$1,938 - 3,966",1-3 Beds,"7811 Shannon's Glen Dr, Jessup, MD 20794"
0,"$1,930 - 2,560",1-2 Beds,"7600 Hearthside Way, Elkridge, MD 21075"
