,price,rooms,address
0,"$1,045 - 1,635",1-3 Beds,"8160 Veterans Pky, Columbus, GA 31909"
0,"$889 - 1,599",1-3 Beds,"6029 Flat Rock Rd, Columbus, GA 31907"
0,"$1,325 - 1,835",1-2 Beds,"6700 River Rd, Columbus, GA 31904"
0,"$1,350 - 3,000",Studio - 3 Beds,"1300 Front Ave, Columbus, GA 31901"
0,"$980 - 1,350",1-2 Beds,"3700 Bridgewater Rd, Columbus, GA 31909"
0,"$950 - 1,321",1-3 Beds,"5300 Woodruff Farm Rd, Columbus, GA 31907"
0,"$830 - 1,282",1-3 Beds,"2444 W Britt David Rd, Columbus, GA 31909"
0,"$1,103 - 2,255",1-3 Beds,"2700 Double Churches Rd, Columbus, GA 31909"
0,"$638 - 1,070",1-3 Beds,"4400 Warm Springs Rd, Columbus, GA 31909"
0,$900,2 Beds,"5960 E Heights Dr, Columbus, GA 31909"
0,"$1,104 - 2,340",1-3 Beds,"8500 Franciscan Woods Dr, Columbus, GA 31909"
0,"$1,225",2 Beds,"4002 Armour Ave, Columbus, GA 31904"
0,"$2,550 - 2,700",3 Beds,"6890 River Rd, Columbus, GA 31904"
0,"$1,032 - 2,202",1-3 Beds,"4402 River Chase Dr, Phenix City, AL 36867"
0,"$945 - 1,045",1-2 Beds,"4570 Saint Marys Rd, Columbus, GA 31907"
0,"$1,300 - 4,000",Studio - 2 Beds,"1339 Front Ave, Columbus, GA 31901"
0,"$1,300 - 2,560",1-2 Beds,"6835 Midland Commons Blvd, Columbus, GA 31909"
0,"$1,258 - 1,908",1-3 Beds,"1700 Fountain Ct, Columbus, GA 31904"
0,"$950 - 1,325",1-2 Beds,"6210 Flat Rock Rd, Columbus, GA 31907"
0,"$1,315 - 1,982",2-3 Beds,"3071 Williams Rd, Columbus, GA 31909"
0,"$999 - 3,460",1-3 Beds,"8272 Dream Boat Dr, Columbus, GA 31909"
0,"$966 - 1,531",1-4 Beds,"1527 3rd Ave, Columbus, GA 31901"
0,"$860 - 1,125",1-3 Beds,"3807 Pembrook Ct, Columbus, GA 31907"
0,"$849 - 1,284",1-3 Beds,"3911 Steam Mill Rd, Columbus, GA 31907"
0,"$880 - 1,415",1-3 Beds,"6515 Thea Ln, Columbus, GA 31907"
0,"$699 - 1,249",Studio - 3 Beds,"100 Lockwood Ct, Columbus, GA 31906"
0,"$695 - 1,060",Studio - 2 Beds,"510 Broadway, Columbus, GA 31901"
0,"$1,535 - 1,675",Studio - 2 Beds,"1510 6th Ave, Columbus, GA 31901"
0,"$1,279 - 1,319",2-3 Beds,"1400 Boxwood Blvd, Columbus, GA 31906"
0,"$1,040 - 1,815",1-3 Beds,"8400 Veterans Pkwy, Columbus, GA 31909"
0,"$1,105 - 2,035",1-3 Beds,"1448 Grove Park Dr, Columbus, GA 31904"
