,price,rooms,address
0,"$1,875",1 Bed,"1490 Bel Air Dr, Concord, CA 94521"
0,"$2,420 - 6,544",Studio - 2 Beds,"1776 Grant St, Concord, CA 94520"
0,"$2,007 - 6,822",Studio - 2 Beds,"780 Oak Grove Rd, Concord, CA 94518"
0,"$2,150 - 2,850",1-2 Beds,"2520 Ryan Rd, Concord, CA 94518"
0,"$2,495 - 2,935",1-4 Beds,"2925 Monument Blvd, Concord, CA 94520"
0,"$1,499 - 2,329",Studio - 2 Beds,"1220 Monument Blvd, Concord, CA 94520"
0,"$1,942 - 2,078",1 Bed,"100 Boyd Rd, Pleasant Hill, CA 94523"
0,"$1,861 - 2,810",Studio - 2 Beds,"3128 Oak Rd, Walnut Creek, CA 94597"
0,"$2,157 - 3,461",1-2 Beds,"637 Stonebridge Way, Pleasant Hill, CA 94523"
0,"$1,780 - 2,585",Studio - 3 Beds,"1400 Contra Costa Blvd, Pleasant Hill, CA 94523"
0,"$1,780 - 1,865",Studio - 2 Beds,"225 Coggins Dr, Pleasant Hill, CA 94523"
0,"$2,499 - 5,362",Studio - 2 Beds,"3050 Del Hombre Ln, Walnut Creek, CA 94597"
0,"$2,295",2 Beds,"1595 Sunnyvale Ave, Walnut Creek, CA 94597"
0,"$2,330 - 3,210",1 Bed,"2635 Contra Costa Blvd, Pleasant Hill, CA 94523"
0,"$1,750 - 2,300",Studio - 2 Beds,"255 Coggins Dr, Pleasant Hill, CA 94523"
0,"$2,075 - 2,295",2 Beds,"2451 Olivera Rd, Concord, CA 94520"
0,"$1,950 - 2,537",1-2 Beds,"4265 Clayton Rd, Concord, CA 94521"
0,"$2,028 - 7,238",1-3 Beds,"1555 Galindo St, Concord, CA 94520"
0,"$1,885 - 3,415",Studio - 2 Beds,"1905 Concord Blvd, Concord, CA 94520"
0,"$1,762 - 3,276",1-2 Beds,"5255 Clayton Rd, Concord, CA 94521"
0,"$2,125 - 2,200",1 Bed,"400 Longbrook Way, Pleasant Hill, CA 94523"
0,"$2,065 - 5,336",Studio - 3 Beds,"235 Camelback Rd, Pleasant Hill, CA 94523"
0,"$2,732 - 8,473",1-2 Beds,"260 Park Lake Circle, Walnut Creek, CA 94598"
0,"$2,105 - 4,705",Studio - 3 Beds,"1001 Harvey Dr, Walnut Creek, CA 94597"
0,"$1,800 - 2,550",Studio - 2 Beds,"100 Ellinwood Dr, Pleasant Hill, CA 94523"
0,"$1,795 - 2,635",1 Bed,"4220 Clayton Rd, Concord, CA 94521"
0,"$1,695 - 1,850",Studio - 1 Bed,"2100 Pacheco St, Concord, CA 94520"
0,"$1,975",1 Bed,"330 Golf Club Rd, Pleasant Hill, CA 94523"
0,"$1,798 - 2,640",Studio - 2 Beds,"111 Cleaveland Rd, Pleasant Hill, CA 94523"
0,"$1,798 - 2,640",Studio - 2 Beds,"150 Cleaveland Rd, Pleasant Hill, CA 94523"
0,"$2,295",2 Beds,"1841 Laguna St, Concord, CA 94520"
0,"$2,605 - 3,589",2-3 Beds,"3278 Tioga Rd, Concord, CA 94518"
0,"$1,895 - 2,395",1-2 Beds,"1621 Detroit Ave, Concord, CA 94520"
0,"$1,950",1-3 Beds,"2055 Fox Way, Concord, CA 94518"
0,"$1,816 - 2,753",1-3 Beds,"1441 Detroit Ave, Concord, CA 94520"
0,"$1,750 - 1,775",1 Bed,"1621 Adelaide St, Concord, CA 94520"
0,"$1,975 - 2,350",1-2 Beds,"1704 Clayton Rd, Concord, CA 94520"
0,"$1,815 - 2,250",1-2 Beds,"1500 Pine St, Concord, CA 94520"
0,"$1,850 - 2,200",1-2 Beds,"3200-3205 Northwood Dr, Concord, CA 94520"
0,"$2,255 - 2,625",1-2 Beds,"1070 San Miguel Rd, Concord, CA 94518"
