,price,rooms,address
0,"$2,220 - 3,661",1-3 Beds,"2804 Fashion Dr, Corona, CA 92883"
0,"$1,827 - 3,638",1-2 Beds,"2365 Promenade Ave, Corona, CA 92879"
0,"$2,199 - 2,400",2 Beds,"1261 Ryan Ln, Corona, CA 92882"
0,"$1,815 - 2,780",1-2 Beds,"3957 Pierce St, Riverside, CA 92505"
0,"$2,663 - 10,000",2-3 Beds,"451 Wellesley Dr, Corona, CA 92879"
0,"$1,795 - 2,575",1-2 Beds,"1171 E Baywood Dr, Corona, CA 92881"
0,"$1,757 - 2,571",1-2 Beds,"650 Ebbcreek Dr, Corona, CA 92880"
0,"$1,912 - 3,226",Studio - 3 Beds,"1700 Via Pacifica Via, Corona, CA 92882"
0,"$2,187 - 2,919",1-2 Beds,"2708 Blue Springs Dr, Corona, CA 92883"
0,"$2,099 - 2,875",1-2 Beds,"1456 Serfas Club Dr, Corona, CA 92882"
0,"$2,296 - 10,000",1-3 Beds,"2225 Collett Ave, Corona, CA 92879"
0,"$2,155 - 3,580",1-2 Beds,"418 N Main St, Corona, CA 92880"
0,"$2,399 - 3,899",1-3 Beds,"2300 Palisades Dr, Corona, CA 92882"
0,"$2,100 - 3,135",1-2 Beds,"111 W Harrison St, Corona, CA 92880"
0,"$2,695 - 3,095",2-3 Beds,"1251 Doris Ln, Corona, CA 92882"
0,"$1,666 - 2,573",1-2 Beds,"1885 San Remo Dr, Corona, CA 92882"
0,"$1,583 - 2,755",1-3 Beds,"730 Via de Luna, Via, Corona, CA 92882"
0,"$2,002 - 7,688",1-3 Beds,"11711 Collett Ave, Riverside, CA 92505"
0,"$2,125 - 3,425",1-3 Beds,"211 W Rincon St, Corona, CA 92880"
0,"$1,929 - 4,692",1-3 Beds,"2178 Stoneridge Dr, Corona, CA 92879"
0,"$1,969 - 2,698",1-2 Beds,"2235 Treehouse Ln, Corona, CA 92879"
0,"$1,975 - 2,425",1-2 Beds,"1211 W 6th St, Corona, CA 92882"
0,"$1,895 - 2,795",1-3 Beds,"788 Springwood St, Corona, CA 92882"
0,"$2,138 - 3,198",1-2 Beds,"4593 Temescal Canyon Rd, Corona, CA 92883"
0,"$2,478 - 3,599",2-3 Beds,"2215 E Lakeside Pl, Corona, CA 92879"
0,"$1,500 - 1,950",1-2 Beds,"1325 W 8th St, Corona, CA 92882"
0,"$2,059 - 2,680",1-2 Beds,"4725 Sierra Vista Ave, Riverside, CA 92505"
