,price,rooms,address
0,"$2,625 - 4,275",1-3 Beds,"2345 Newport Blvd, Costa Mesa, CA 92627"
0,"$2,245 - 3,855",1-3 Beds,"655 Baker St, Costa Mesa, CA 92626"
0,"$2,225 - 3,355",1-2 Beds,"425 Merrimac Way, Costa Mesa, CA 92626"
0,"$2,052 - 4,261",Studio - 3 Beds,"2775 Mesa Verde Dr E, Costa Mesa, CA 92626"
0,"$1,844 - 3,923",Studio - 3 Beds,"2700 Peterson Pl, Costa Mesa, CA 92626"
0,"$2,465 - 3,050",1-2 Beds,"1300 Adams Ave, Costa Mesa, CA 92626"
0,"$2,195 - 3,390",Studio - 2 Beds,"2855 Pinecreek Dr, Costa Mesa, CA 92626"
0,"$2,099 - 2,596",1-2 Beds,"1330 SE Bristol St, Costa Mesa, CA 92626"
0,"$2,490 - 5,250",1-2 Beds,"400 Enclave Cir, Costa Mesa, CA 92626"
0,"$2,111 - 7,769",Studio - 2 Beds,"635 W Baker St, Costa Mesa, CA 92626"
0,"$2,245 - 3,860",1-3 Beds,"1000 S Coast Dr, Costa Mesa, CA 92626"
0,"$2,036 - 3,273",Studio - 3 Beds,"3700 Plaza Dr, Santa Ana, CA 92704"
0,"$1,664 - 2,985",Studio - 2 Beds,"880 Irvine Ave, Newport Beach, CA 92663"
0,"$3,463 - 4,275",2-3 Beds,"18880 Douglas, Irvine, CA 92612"
0,"$2,799 - 4,035",Studio - 2 Beds,"651 Sunflower Ave, Santa Ana, CA 92707"
0,"$2,630 - 3,055",2 Beds,"805 W Stevens Ave, Santa Ana, CA 92707"
0,"$2,270 - 3,728",1-3 Beds,"21551 Brookhurst St, Huntington Beach, CA 92646"
0,"$2,495 - 2,995",1-2 Beds,"1691 Mesa Dr, Newport Beach, CA 92660"
0,"$2,300 - 3,280",1-2 Beds,"1601 W MacArthur Blvd, Santa Ana, CA 92704"
0,"$2,220 - 2,990",1-2 Beds,"21661 Brookhurst St, Huntington Beach, CA 92646"
0,"$2,675 - 4,460",1-2 Beds,"3700 S Santa Fe Village Dr, Santa Ana, CA 92704"
0,"$2,695 - 3,925",1-2 Beds,"3600 Aspen Village Way, Santa Ana, CA 92704"
0,"$2,100 - 2,850",1-2 Beds,"3400 S Main St, Santa Ana, CA 92707"
0,"$2,781 - 5,130",Studio - 2 Beds,"580 Anton Blvd, Costa Mesa, CA 92626"
0,"$2,668 - 4,823",Studio - 3 Beds,"125 Baker St E, Costa Mesa, CA 92626"
0,"$2,425 - 2,945",Studio - 2 Beds,"845 Paularino Ave, Costa Mesa, CA 92626"
0,"$2,283 - 5,478",1-2 Beds,"2400 Harbor Blvd, Costa Mesa, CA 92626"
0,"$2,662 - 4,277",1-2 Beds,"1850 Whittier Ave, Costa Mesa, CA 92627"
0,"$2,500 - 2,650",2 Beds,"530 W Wilson St, Costa Mesa, CA 92627"
0,"$2,965 - 4,795",Studio - 3 Beds,"2300 DuPont Dr, Irvine, CA 92612"
0,"$2,605 - 4,165",1-3 Beds,"100 E MacArthur Blvd, Santa Ana, CA 92707"
0,"$2,195 - 2,545",Studio - 1 Bed,"1433 Superior Ave, Newport Beach, CA 92663"
0,"$2,449 - 9,748",1-2 Beds,"1561 Mesa Dr, Newport Beach, CA 92660"
0,"$2,325 - 3,070",1-2 Beds,"555 Paularino Ave, Costa Mesa, CA 92626"
0,"$2,235 - 2,550",Studio - 1 Bed,"126 E 18th St, Costa Mesa, CA 92627"
0,"$2,135 - 3,195",Studio - 2 Beds,"2000 Parsons St, Costa Mesa, CA 92627"
0,"$2,299 - 3,938",Studio - 2 Beds,"3400 Avenue of the Arts, Costa Mesa, CA 92626"
0,"$2,995 - 4,495",1-2 Beds,"2277 Harbor Blvd, Costa Mesa, CA 92626"
0,"$2,188 - 3,587",1-3 Beds,"1250 Adams Ave, Costa Mesa, CA 92626"
0,"$1,950 - 2,850",Studio - 2 Beds,"825 Center St, Costa Mesa, CA 92627"
