,price,rooms,address
0,"$2,150 - 14,835",Studio - 3 Beds,"1601 Bryan St, Dallas, TX 75201"
0,"$1,085 - 2,279",1-3 Beds,"7900 Churchill Way, Dallas, TX 75251"
0,"$1,674 - 4,378",Studio - 2 Beds,"1400 Hi Line Dr, Dallas, TX 75207"
0,"$1,265 - 2,695",1-2 Beds,"13301 Galleria Pl, Dallas, TX 75244"
0,"$1,450 - 3,179",Studio - 2 Beds,"1900 Hi Line Dr, Dallas, TX 75207"
0,"$1,630 - 4,530",Studio - 3 Beds,"2320 N Houston St, Dallas, TX 75219"
0,"$865 - 1,950",1-3 Beds,"8401 Skillman St, Dallas, TX 75231"
0,"$1,375 - 2,925",1-3 Beds,"1330 Winding Brook Ln, Dallas, TX 75208"
0,"$1,092 - 6,400",Studio - 3 Beds,"5605 Village Glen Dr, Dallas, TX 75206"
0,"$1,465 - 2,505",1-2 Beds,"13500 Noel Rd, Dallas, TX 75240"
0,"$1,095",2 Beds,"2728 N Buckner Blvd, Dallas, TX 75228"
0,"$1,299 - 1,555",1-2 Beds,"3626 Villaverde Ave, Dallas, TX 75234"
0,"$2,317 - 3,372",2 Beds,"6606 Mapleshade Ln, Dallas, TX 75252"
0,"$1,930 - 6,423",Studio - 3 Beds,"2650-2650 Cedar Springs Rd, Dallas, TX 75201"
0,"$1,180 - 3,110",Studio - 2 Beds,"1210 Botham Jean Blvd, Dallas, TX 75215"
0,"$1,195 - 6,074",1-3 Beds,"3702 Frankford Rd, Dallas, TX 75287"
0,"$799 - 1,559",1-2 Beds,"9750 Forest Ln, Dallas, TX 75243"
0,"$869 - 1,369",1-2 Beds,"12800 Jupiter Rd, Dallas, TX 75238"
0,"$2,148 - 5,206",1-2 Beds,"6848 Bandera Ave, Dallas, TX 75225"
0,"$1,648 - 6,969",Studio - 3 Beds,"1919 Jackson St, Dallas, TX 75201"
0,"$1,473 - 2,499",1-2 Beds,"14650 Landmark Blvd, Dallas, TX 75254"
0,"$2,230 - 16,668",1-3 Beds,"1800 N Field St, Dallas, TX 75202"
0,"$1,779 - 11,857",Studio - 3 Beds,"300 Pearl St, Dallas, TX 75201"
0,"$1,345 - 3,471",Studio - 3 Beds,"2022 N Beckley Ave, Dallas, TX 75208"
0,"$1,175 - 1,595",Studio - 1 Bed,"16060 Dallas Pky, Dallas, TX 75248"
0,"$1,949 - 4,315",1-2 Beds,"1601 Elm St, Dallas, TX 75201"
0,"$1,326 - 2,790",1-3 Beds,"3301 President George Bush Tpke, Dallas, TX 75287"
0,"$1,370 - 3,475",Studio - 3 Beds,"1010 Singleton Blvd, Dallas, TX 75212"
0,"$1,557 - 3,495",Studio - 3 Beds,"2275 Hawes Ave, Dallas, TX 75235"
0,"$2,449 - 7,160",1-2 Beds,"1401 Elm St, Dallas, TX 75202"
0,"$2,344 - 8,500",1-2 Beds,"2500 N Houston St, Dallas, TX 75219"
0,"$1,440 - 3,946",1-3 Beds,"5353 W Las Colinas Blvd, Irving, TX 75039"
0,"$1,316 - 2,755",Studio - 2 Beds,"4216 Sloane St, Carrollton, TX 75007"
0,"$1,295 - 2,205",Studio - 2 Beds,"3951 Dechman Dr, Grand Prairie, TX 75052"
0,"$1,470 - 8,553",Studio - 3 Beds,"1900 Knightsbridge Rd, Farmers Branch, TX 75234"
0,"$1,354 - 3,134",Studio - 3 Beds,"2400 Summer Lee Dr, Rockwall, TX 75032"
0,"$1,639 - 3,107",1-3 Beds,"11900 Commerce St, Farmers Branch, TX 75234"
0,"$1,299 - 2,658",Studio - 3 Beds,"4600 Main St, Rowlett, TX 75088"
0,"$1,799 - 3,770",1-3 Beds,"4020 McEwen Rd, Farmers Branch, TX 75244"
0,"$760 - 1,695",1-3 Beds,"11515 Leisure Dr, Dallas, TX 75243"
