,price,rooms,address
0,"$1,035 - 2,100",1-4 Beds,"6350 Griffin Rd, Davie, FL 33314"
0,"$2,365 - 3,205",1-2 Beds,"3991 NW 82nd Ave, Cooper City, FL 33024"
0,"$2,299 - 4,634",1-2 Beds,"2500 SW 22nd Terrace, Fort Lauderdale, FL 33312"
0,"$2,430 - 3,605",1-3 Beds,"700 SW 78th Ave, Plantation, FL 33324"
0,"$1,545 - 2,350",Studio - 2 Beds,"4000 N 56th Ave, Hollywood, FL 33021"
0,"$2,247 - 3,906",1-3 Beds,"5971 Toscana Dr, Davie, FL 33314"
0,"$2,314 - 9,156",Studio - 3 Beds,"3400 Davie Rd, Davie, FL 33314"
0,"$1,863 - 5,633",1-3 Beds,"11000 Cameron Ct, Davie, FL 33324"
0,"$2,111 - 3,908",1-3 Beds,"7025 Stirling Rd, Davie, FL 33314"
0,"$2,210 - 3,708",1-3 Beds,"5500 S University Dr, Davie, FL 33328"
0,"$2,500 - 4,102",1-3 Beds,"8021 Peters Rd, Plantation, FL 33324"
0,"$2,523 - 3,825",1-3 Beds,"1301 SW 80th Ter, Plantation, FL 33324"
0,"$2,206 - 5,360",1-3 Beds,"1650 SW 78th Ave, Plantation, FL 33324"
0,"$2,100 - 3,684",1-3 Beds,"13500 NW 3rd St, Plantation, FL 33325"
0,"$1,371 - 1,987",Studio - 2 Beds,"7400 Stirling Rd, Hollywood, FL 33024"
0,"$2,280 - 3,303",1-3 Beds,"7850 Pasadena Blvd, Pembroke Pines, FL 33024"
0,"$1,933 - 2,881",1-3 Beds,"8210 SW 12th St, Plantation, Fl 33324"
0,"$2,007 - 4,667",Studio - 3 Beds,"5800 Reese Rd, Davie, FL 33314"
0,"$2,299 - 2,387",2 Beds,"6857 College Ct, Davie, FL 33317"
0,"$2,081 - 3,505",1-3 Beds,"6300 SW 24th Pl, Davie, FL 33314"
0,"$1,925 - 3,175",1-2 Beds,"2750 SW 73rd Way, Davie, FL 33314"
0,"$1,869 - 5,746",1-3 Beds,"3711 State Road 84, Davie, FL 33312"
0,"$1,650 - 2,609",1-2 Beds,"4199 SW 67th Ave, Davie, FL 33314"
0,"$2,024 - 6,254",1-4 Beds,"6351 Palm Trace Landings Dr, Davie, FL 33314"
0,"$2,390 - 3,775",1-3 Beds,"16000 S Post Rd, Weston, FL 33331"
0,"$2,345 - 3,428",1-3 Beds,"16700 Sheridan St, Pembroke Pines, FL 33028"
0,"$2,240 - 5,326",1-3 Beds,"1202 Fairlake Blvd, Weston, FL 33326"
0,"$2,119 - 3,572",Studio - 2 Beds,"3890 Davie Rd, Davie, FL 33314"
0,"$1,734 - 2,914",1 Bed,"2571 SW 79th Ave, Davie, FL 33324"
0,"$3,548 - 6,060",2-3 Beds,"4781 SW 39th Way, Fort Lauderdale, FL 33312"
0,"$2,301 - 3,917",1-3 Beds,"2940 Solano Ave, Cooper City, FL 33024"
0,"$2,015 - 4,237",1-3 Beds,"200 Commodore Dr, Plantation, FL 33325"
0,"$1,695 - 2,295",1-2 Beds,"7550-7580 Stirling Rd, Hollywood, FL 33024"
0,"$2,150",2 Beds,"4150 Davie Road Ext, Hollywood, FL 33024"
0,"$1,500 - 2,275",1-2 Beds,"3681-3801 SW 60th Ter, Fort Lauderdale, FL 33314"
0,"$1,600",1 Bed,"Davie, FL 33324"
0,"$3,500 /mo","4 Beds, 2 Baths","Fort Lauderdale, FL 33317"
0,"$3,361",2 Beds,"Plantation, FL 33325"
0,"$3,766",2 Beds,"Plantation, FL 33325"
