,price,rooms,address
0,"$1,490 - 2,400",1-3 Beds,"3755 E McKinney St, Denton, TX 76208"
0,"$1,849 - 2,049",1-3 Beds,"1851 Brinker Rd, Denton, TX 76208"
0,"$1,311 - 3,682",1-3 Beds,"2250 Hunter's Creek rd, Denton, TX 76210"
0,"$1,352 - 2,045",1-2 Beds,"3701 Prominence Pky, Denton, TX 76208"
0,"$1,405 - 2,529",Studio - 2 Beds,"903 Avenue C, Denton, TX 76201"
0,"$1,326 - 2,932",1-3 Beds,"1501 Northstar Rd, Denton, TX 76208"
0,"$1,050 - 1,475",1-2 Beds,"1610 E McKinney St, Denton, TX 76209"
0,"$1,325 - 1,725",1-3 Beds,"3202 Unicorn Lake Blvd, Denton, TX 76210"
0,"$1,035 - 2,043",1-3 Beds,"1810 Teasley Ln, Denton, TX 76205"
0,"$1,295 - 1,395",2 Beds,"2429-2431 Stella St, Denton, TX 76201"
0,"$1,176 - 1,850",1-2 Beds,"5201 Par Dr, Denton, TX 76208"
0,"$1,475 - 1,845",1-3 Beds,"1555 Nottingham Dr, Denton, TX 76209"
0,"$779 - 2,367",1-3 Beds,"1407 Bernard St, Denton, TX 76201"
0,"$1,345 - 1,985",1-2 Beds,"3925 N Elm St, Denton, TX 76207"
0,"$1,308 - 1,899",1-2 Beds,"2700 E McKinney St, Denton, TX 76209"
0,"$973 - 2,783",1-3 Beds,"3500 N Bonnie Brae St, Denton, TX 76207"
0,"$1,275 - 2,995",1-2 Beds,"3200 W Windsor Dr, Denton, TX 76207"
0,"$1,395 - 2,485",1-3 Beds,"3909 N Loop 288, Denton, TX 76208"
0,"$1,304 - 2,635",1-2 Beds,"2951 Picadilly Ln, Denton, TX 76207"
0,"$1,320 - 2,573",1-3 Beds,"3130 Heritage Trail Blvd, Denton, TX 76201"
0,"$1,324 - 2,449",1-3 Beds,"1501 Mockingbird Ln, Denton, TX 76209"
0,"$1,693 - 2,749",1-3 Beds,"2800 N Bonnie Brae St, Denton, TX 76207"
0,"$1,350 - 2,800",1-3 Beds,"1735 North Star Rd, Denton, TX 76208"
0,Call for Rent,1-2 Beds,"4005 N Elm St, Denton, TX 76207"
0,"$1,435 - 2,495",Studio - 2 Beds,"1101 Avenue C, Denton, TX 76201"
0,"$1,350 - 1,900",1-3 Beds,"3200 S Interstate 35 E, Denton, TX 76210"
0,"$1,325 - 2,695",1-3 Beds,"612-616 E Hickory St, Denton, TX 76205"
0,"$1,278 - 1,546",Studio - 3 Beds,"315 S Locust St, Denton, TX 76201"
0,"$1,298 - 2,088",1-3 Beds,"500 S Interstate 35 E, Denton, TX 76205"
0,"$1,329 - 2,084",1-2 Beds,"6651 I35E, Denton, TX 76208"
0,"$1,150 - 1,835",1-2 Beds,"321 W Hickory St, Denton, TX 76201"
0,"$1,545 - 2,370",1-2 Beds,"2401 Linden Dr, Denton, TX 76201"
0,"$2,150 - 4,330",3-4 Beds,"459 Trinity Trl, Denton, TX 76207"
0,"$1,155 - 3,248",1-3 Beds,"2401 E McKinney St, Denton, TX 76209"
0,"$1,249 - 1,596",1-2 Beds,"4200 Stuart Rd, Denton, TX 76207"
0,"$945 - 1,800",Studio - 3 Beds,"1920 N Ruddell St, Denton, TX 76209"
0,"$1,250 - 2,500",Studio - 2 Beds,"3235 Heritage Trail Blvd, Denton, TX 76201"
0,"$1,295 - 1,995",1-3 Beds,"712 S Elm St, Denton, TX 76201"
0,"$2,145 - 2,295",2-3 Beds,"4405 E Pockrus Paige Rd, Denton, TX 76208"
0,"$1,236 - 3,709",1-3 Beds,"3232 N Locust St, Denton, TX 76207"
