,price,rooms,address
0,"$1,424 - 3,525",Studio - 3 Beds,"1590 Grove St, Denver, CO 80204"
0,"$1,650 - 2,030",Studio - 2 Beds,"1780 Marion St, Denver, CO 80218"
0,"$1,733 - 5,540",Studio - 2 Beds,"1350 40th St, Denver, CO 80205"
0,"$1,145 - 4,701",Studio - 3 Beds,"2130 Arapahoe St, Denver, CO 80205"
0,Call for Rent,Studio - 3 Beds,"4150 Jason St, Denver, CO 80211"
0,"$1,773 - 3,833",1-3 Beds,"9590 E Northfield Blvd, Denver, CO 80238"
0,"$1,545 - 4,355",1-2 Beds,"6223 N Panasonic Way, Denver, CO 80249"
0,"$1,885 - 3,894",Studio - 2 Beds,"2501 W 26th Ave, Denver, CO 80211"
0,"$1,585 - 3,370",Studio - 2 Beds,"505 N Lipan St, Denver, CO 80204"
0,Call for Rent,1-2 Beds,"18591 E 61st Ave, Denver, CO 80249"
0,"$1,799 - 3,335",1-3 Beds,"18490 E 51st Ave, Denver, CO 80249"
0,"$1,648 - 3,763",Studio - 3 Beds,"3000 W Bates Ave, Denver, CO 80236"
0,"$1,995 - 2,800",1-2 Beds,"5256 N Federal Blvd, Denver, CO 80221"
0,"$1,770 - 2,745",1-2 Beds,"4607 Xenia St, Denver, CO 80238"
0,"$1,175 - 1,936",1-2 Beds,"888-888 S Oneida St, Denver, CO 80224"
0,"$1,111 - 1,991",Studio - 2 Beds,"10700 E Dartmouth Ave, Denver, CO 80014"
0,"$1,108 - 1,724",1-2 Beds,"10225 E Girard Ave, Denver, CO 80231"
0,"$1,380 - 1,747",1-2 Beds,"3550 S Kendall St, Denver, CO 80235"
0,"$1,533 - 5,597",Studio - 2 Beds,"2450 S University Blvd, Denver, CO 80210"
0,"$1,645 - 2,650",1-3 Beds,"16505 Green Valley Ranch Blvd, Denver, CO 80239"
0,"$1,505 - 3,925",Studio - 3 Beds,"2180 S Colorado Blvd, Denver, CO 80222"
0,"$1,620 - 2,555",Studio - 2 Beds,"9501 E 23rd Ave, Aurora, CO 80010"
0,"$1,770 - 3,054",Studio - 2 Beds,"6273 W Jewell Ave, Lakewood, CO 80232"
0,"$1,695 - 2,785",1-3 Beds,"19151 E 65th Ave, Aurora, CO 80019"
0,"$1,530 - 3,295",Studio - 3 Beds,"2060 N Chester St, Aurora, CO 80010"
0,"$1,708 - 5,291",Studio - 2 Beds,"3021 S Galapago St, Englewood, CO 80110"
0,"$1,854 - 4,516",1-3 Beds,"801 S Cherry St, Denver, CO 80246"
0,"$2,135 - 12,924",Studio - 2 Beds,"1101 E Bayaud Ave, Denver, CO 80209"
0,"$775 - 4,786",2-4 Beds,"1051 14th St, Denver, CO 80202"
0,"$2,234 - 6,335",Studio - 2 Beds,"100 Steele St, Denver, CO 80206"
0,"$1,404 - 1,734",1-2 Beds,"1250 S Clermont St, Denver, CO 80246"
0,"$1,207 - 3,158",Studio - 2 Beds,"3300 S Tamarac Dr, Denver, CO 80231"
0,"$1,671 - 2,340",1-2 Beds,"3400 S Lowell Blvd, Denver, CO 80236"
0,"$1,507 - 6,223",Studio - 2 Beds,"1661 Market St, Denver, CO 80202"
0,"$1,496 - 2,917",Studio - 2 Beds,"3550 W 38th Ave, Denver, CO 80211"
0,"$2,850 - 2,925",2-3 Beds,"8500 E Mississippi Ave, Denver, CO 80247"
0,"$1,499",Studio - 3 Beds,"2560 Welton St, Denver, CO 80205"
0,"$2,101 - 5,125",Studio - 2 Beds,"1750 Little Raven St, Denver, CO 80202"
0,"$1,295",Studio - 1 Bed,"1515 Clermont St, Denver, CO 80220"
0,"$3,141 - 10,491",Studio - 3 Beds,"1959 Wewatta St, Denver, CO 80202"
