,price,rooms,address
0,"$1,031 - 2,635",Studio - 2 Beds,"201 SE 6th St, Des Moines, IA 50309"
0,"$875 - 2,015",Studio - 2 Beds,"2530 University Ave, Des Moines, IA 50311"
0,"$691 - 1,760",Studio - 2 Beds,"405 6th Ave, Des Moines, IA 50309"
0,"$945 - 1,360",1-2 Beds,"4400 Park Ave, Des Moines, IA 50321"
0,"$900 - 2,455",Studio - 3 Beds,"550 SW 9th St, Des Moines, IA 50309"
0,"$894 - 1,351",Studio - 2 Beds,"3407 Grand Ave, Des Moines, IA 50312"
0,"$995 - 4,455",Studio - 3 Beds,"225 E Center St, Des Moines, IA 50309"
0,"$995 - 1,595",1-2 Beds,"300 SW 5th St, Des Moines, IA 50309"
0,"$1,158 - 1,705",1-3 Beds,"604 Locust St, Des Moines, IA 50309"
0,"$1,021 - 2,573",Studio - 2 Beds,"103 SW 3rd St, Des Moines, IA 50309"
0,"$1,215 - 1,987",1-3 Beds,"415 SW 11th St, Des Moines, IA 50309"
0,"$1,060 - 3,070",Studio - 2 Beds,"2301 Ingersoll Ave, Des Moines, IA 50312"
0,"$1,269 - 2,059",1-3 Beds,"922 8th St, Des Moines, IA 50309"
0,"$1,278 - 2,463",1-2 Beds,"400 SW 11th St, Des Moines, IA 50309"
0,"$899 - 2,100",Studio - 2 Beds,"717 Locust St, Des Moines, IA 50309"
0,"$850 - 3,405",Studio - 4 Beds,"210 SW 11th St, Des Moines, IA 50309"
0,"$895 - 1,205",Studio - 2 Beds,"615 Park St, Des Moines, IA 50309"
0,"$897 - 1,747",Studio - 2 Beds,"660 E 5th St, Des Moines, IA 50309"
0,$790 - 955,1-2 Beds,"5413 Aurora Ave, Des Moines, IA 50310"
0,"$775 - 1,125",1-2 Beds,"2400 Hickman Rd, Des Moines, IA 50310"
0,"$855 - 1,465",Studio - 2 Beds,"218 6th Ave, Des Moines, IA 50309"
0,"$825 - 1,435",Studio - 3 Beds,"3000 Grand Ave, Des Moines, IA 50312"
0,$805 - 990,1-2 Beds,"1201 Office Park Rd, West Des Moines, IA 50265"
0,"$1,285 - 1,920",1-2 Beds,"1601 High St, Des Moines, IA 50309"
0,"$928 - 1,781",Studio - 2 Beds,"1400 Walnut St, Des Moines, IA 50309"
0,"$999 - 1,795",Studio - 2 Beds,"915 Mulberry St, Des Moines, IA 50309"
0,"$820 - 1,806",Studio - 2 Beds,"601 E Vine St, Des Moines, IA 50309"
0,"$1,195 - 3,505",1-4 Beds,"220 Maple St, Des Moines, IA 50309"
0,"$885 - 1,725",1-2 Beds,"708-712 SE 6th St, Des Moines, IA 50309"
0,"$850 - 3,270",Studio - 3 Beds,"240 E Walnut St, Des Moines, IA 50309"
0,$740 - 880,1-2 Beds,"2101-2111 E Caulder Ave, Des Moines, IA 50320"
0,"$1,900 - 2,889",2-3 Beds,"555 SW 7th St, Des Moines, IA 50309"
0,"$1,148 - 2,591",1-2 Beds,"200 10th St, Des Moines, IA 50309"
0,"$818 - 1,902",Studio - 2 Beds,"202 4th St, Des Moines, IA 50309"
0,"$2,495 - 2,795",2 Beds,"1201 Center St, Des Moines, IA 50309"
0,"$1,018 - 1,198",1-2 Beds,"1405 SE 1st St, Des Moines, IA 50315"
0,"$850 - 2,313",Studio - 2 Beds,"121 12th St, Des Moines, IA 50309"
0,"$825 - 1,795",Studio - 3 Beds,"340 SW 5th St, Des Moines, IA 50309"
0,"$900 - 4,800",Studio - 3 Beds,"3707 Grand Ave, Des Moines, IA 50312"
0,"$1,020 - 1,385",1-2 Beds,"900 65th St, Des Moines, IA 50324"
