,price,rooms,address
0,"$1,360 - 1,990",1-2 Beds,"3700 Meriwether Dr, Durham, NC 27704"
0,"$950 - 1,725",Studio - 2 Beds,"1500 Duke University Rd, Durham, NC 27701"
0,"$1,230 - 1,890",1-3 Beds,"2920 Chapel Hill Rd, Durham, NC 27707"
0,"$1,398 - 7,651",1-3 Beds,"240 Ivy Meadow Ln, Durham, NC 27707"
0,"$1,265 - 1,830",1-2 Beds,"1315 Morreene Rd, Durham, NC 27705"
0,"$1,278 - 2,790",Studio - 3 Beds,"260 Leigh Farm Rd, Durham, NC 27707"
0,"$1,150 - 3,212",Studio - 3 Beds,"100 Rose Garden Ln, Durham, NC 27707"
0,"$1,099 - 1,629",1-2 Beds,"700 Morreene Rd, Durham, NC 27705"
0,"$1,269 - 1,499",2-3 Beds,"3004 Ivey Wood Ln, Durham, NC 27703"
0,"$975 - 1,550",1-3 Beds,"901 Chalk Level Rd, Durham, NC 27704"
0,"$980 - 1,945",1-2 Beds,"311 S Lasalle St, Durham, NC 27705"
0,"$1,695 - 3,802",Studio - 3 Beds,"3806 University Dr, Durham, NC 27707"
0,"$1,355 - 2,472",1-2 Beds,"3818 Page Rd, Durham, NC 27703"
0,"$1,658 - 2,468",1-3 Beds,"2031 Honeycutt Dr, Durham, NC 27707"
0,"$950 - 1,700",1-3 Beds,"4230 Garrett Rd, Durham, NC 27707"
0,"$1,100 - 2,200",1-3 Beds,"1400 Wyldewood Rd, Durham, NC 27704"
0,"$1,215 - 2,430",1-2 Beds,"100 Pinegate Cir, Chapel Hill, NC 27514"
0,"$990 - 2,310",Studio - 3 Beds,"4512 Emerald Forest Dr, Durham, NC 27713"
0,"$1,448 - 1,923",1-3 Beds,"1400 Laurel Springs Dr, Durham, NC 27713"
0,"$1,295 - 1,865",1-3 Beds,"1533 Ellis Rd, Durham, NC 27703"
0,"$1,397 - 3,600",Studio - 2 Beds,"500 S Lasalle St, Durham, NC 27705"
0,"$1,414 - 2,031",2-4 Beds,"205 Kent Ln, Durham, NC 27713"
0,"$1,120 - 1,845",1-3 Beds,"4001 Meriwether Dr, Durham, NC 27704"
0,"$1,113 - 2,635",1-2 Beds,"4600 University Dr, Durham, NC 27707"
0,"$1,083 - 3,808",Studio - 3 Beds,"400 Stone Lion Dr, Durham, NC 27703"
0,"$1,550 - 1,950",2-3 Beds,"100 Millspring Dr, Durham, NC 27705"
0,"$1,130 - 1,750",1-3 Beds,"200 Edinborough Dr, Durham, NC 27703"
0,"$1,785 - 1,980",3-4 Beds,"314 S Woodcrest St, Durham, NC 27703"
0,"$1,205 - 1,556",1-2 Beds,"4405 Waterford Valley Dr, Durham, NC 27713"
0,"$1,303 - 8,180",Studio - 4 Beds,"605 W Main St, Durham, NC 27701"
0,"$1,005 - 2,305",Studio - 2 Beds,"800 White Pine Dr, Durham, NC 27705"
0,"$1,100 - 2,580",1-3 Beds,"5639 Old Chapel Hill Rd, Durham, NC 27707"
0,"$1,399 - 1,759",1-2 Beds,"4800 University Dr, Durham, NC 27707"
0,"$1,384 - 2,278",1-2 Beds,"1000 McQueen Dr, Durham, NC 27705"
0,"$1,292 - 3,596",1-3 Beds,"5512 Sunlight Dr, Durham, NC 27707"
0,"$1,399 - 6,599",1-3 Beds,"400 Advancement Ave, Durham, NC 27703"
0,"$1,265 - 2,745",1-3 Beds,"3130 Hillandale Rd, Durham, NC 27705"
0,"$1,535 - 7,259",Studio - 3 Beds,"511 S Mangum St, Durham, NC 27701"
0,"$1,325 - 2,226",1-3 Beds,"1108 Merrion Ave, Durham, NC 27703"
0,"$1,341 - 2,691",Studio - 2 Beds,"600 Willard St, Durham, NC 27701"
