,price,rooms,address
0,"$1,795 - 2,700",1-3 Beds,"3182 Normandy Woods Dr, Ellicott City, MD 21043"
0,"$1,449 - 2,249",1-2 Beds,"3332 N Chatham Rd, Ellicott City, MD 21042"
0,"$1,340 - 2,940",1-2 Beds,"8732 Town and Country Blvd, Ellicott City, MD 21043"
0,"$1,769 - 4,256",Studio - 2 Beds,"840 Oella Ave, Ellicott City, MD 21043"
0,"$1,361 - 2,005",1-2 Beds,"3463 Plum Tree Dr, Ellicott City, MD 21042"
0,"$3,300 - 4,800",3 Beds,"9580 Old Route 108, Ellicott City, MD 21042"
0,"$2,418 - 3,379",2 Beds,"5331 Columbia Rd, Columbia, MD 21044"
0,"$1,651 - 2,780",1-3 Beds,"5029 Columbia Rd, Columbia, MD 21044"
0,"$1,785 - 2,285",1-2 Beds,"3005 Oak Green Cir, Ellicott City, MD 21043"
0,"$1,850 - 2,350",1-2 Beds,"3421 Sonia Trl, Ellicott City, MD 21043"
0,"$1,560 - 2,831",1-3 Beds,"8 Poolside Ct, Catonsville, MD 21228"
0,"$1,969 - 4,828",1-3 Beds,"4900 Walking Stick Rd, Ellicott City, MD 21043"
0,"$2,061 - 3,035",1-2 Beds,"3113 Pine Orchard Ln, Ellicott City, MD 21042"
0,"$2,150 - 3,050",1-2 Beds,"2760 Turf Valley Golf Rd, Ellicott City, MD 21042"
0,"$2,895 - 3,195",3 Beds,"3252 Pine Orchard Ln, Ellicott City, MD 21042"
0,"$1,575 - 3,045",1-3 Beds,"3050 Milltowne Dr, Ellicott City, MD 21043"
0,"$1,471 - 2,031",1-3 Beds,"7610 Reserve Cir, Windsor Mill, MD 21244"
0,"$1,823 - 5,294",1-5 Beds,"5361 Brook Way, Columbia, MD 21044"
0,"$3,000 - 4,000",1-3 Beds,"2776 Turf Valley Golf Rd, Ellicott City, MD 21042"
0,"$2,193 - 3,524",2-3 Beds,"8120 Randolph Way, Ellicott City, MD 21043"
0,"$2,191 - 3,549",1-3 Beds,"6081 Otterbein Lane, Ellicott City, MD 21043"
0,"$1,075 - 1,525",1-2 Beds,"5320 Dorsey Hall Dr, Ellicott City, MD 21042"
0,"$1,720 - 2,615",1-3 Beds,"5441 Columbia Rd, Columbia, MD 21044"
0,"$1,600 - 1,815",1-2 Beds,"4810 Circling Hunter Dr, Columbia, MD 21045"
0,"$2,924",2 Beds,"Ellicott City, MD 21043"
0,"$2,238",1 Bed,"Ellicott City, MD 21043"
