,price,rooms,address
0,"$1,435 - 2,350",Studio - 3 Beds,"2700 Pierce Pky, Springfield, OR 97477"
0,"$999 - 1,689",Studio - 5 Beds,"754 E 13th Ave, Eugene, OR 97401"
0,"$1,449 - 2,525",1-3 Beds,"1367 Umpqua Ave, Eugene, OR 97408"
0,"$1,525",1-2 Beds,"3109 Kinsrow Ave, Eugene, OR 97401"
0,"$1,330 - 1,905",1-3 Beds,"721 Throne Dr, Eugene, OR 97402"
0,"$1,570 - 1,975",1-2 Beds,"2940 Crescent Ave, Eugene, OR 97408"
0,"$479 - 1,579",1-4 Beds,"90 Commons Dr, Eugene, OR 97401"
0,"$1,755 - 2,233",1-3 Beds,"655 Goodpasture Island Rd, Eugene, OR 97401"
0,$615 - 915,2-4 Beds,"1180 Willamette St, Eugene, OR 97401"
0,"$1,315 - 2,450",Studio - 3 Beds,"2847 Tennyson Ave, Eugene, OR 97408"
0,"$855 - 1,820",Studio - 4 Beds,"480 E Broadway, Eugene, OR 97401"
0,"$1,709 - 2,370",1-2 Beds,"1150 Darlene Ln, Eugene, OR 97401"
0,"$2,050 - 2,745",1-3 Beds,"29774 Willowcreek Rd, Eugene, OR 97402"
0,"$1,649 - 2,900",1-3 Beds,"3610 Goodpasture Loop, Eugene, OR 97401"
0,"$1,699 - 2,900",1-3 Beds,"1440 John Day Dr, Eugene, OR 97408"
0,"$1,669 - 2,198",1-3 Beds,"3655 W 13th Ave, Eugene, OR 97402"
0,"$1,348",1 Bed,"1800 Cal Young Rd, Eugene, OR 97401"
0,"$939 - 1,725",Studio - 4 Beds,"3230 Kinsrow Ave, Eugene, OR 97401"
0,"$1,225 - 1,485",1-2 Beds,"1455 Bailey Hill Rd, Eugene, OR 97402"
0,$990,Studio,"1040 Ferry St, Eugene, OR 97401"
0,"$1,545 - 2,785",Studio - 3 Beds,"2733 Shadow View Dr, Eugene, OR 97408"
0,"$1,350 - 1,800",1-2 Beds,"4075 Aerial Way, Eugene, OR 97402"
0,"$1,650 - 2,120",1-2 Beds,"425 River Rd, Eugene, OR 97404"
0,"$1,691 - 2,728",1-3 Beds,"2850 Shadow View Dr, Eugene, OR 97408"
0,"$1,380 - 2,095",1-3 Beds,"4175 Quest Dr, Eugene, OR 97402"
0,"$1,499 - 1,875",Studio - 2 Beds,"1080 Patterson St, Eugene, OR 97401"
0,"$1,421 - 2,638",Studio - 2 Beds,"1841 Garden Ave, Eugene, OR 97403"
0,"$1,495 - 1,595",2 Beds,"910 Westsprings Dr, Eugene, OR 97404"
0,"$1,105 - 1,800",Studio - 3 Beds,"871 E 13th Ave, Eugene, OR 97401"
0,$665 - 800,Studio - 5 Beds,"751 E 16th Ave, Eugene, OR 97401"
0,"$1,549 - 1,899",Studio - 2 Beds,"2555 Gateway St, Springfield, OR 97477"
0,"$1,299 - 2,099",1-3 Beds,"1890 M St, Springfield, OR 97477"
0,"$1,348 - 1,489",Studio,"1030 Ferry St, Eugene, OR 97401"
0,"$1,341 - 1,786",1-2 Beds,"2555 Willakenzie Rd, Eugene, OR 97401"
0,"$1,529 - 3,450",Studio - 1 Bed,"550 Pearl St, Eugene, OR 97401"
0,"$1,195",2 Beds,"375 Foxtail Dr, Eugene, OR 97405"
0,"$1,295 - 1,895",1-3 Beds,"955 W 17th Pl, Junction City, OR 97448"
0,"$1,395",2 Beds,"2272 W 10th Ave, Junction City, OR 97448"
0,"$1,125 - 1,575",1 Bed,"3033-3105 NE Gateway St, Springfield, OR 97477"
0,"$1,400 - 2,100",1-3 Beds,"375 Marche Chase Dr, Eugene, OR 97401"
