,price,rooms,address
0,"$884 - 1,445",1-3 Beds,"3550 Woodbridge Dr, Evansville, IN 47710"
0,"$1,625 - 3,250",Studio - 2 Beds,"2900 Cozy Ct, Evansville, IN 47720"
0,$540 - 575,4 Beds,"814 Schutte Rd, Evansville, IN 47712"
0,"$1,137 - 1,957",1-3 Beds,"9899 Warrick Trl, Newburgh, IN 47630"
0,"$1,289 - 2,019",1-3 Beds,"N Burkhardt Rd, Evansville, IN 47715"
0,$949 - 999,2-3 Beds,"1900 Pueblo Pass, Evansville, IN 47715"
0,"$695 - 1,300",1-2 Beds,"815 Erie Ave, Evansville, IN 47715"
0,"$550 - 1,510",Studio - 3 Beds,"4700 E Riverside Dr, Evansville, IN 47714"
0,"$1,310 - 2,389",Studio - 2 Beds,"215 Sycamore St, Evansville, IN 47708"
0,"$909 - 1,409",1-2 Beds,"8416 Lincoln Ave, Evansville, IN 47715"
0,"$1,050 - 1,600",1-3 Beds,"200 Kimber Ln, Evansville, IN 47715"
0,"$1,049 - 1,217",1-2 Beds,"700 Reserve Blvd, Evansville, IN 47715"
0,"$1,044 - 1,229",1-3 Beds,"6830 Brooklyn Ct, Evansville, IN 47715"
0,"$751 - 1,495",1-2 Beds,"3213 Tamarack Cor, Evansville, IN 47715"
0,"$959 - 1,569",1-3 Beds,"401 Jeanette Benton Dr, Evansville, IN 47713"
0,"$765 - 1,100",1-2 Beds,"1165 Shiloh Sq, Evansville, IN 47714"
0,"$765 - 1,200",1-2 Beds,"1125 Wellington Dr, Evansville, IN 47710"
0,$875,2 Beds,"700 Chateau Dr, Evansville, IN 47715"
0,"$895 - 1,330",1-3 Beds,"100 Williamsburg, Evansville, IN 47715"
0,"$760 - 1,020",1-3 Beds,"5301 Stonehedge Dr, Evansville, IN 47715"
0,$700 - 900,1-2 Beds,"1407 Howard St, Evansville, IN 47713"
0,"$620 - 1,150",1-3 Beds,"5001 Lakeside Ct, Evansville, IN 47712"
0,$645 - 921,1-2 Beds,"4400 Spring Valley Rd, Evansville, IN 47710"
0,"$800 - 1,670",Studio - 2 Beds,"200 N Main St, Evansville, IN 47711"
0,"$980 - 1,355",1-3 Beds,"3701 Upper Mt Vernon Rd, Evansville, IN 47712"
0,$620 - 924,Studio - 1 Bed,"1290 Hatfield Dr, Evansville, IN 47714"
0,$725 - 945,1-2 Beds,"360 S Rosenberger Ave, Evansville, IN 47712"
0,"$765 - 1,145",1-2 Beds,"1715 Theatre Dr, Evansville, IN 47715"
0,"$1,070 - 1,569",1-3 Beds,"4333 Bell Rd, Newburgh, IN 47630"
0,"$1,052 - 1,141",2 Beds,"1717 Lodge Ave, Evansville, IN 47714"
0,"$910 - 1,075",1-2 Beds,"5001 E Riverside Dr, Evansville, IN 47715"
