,price,rooms,address
0,"$1,236 - 1,783",1-2 Beds,"1001 E Marine View Dr, Everett, WA 98201"
0,"$1,459 - 2,439",Studio - 2 Beds,"3214 Broadway Ave, Everett, WA 98201"
0,"$1,690 - 2,805",1-3 Beds,"10115 Holly Dr, Everett, WA 98204"
0,"$1,540 - 13,871",Studio - 2 Beds,"11030 Evergreen Way, Everett, WA 98204"
0,"$1,450 - 1,650",1-2 Beds,"505 Wood Pl, Everett, WA 98203"
0,"$2,025",2 Beds,"1415 W Casino Rd, Everett, WA 98204"
0,"$1,749 - 2,599",1-3 Beds,"12433 Admiralty Way, Everett, WA 98204"
0,"$1,233 - 10,000",Studio - 2 Beds,"10710 Evergreen Way, Everett, WA 98204"
0,"$1,905 - 2,635",1-3 Beds,"10101 SE 7th Ave, Everett, WA 98208"
0,"$1,750 - 2,966",Studio - 3 Beds,"128 127th St SE, Everett, WA 98208"
0,"$1,925 - 2,435",1-2 Beds,"2721 Wetmore Ave, Everett, WA 98201"
0,"$1,735 - 2,900",1-2 Beds,"3810 Riverfront Blvd, Everett, WA 98201"
0,"$1,833 - 2,829",1-3 Beds,"1901 Merrill Creek Pky, Everett, WA 98203"
0,"$1,575 - 1,740",1-2 Beds,"1111 47th St SE, Everett, WA 98203"
0,"$2,011 - 5,336",1-3 Beds,"11311 19th Ave SE, Everett, WA 98208"
0,"$1,803 - 1,993",1-3 Beds,"4632 Fowler Ave, Everett, WA 98203"
0,"$2,049",2 Beds,"11207 9th Pl W, Everett, WA 98204"
0,"$1,529 - 3,259",1-2 Beds,"120 SE Everett Mall Way, Everett, WA 98208"
0,"$1,755 - 2,395",1-3 Beds,"1701 121st St SE, Everett, WA 98208"
0,"$1,681 - 2,638",1-3 Beds,"8710 5th Ave W, Everett, WA 98204"
0,"$2,126 - 3,825",1-3 Beds,"12115 19th Ave SE, Everett, WA 98208"
0,"$1,536 - 2,981",1-2 Beds,"1020 112th St SW, Everett, WA 98204"
0,"$1,489 - 1,689",1-2 Beds,"702 W Casino Rd, Everett, WA 98204"
0,"$1,415 - 3,050",Studio - 2 Beds,"2701 Rockefeller Ave, Everett, WA 98201"
0,"$1,532 - 2,826",1-3 Beds,"2020 Lake Heights Dr, Everett, WA 98208"
0,"$1,835 - 4,068",2-3 Beds,"805 112th St SE, Everett, WA 98208"
0,"$1,600 - 2,400",Studio - 2 Beds,"2901 Rucker Ave, Everett, WA 98201"
0,"$1,700 - 2,350",Studio - 2 Beds,"2720 Hoyt Ave, Everett, WA 98201"
0,"$1,446 - 2,856",1-3 Beds,"13031 8th Ave W, Everett, WA 98204"
0,"$1,460 - 2,790",1-2 Beds,"420 85th Pl SW, Everett, WA 98204"
0,"$1,311 - 1,894",1-2 Beds,"1011-1211 128th St SW, Everett, WA 98204"
0,"$1,475 - 1,625",Studio - 2 Beds,"1020 W Casino Rd, Everett, WA 98204"
0,"$1,898 - 4,042",1-3 Beds,"14420 N Creek Dr, Mill Creek, WA 98012"
0,"$1,678 - 2,095",1-2 Beds,"120 W Casino Rd, Everett, WA 98204"
0,"$1,945",2 Beds,"747 75th St SE, Everett, WA 98203"
0,"$1,550 - 1,625",1 Bed,"2611 Rockefeller Ave, Everett, WA 98201"
0,"$1,898 - 3,235",1-3 Beds,"1401 Merrill Creek Pky, Everett, WA 98203"
0,"$1,659 - 2,463",1-2 Beds,"11000 16th Ave SE, Everett, WA 98208"
0,"$1,950 - 2,200",1-3 Beds,"525 112th St SE, Everett, WA 98208"
0,"$1,236 - 1,783",1-2 Beds,"9615 Holly Dr, Everett, WA 98204"
