,price,rooms,address
0,"$1,150 - 2,000",1-3 Beds,"4400 Calico Dr S, Fargo, ND 58104"
0,$620 - 860,1-2 Beds,"2542 Villa Dr S, Fargo, ND 58103"
0,"$1,045 - 2,150",Studio - 3 Beds,"4906 28th Ave S, Fargo, ND 58104"
0,$420 - 950,Studio - 2 Beds,"2641 15th St S, Fargo, ND 58103"
0,"$725 - 1,475",1-3 Beds,"1704 Dakota Dr N, Fargo, ND 58102"
0,"$415 - 1,015",Studio - 2 Beds,"1132 16th St N, Fargo, ND 58102"
0,"$1,465 - 2,180",1-3 Beds,"5599 36th Ave S, Fargo, ND 58104"
0,"$900 - 1,765",Studio - 3 Beds,"5676 38th St S, Fargo, ND 58104"
0,"$1,095 - 6,300",Studio - 3 Beds,"5601 33rd Ave S, Fargo, ND 58104"
0,"$910 - 1,990",1-3 Beds,"555 S 40th St, Fargo, ND 58103"
0,$790 - 855,2 Beds,"1342-1350 Broadway N, Fargo, ND 58102"
0,"$810 - 1,020",1-3 Beds,"512-536 45th St S, Fargo, ND 58103"
0,"$835 - 1,610",Studio - 3 Beds,"3700 42nd St S, Fargo, ND 58104"
0,"$960 - 1,990",1-2 Beds,"3001 34th Ave S, Fargo, ND 58104"
0,"$980 - 1,975",Studio - 3 Beds,"3255 W 6th St, West Fargo, ND 58078"
0,"$1,400 - 2,400",1-3 Beds,"300 Main Ave, Fargo, ND 58103"
0,$865,Studio,"1113 University Dr, Fargo, ND 58102"
0,"$1,045 - 1,350",1-3 Beds,"3601 University Dr S, Fargo, ND 58104"
0,$515 - 535,Studio,"26 Roberts St N, Fargo, ND 58102"
0,"$1,150 - 2,250",1-3 Beds,"1632 51st St S, Fargo, ND 58103"
0,Call for Rent,2 Beds,"4301 El Tora Blvd, Fargo, ND 58103"
0,"$890 - 2,515",Studio - 3 Beds,"624 2nd Ave N, Fargo, ND 58102"
0,"$1,075 - 1,795",Studio - 2 Beds,"2850 Uptown Way S, Fargo, ND 58104"
0,"$924 - 1,984",Studio - 3 Beds,"1151 32nd Ave N, Fargo, ND 58102"
0,"$965 - 3,815",Studio - 3 Beds,"1001 Northern Pacific Ave, Fargo, ND 58102"
0,"$800 - 1,302",Studio - 2 Beds,"1515 11th Ave N, Fargo, ND 58102"
0,"$950 - 2,030",Studio - 3 Beds,"303 11th St N, Fargo, ND 58102"
0,"$1,350 - 1,700",3-4 Beds,"630 1st Ave N, Fargo, ND 58102"
0,"$995 - 1,800",Studio - 3 Beds,"4835 38th St S, Fargo, ND 58104"
0,"$1,065 - 1,385",1-3 Beds,"5050 40th Ave S, Fargo, ND 58104"
0,$715 - 810,2-4 Beds,"1601 N University Dr, Fargo, ND 58102"
0,$750 - 950,1-3 Beds,"1430 34th St S, Fargo, ND 58103"
0,"$865 - 1,270",1-3 Beds,"5101-5351 Amber Valley Pky S, Fargo, ND 58104"
0,"$845 - 1,525",Studio - 2 Beds,"312 11th St N, Fargo, ND 58102"
0,"$1,015 - 1,185",1-3 Beds,"5170 Amber Valley Pky S, Fargo, ND 58104"
0,"$1,420",1-3 Beds,"4000 58th Ave S, Fargo, ND 58104"
0,"$800 - 1,300",Studio - 3 Beds,"24 8th St N, Fargo, ND 58102"
0,"$1,125",1-2 Beds,"4610 33rd Ave S, Fargo, ND 58104"
0,"$1,050 - 1,495",1-3 Beds,"3480-3500 38th Ave S, Fargo, ND 58104"
0,"$880 - 1,630",Studio - 2 Beds,"1222 4th Ave N, Fargo, ND 58102"
