,price,rooms,address
0,"$1,913 - 2,854",1-3 Beds,"7110 Orchard Lake Rd, West Bloomfield, MI 48322"
0,"$1,080 - 1,820",1-2 Beds,"22225 Green Hill Rd, Farmington, MI 48335"
0,"$1,100 - 1,500",1-2 Beds,"30310 Timberidge Cir, Farmington Hills, MI 48336"
0,"$1,704 - 1,866",1-2 Beds,"23140 Halsted Rd, Farmington Hills, MI 48335"
0,"$975 - 1,275",1 Bed,"23960 Middlebelt Rd, Farmington Hills, MI 48336"
0,"$1,399 - 1,589",1-3 Beds,"27517 E Gateway Dr, Farmington Hills, MI 48334"
0,"$1,176 - 2,042",1-3 Beds,"35055 Muirwood Dr, Farmington Hills, MI 48335"
0,"$1,339 - 2,570",1-3 Beds,"31200 Hunters Dr, Farmington Hills, MI 48334"
0,"$1,284 - 2,035",1-3 Beds,"29540 Citation Club Cir, Farmington Hills, MI 48331"
0,"$865 - 2,488",1-3 Beds,"24360 Independence Ct, Farmington Hills, MI 48335"
0,"$1,285 - 1,745",1-2 Beds,"22540 Fairmont Dr, Farmington Hills, MI 48335"
0,"$1,694 - 2,500",2 Beds,"29925 Summit Dr, Farmington Hills, MI 48334"
0,"$1,220 - 1,805",1-2 Beds,"19400 Mayfield Ave, Livonia, MI 48152"
0,"$1,510 - 3,109",1-3 Beds,"19750 Haggerty Rd, Livonia, MI 48152"
0,"$1,925 - 3,350",1-3 Beds,"39500 Champion Cir, Novi, MI 48377"
0,"$1,540 - 1,826",2 Beds,"26601 W Carnegie Park Dr, Southfield, MI 48034"
0,"$1,290 - 1,735",1-2 Beds,"19401-19757 Farmington Rd, Livonia, MI 48152"
0,"$1,234 - 1,421",1-2 Beds,"33203 N Manor Dr, Farmington, MI 48336"
0,"$1,524 - 2,827",2 Beds,"6834 Chimney Hill Dr, West Bloomfield, MI 48322"
0,"$995 - 2,900",Studio - 3 Beds,"28509 Franklin Rd, Southfield, MI 48034"
0,"$1,795 - 1,910",2-3 Beds,"26666 Stanford Dr W, Southfield, MI 48033"
0,"$1,439 - 1,694",1-2 Beds,"22123 Solomon Blvd, Novi, MI 48375"
0,"$1,786 - 2,577",2 Beds,"7517 Arbors Blvd, West Bloomfield, MI 48322"
0,"$1,340 - 2,600",2 Beds,"22675 Pavilion Dr, Novi, MI 48375"
0,"$1,135 - 1,975",2-3 Beds,"29025 Franklin Hills Dr, Southfield, MI 48034"
0,"$1,554 - 1,962",1-2 Beds,"30545 Crest Forest, Farmington Hills, MI 48331"
0,"$2,990 - 3,630",2-3 Beds,"33000 Covington Club Dr, Farmington Hills, MI 48334"
0,"$1,973 - 2,229",2-3 Beds,"26375 Halsted Rd, Farmington Hills, MI 48331"
0,"$1,535",2 Beds,"39352 Polo Club Dr, Farmington Hills, MI 48335"
0,"$1,120 - 3,460",1-2 Beds,"37850 Spring Ln, Farmington Hills, MI 48331"
0,"$1,035 - 1,385",1-2 Beds,"31200 Morlock St, Livonia, MI 48152"
0,"$1,079 - 1,651",1-2 Beds,"27600 Cordoba Dr, Farmington Hills, MI 48334"
0,Call for Rent,1-2 Beds,"30250 W 12 Mile Rd, Farmington Hills, MI 48334"
0,"$999 - 1,199",1-2 Beds,"34750 W 8 Mile Rd, Farmington Hills, MI 48335"
0,"$2,490 - 3,150",2-3 Beds,"29600-29900 Franklin Rd, Southfield, MI 48034"
0,"$2,825",3 Beds,"22445 Trillium Dr, Novi, MI 48375"
0,"$1,050 - 1,740",1-2 Beds,"20810 Botsford Dr, Farmington, MI 48336"
0,"$1,078 - 1,843",1-2 Beds,"24890 Independence Dr, Farmington Hills, MI 48335"
0,"$1,049 - 1,115",1-2 Beds,"20800 Orchard Lake Rd, Farmington Hills, MI 48336"
0,"$1,705",1-2 Beds,"22295 Indian Creek Dr, Farmington Hills, MI 48335"
