,price,rooms,address
0,"$2,180 - 2,870",1-2 Beds,"34816 1st Ave South, Federal Way, WA 98003"
0,"$1,900 - 2,725",1-3 Beds,"10303 20th St E, Edgewood, WA 98372"
0,"$1,400 - 1,790",Studio - 2 Beds,"31701 Pete Von Reichbauer Way, Federal Way, WA 98003"
0,"$1,493 - 2,168",1-3 Beds,"1901 SW 320th St, Federal Way, WA 98023"
0,"$1,560 - 2,375",1-3 Beds,"32200 Military Rd S, Federal Way, WA 98001"
0,"$1,404 - 6,075",1-3 Beds,"31004 19th Pl SW, Federal Way, WA 98023"
0,"$1,958 - 2,458",1-3 Beds,"207 Meridian Ave E, Edgewood, WA 98371"
0,"$1,564 - 2,470",1-3 Beds,"4901 Fairwood Blvd NE, Tacoma, WA 98422"
0,"$1,725 - 2,525",1-3 Beds,"210 27th Ave, Milton, WA 98354"
0,"$1,619 - 5,177",1-2 Beds,"4620 S 254th Pl, Kent, WA 98032"
0,"$1,595 - 2,895",1-3 Beds,"2715 62nd Ave E, Fife, WA 98424"
0,"$2,100 - 2,560",2-3 Beds,"28700 34th Ave S, Auburn, WA 98001"
0,"$1,903 - 3,284",1-2 Beds,"2501 SW 336th St, Federal Way, WA 98023"
0,"$1,450 - 1,900",1-2 Beds,"163 S 340th St, Federal Way, WA 98003"
0,"$1,326 - 6,681",1-3 Beds,"2211 S STAR LAKE Rd, FEDERAL WAY, WA 98003"
0,"$1,693 - 2,892",1-2 Beds,"33131 1st Ave SW, Federal Way, WA 98023"
0,"$1,650 - 2,350",1-3 Beds,"333 S 320th St, Federal Way, WA 98003"
0,"$999 - 1,499",1-2 Beds,"31420 23rd Ave S, Federal Way, WA 98003"
0,"$1,545 - 1,950",1-3 Beds,"5700-5724 23rd St, Fife, WA 98424"
0,"$1,595 - 2,275",1-3 Beds,"35810 16th Ave S, Federal Way, WA 98003"
0,"$1,599 - 2,110",1-2 Beds,"2201-2216 6th Ave, Milton, WA 98354"
0,"$1,752 - 2,091",1-2 Beds,"6926 5th St E, Fife, WA 98424"
0,"$1,465 - 1,721",1-2 Beds,"2301 58th Ave E, Fife, WA 98424"
0,"$1,866 - 7,297",1-3 Beds,"2301 62nd Ave E, Fife, WA 98424"
0,"$1,494 - 1,825",1-2 Beds,"2341 58th Ave E, Fife, WA 98424"
0,"$1,695 - 1,995",1-2 Beds,"2524-2606 62Nd Ave E, Fife, WA 98424"
0,"$2,249 - 2,299",2-3 Beds,"35434-35434 25th Ave SW, Federal Way, WA 98023"
0,"$1,946 - 2,936",2-3 Beds,"2120 SW 352nd St, Federal Way, WA 98023"
0,"$1,750",1 Bed,"2201 S 312th St, Federal Way, WA 98003"
0,"$1,643 - 3,028",1-3 Beds,"952 SW Campus Dr, Federal Way, WA 98023"
0,"$1,496 - 7,943",1-3 Beds,"31500 1st Ave S, Federal Way, WA 98003"
0,"$1,431 - 5,709",Studio - 2 Beds,"2111 SW 352nd St, Federal Way, WA 98023"
0,"$2,200 - 2,550",2-3 Beds,"1300 SW Campus Dr, Federal Way, WA 98023"
0,"$1,620 - 3,202",1-3 Beds,"1900 SW Campus Dr, Federal Way, WA 98023"
0,"$1,150 - 1,800",1-3 Beds,"4519 SW 321st St, Federal Way, WA 98023"
0,"$1,250 - 1,650",Studio - 2 Beds,"1800 S 330th St, Federal Way, WA 98003"
0,"$1,781 - 5,187",1-3 Beds,"2800-2826 Queens Way, Milton, WA 98354"
0,"$1,687 - 6,204",1-3 Beds,"10304 E 20th St, Edgewood, WA 98372"
0,"$1,525 - 2,350",1-3 Beds,"6501-6535 20th St E, Fife, WA 98424"
0,"$2,580 - 2,675",2 Beds,"4301 Norpoint Way NE, Tacoma, WA 98422"
