,price,rooms,address
0,"$1,743 - 5,539",1-2 Beds,"923 W University Ave, Flagstaff, AZ 86001"
0,"$1,699 - 2,493",1-3 Beds,"5000 N Mall Way, Flagstaff, AZ 86004"
0,"$1,851 - 5,178",1-3 Beds,"3601 S Lake Mary Rd, Flagstaff, AZ 86001"
0,"$765 - 1,499",Studio - 4 Beds,"901 S O Leary St, Flagstaff, AZ 86001"
0,"$1,755 - 2,250",1-2 Beds,"1105 E Ponderosa Pky, Flagstaff, AZ 86001"
0,"$1,599 - 3,697",1-3 Beds,"800 W Forest Meadows St, Flagstaff, AZ 86001"
0,"$2,000 - 2,400",1-3 Beds,"4255 E Soliere Ave, Flagstaff, AZ 86004"
0,"$1,703 - 3,488",1-2 Beds,"5205 E Cortland Blvd, Flagstaff, AZ 86004"
0,"$1,889 - 2,895",1-3 Beds,"4343 E Soliere Ave, Flagstaff, AZ 86004"
0,"$2,325 - 3,015",1-3 Beds,"1571 N Pine Cliff Dr, Flagstaff, AZ 86001"
0,"$2,621 - 2,853",Studio - 2 Beds,"601 E Piccadilly Dr, Flagstaff, AZ 86001"
0,"$1,556 - 1,824",1-2 Beds,"1201 E Ponderosa Pky, Flagstaff, AZ 86001"
0,"$1,804 - 3,245",1-3 Beds,"900 N Switzer Canyon Dr, Flagstaff, AZ 86001"
0,"$985 - 1,729",1-5 Beds,"555 W Forest Meadows St, Flagstaff, AZ 86001"
0,"$1,990 - 2,850",1-2 Beds,"5303 E Cortland Blvd, Flagstaff, AZ 86004"
0,"$2,020 - 2,900",1-2 Beds,"5404 E Cortland Blvd, Flagstaff, AZ 86004"
0,"$1,660 - 2,600",1-3 Beds,"1630-1718 N Fort Valley Rd, Flagstaff, AZ 86001"
0,"$1,715 - 2,580",1-2 Beds,"5250 E Cortland Blvd, Flagstaff, AZ 86004"
0,"$1,630 - 3,403",Studio - 2 Beds,"4015 E Soliere Ave, Flagstaff, AZ 86004"
0,"$1,474 - 4,471",Studio - 3 Beds,"3720 S Yaqui Dr, Flagstaff, AZ 86001"
0,"$1,505 - 2,820",Studio - 2 Beds,"700 W University Ave, Flagstaff, AZ 86001"
0,"$1,450 - 1,750",1-2 Beds,"1080 W Kaibab Ln, Flagstaff, AZ 86001"
0,Call for Rent,1-3 Beds,"1651 N Gemini Dr, Flagstaff, AZ 86001"
0,"$840 - 2,065",Studio - 4 Beds,"700 S Blackbird Roost St, Flagstaff, AZ 86001"
0,"$900 - 1,650",Studio - 4 Beds,"2800 S Highland Mesa Rd, Flagstaff, AZ 86001"
0,"$945 - 1,630",Studio - 5 Beds,"824 W Route 66, Flagstaff, AZ 86001"
0,"$1,430 - 3,325",Studio - 2 Beds,"813 W University Ave, Flagstaff, AZ 86001"
0,"$999 - 1,750",Studio - 5 Beds,"240 W Saunders Dr, Flagstaff, AZ 86001"
0,"$940 - 1,650",1-3 Beds,"997 E Pine Knoll Dr, Flagstaff, AZ 86001"
