,price,rooms,address
0,"$1,560 - 3,900",Studio - 3 Beds,"2501 Lakeside Pky, Flower Mound, TX 75022"
0,"$1,550 - 4,273",1-2 Beds,"2701 N Grapevine Mills Blvd, Grapevine, TX 76051"
0,"$1,299 - 2,495",1-3 Beds,"12000 Farm to Market 1171, Northlake, TX 76262"
0,"$1,444 - 2,284",1-3 Beds,"4000 S Broadway Ave, Flower Mound, TX 75028"
0,"$1,598 - 3,222",1-3 Beds,"3900 Riverwalk Dr, Flower Mound, TX 75028"
0,"$1,360 - 6,776",Studio - 3 Beds,"301 Silveron, Flower Mound, TX 75028"
0,"$1,529 - 4,029",1-3 Beds,"3701 Grapevine Mills Pky, Grapevine, TX 76051"
0,"$1,181 - 2,685",1-3 Beds,"1200 College Pky, Lewisville, TX 75077"
0,"$1,490 - 9,813",1-3 Beds,"3225 N Grapevine Blvd, Grapevine, TX 76051"
0,"$1,095 - 2,115",1-2 Beds,"1400 Valley Ridge Blvd, Lewisville, TX 75077"
0,"$1,382 - 2,521",1-3 Beds,"3601 Grapevine Mills Pkwy, Grapevine, TX 76051"
0,"$1,514 - 3,553",Studio - 3 Beds,"3535 Bluffs Ln, Grapevine, TX 76051"
0,"$1,499 - 3,229",1-3 Beds,"5210 Long Prairie Rd, Flower Mound, TX 75028"
0,"$1,491 - 3,120",1-3 Beds,"1111 Lexington Ave, Flower Mound, TX 75028"
0,"$1,039 - 3,759",1-3 Beds,"4100 Morriss Rd, Flower Mound, TX 75028"
0,"$1,700 - 2,930",1-2 Beds,"1450 West Valley Ridge Blvd, Lewisville, TX 75077"
0,"$1,504 - 8,053",1-3 Beds,"3155 Stars And Stripes Way, Grapevine, TX 76051"
0,"$1,322 - 2,377",1-3 Beds,"2436 S Valley Pky, Lewisville, TX 75067"
0,"$1,115 - 2,038",1-2 Beds,"1420 W Main St, Lewisville, TX 75067"
0,"$2,224 - 4,651",1-2 Beds,"2771 Lakeside Pky, Flower Mound, TX 75022"
0,"$1,275 - 1,685",1-2 Beds,"797 S Old Orchard Ln, Lewisville, TX 75067"
0,"$1,069 - 2,289",1-3 Beds,"401 N Old Orchard Ln, Lewisville, TX 75067"
0,"$1,251 - 1,640",1-2 Beds,"165 N Old Orchard Ln, Lewisville, TX 75067"
0,"$2,431",2 Beds,"Grapevine, TX 76051"
0,"$2,754",2 Beds,"Grapevine, TX 76051"
