,price,rooms,address
0,"$2,145 - 3,205",1-3 Beds,"525 Willard Dr, Folsom, CA 95630"
0,"$2,215 - 3,610",1-3 Beds,"14481 Southpointe Dr, Folsom, CA 95630"
0,"$1,878 - 3,279",1-2 Beds,"1000 Folsom Ranch Dr, Folsom, CA 95630"
0,"$1,928 - 3,213",1-2 Beds,"101 Canyon Terrace Ln, Folsom, CA 95630"
0,"$2,165 - 4,560",1-2 Beds,"4373 Town Center Blvd, El Dorado Hills, CA 95762"
0,"$1,903 - 3,355",Studio - 2 Beds,"1550 Broadstone Pky, Folsom, CA 95630"
0,"$2,364 - 3,666",1-3 Beds,"101 Pique Loop, Folsom, CA 95630"
0,"$2,300 - 3,715",1-3 Beds,"2480 E Bidwell st, Folsom, CA 95630"
0,"$1,817 - 3,359",1-2 Beds,"200 S Lexington Dr, Folsom, CA 95630"
0,"$1,873 - 2,911",1-3 Beds,"2300 Iron Point Rd, Folsom, CA 95630"
0,"$1,853 - 2,650",1-3 Beds,"240 Natoma Station Dr, Folsom, CA 95630"
0,"$1,689 - 2,117",1-2 Beds,"9201 Madison Ave, Orangevale, CA 95662"
0,"$2,021 - 3,069",1-3 Beds,"965 Wilson Blvd, El Dorado Hills, CA 95762"
0,"$1,873 - 2,431",1-3 Beds,"12155 Tributary Point Dr, Gold River, CA 95670"
0,"$1,788 - 2,286",1-3 Beds,"12499 Folsom Blvd, Rancho Cordova, CA 95742"
0,"$1,685 - 2,570",1-3 Beds,"9160 Madison Ave, Fair Oaks, CA 95628"
0,"$2,269 - 2,826",1-3 Beds,"2230 Valley View Pky, El Dorado Hills, CA 95762"
0,"$2,070 - 2,950",1-3 Beds,"1200 Creekside Dr, Folsom, CA 95630"
0,"$1,535 - 2,215",1-2 Beds,"4825 Hazel Ave, Fair Oaks, CA 95628"
0,"$1,850 - 3,240",1-2 Beds,"7550 Folsom Auburn Rd, Folsom, CA 95630"
0,"$2,221 - 5,613",1-3 Beds,"1550 Iron Point Rd, Folsom, CA 95630"
0,"$1,702 - 2,967",1-3 Beds,"1005 Blue Ravine Rd, Folsom, CA 95630"
0,"$1,828 - 2,860",1-3 Beds,"1780 Creekside Dr, Folsom, CA 95630"
0,"$1,124 - 1,848",1-3 Beds,"14776 Mangini Pkwy, Folsom, CA 95630"
0,"$2,095 - 2,345",1-2 Beds,"99 Cable Cir, Folsom, CA 95630"
0,"$1,696 - 2,518",1-2 Beds,"180 S Lexington Dr, Folsom, CA 95630"
0,"$1,878 - 3,487",1-3 Beds,"250 McAdoo Dr, Folsom, CA 95630"
0,"$1,500 - 2,850",Studio - 3 Beds,"125 E Bidwell St, Folsom, CA 95630"
0,"$1,950 - 2,300",1-2 Beds,"1026 Olson Ln, El Dorado Hills, CA 95762"
0,"$1,947 - 4,152",1-3 Beds,"2100 Valley View Pkwy, El Dorado Hills, CA 95762"
0,"$2,415 - 2,495",3 Beds,"9364 Ridgeside Ln, Orangevale, CA 95662"
0,"$1,586 - 2,298",1-3 Beds,"9237 Greenback Ln, Orangevale, CA 95662"
0,"$1,628 - 2,636",1-2 Beds,"8842 Winding Way, Fair Oaks, CA 95628"
0,"$1,395 - 2,400",Studio - 3 Beds,"6244 Hazel Ave, Orangevale, CA 95662"
