,price,rooms,address
0,"$1,500 - 2,725",1-3 Beds,"4801 Signal Tree Dr, Fort Collins, CO 80528"
0,"$1,775 - 2,754",1-3 Beds,"2274 Yearling Dr, Fort Collins, CO 80525"
0,"$1,578 - 2,305",Studio - 2 Beds,"3521 Stanford Rd, Fort Collins, CO 80525"
0,"$1,691 - 2,756",1-3 Beds,"1775 Ashlar Dr, Fort Collins, CO 80526"
0,"$1,440 - 1,750",Studio - 2 Beds,"700 E Drake Rd, Fort Collins, CO 80525"
0,"$1,758 - 6,591",1-3 Beds,"2002 Battlecreek Dr, Fort Collins, CO 80528"
0,"$1,380 - 1,825",1-2 Beds,"3501 S Stover St, Fort Collins, CO 80525"
0,"$895 - 2,090",Studio - 2 Beds,"1117 City Park Ave, Fort Collins, CO 80521"
0,"$1,465 - 2,193",1-2 Beds,"4470 S Lemay Ave, Fort Collins, CO 80525"
0,"$1,683 - 2,940",Studio - 3 Beds,"2451 S Timberline Rd, Fort Collins, CO 80525"
0,"$1,335 - 5,593",Studio - 2 Beds,"281 Willow St, Fort Collins, CO 80524"
0,"$1,595 - 2,275",Studio - 2 Beds,"3707 LeFever Dr, Fort Collins, CO 80528"
0,"$1,395 - 1,613",2-3 Beds,"728 Mangold Ln, Fort Collins, CO 80524"
0,"$1,845 - 2,535",1-3 Beds,"1050 Hobbit St, Fort Collins, CO 80526"
0,"$1,795 - 2,050",1-2 Beds,"1121 W Prospect Rd, Fort Collins, CO 80526"
0,"$1,695 - 1,920",2 Beds,"2155 Orchard Pl, Fort Collins, CO 80521"
0,"$2,249 - 2,498",2-3 Beds,"2758 Iowa Dr, Fort Collins, CO 80525"
0,"$1,710 - 2,550",2-3 Beds,"1113 W Plum St, Fort Collins, CO 80521"
0,"$995 - 2,220",Studio - 2 Beds,"914 W Lake St, Fort Collins, CO 80521"
0,"$1,620 - 2,541",Studio - 2 Beds,"Mason St, Fort Collins, CO 80521"
0,"$1,546 - 2,328",1-3 Beds,"4408 John F Kennedy Pky, Fort Collins, CO 80525"
0,"$1,403 - 1,955",1-2 Beds,"2736 Raintree Dr, Fort Collins, CO 80526"
0,"$855 - 2,152",1-3 Beds,"1050 Hobbit St S103, Fort Collins, CO 80526"
0,$839 - 960,3-5 Beds,"530 Lupine Dr, Fort Collins, CO 80524"
0,"$1,215 - 1,715",1-3 Beds,"155 Briarwood Rd, Fort Collins, CO 80521"
0,"$1,580 - 2,078",1-4 Beds,"1742 Heritage Cir, Fort Collins, CO 80526"
0,"$1,695 - 2,540",1-3 Beds,"2918 S Timberline Rd, Fort Collins, CO 80525"
0,"$1,790 - 3,449",1-3 Beds,"1020 Wabash St, Ft Collins, CO 80526"
0,"$1,611 - 3,525",Studio - 2 Beds,"4201 Corbett Dr, Fort Collins, CO 80525"
0,"$1,650 - 1,934",1-2 Beds,"2212 Vermont Dr, Fort Collins, CO 80525"
0,"$1,657 - 2,316",1-2 Beds,"4900 Boardwalk Dr, Fort Collins, CO 80525"
0,"$1,649 - 2,948",1-3 Beds,"1044 Jerome St, Fort Collins, CO 80524"
0,$970,4 Beds,"1303 W Plum St, Fort Collins, CO 80521"
0,"$970 - 1,035",2-3 Beds,"1201 W Plum St, Fort Collins, CO 80521"
0,"$1,695 - 1,895",2 Beds,"701 Wagner Dr, Fort Collins, CO 80521"
0,"$1,503 - 1,823",1-2 Beds,"1720 Kirkwood Dr, Fort Collins, CO 80525"
0,"$1,397 - 1,727",1-3 Beds,"1717 Welch St, Fort Collins, CO 80525"
0,"$2,300 - 2,550",2-3 Beds,"2935 Denver Dr, Fort Collins, CO 80525"
0,"$1,495 - 1,995",Studio - 2 Beds,"3425 S Shields St, Fort Collins, CO 80526"
0,$935 - 995,3-5 Beds,"1208 W Elizabeth St, Fort Collins, CO 80521"
