,price,rooms,address
0,"$975 - 1,475",1-3 Beds,"3506 Timberhill Dr, Fort Wayne, IN 46815"
0,"$1,895",3 Beds,"11033 State Road 3, Fort Wayne, IN 46818"
0,"$1,460 - 2,365",1-4 Beds,"2131 Sweet Breeze, Fort Wayne, IN 46818"
0,"$988 - 1,510",1-2 Beds,"3302 Vantage Point Dr, Fort Wayne, IN 46825"
0,"$940 - 1,325",1-2 Beds,"5439 N Clinton St, Fort Wayne, IN 46825"
0,"$641 - 2,170",Studio - 3 Beds,"2727 Canterbury Blvd, Fort Wayne, IN 46835"
0,"$650 - 1,250",1-3 Beds,"2754 E Pauling Rd, Ft. Wayne, IN 46816"
0,$799 - 949,2-3 Beds,"859 Buchanan St, Fort Wayne, IN 46803"
0,"$999 - 2,145",Studio - 2 Beds,"1250 Ewing St, Fort Wayne, IN 46802"
0,"$1,100 - 2,149",Studio - 3 Beds,"13101 Union Club Blvd, Fort Wayne, IN 46845"
0,"$1,395 - 1,959",1-3 Beds,"4238 Provision Pky, Fort Wayne, IN 46845"
0,"$1,595 - 2,400",2-3 Beds,"3115 Carroll Rd, Fort Wayne, IN 46818"
0,"$1,800 - 2,000",2-3 Beds,"296 W Hamilton Rd N, Fort Wayne, IN 46814"
0,"$760 - 1,200",1-3 Beds,"2008 Woodhaven Dr, Fort Wayne, IN 46819"
0,"$925 - 1,825",1-3 Beds,"2811 Westbrook Dr, Fort Wayne, IN 46805"
0,"$949 - 1,500",2-3 Beds,"522 Pinegrove Ln, Fort Wayne, IN 46807"
0,"$783 - 1,613",1-3 Beds,"5710 River Run Trl, Fort Wayne, IN 46825"
0,"$809 - 1,461",1-2 Beds,"2102 Point West Dr, Fort Wayne, IN 46808"
0,"$775 - 3,499",Studio - 4 Beds,"101 Three Rivers, Fort Wayne, IN 46802"
0,"$1,350 - 3,308",1-3 Beds,"124 W Superior Street, Fort Wayne, IN 46802"
0,"$925 - 1,050",1-2 Beds,"3047 Boardwalk Cir, Fort Wayne, IN 46809"
0,"$1,125 - 2,699",1-3 Beds,"10230 Avalon Way, Fort Wayne, IN 46825"
0,"$895 - 1,325",2-3 Beds,"220 E Hoover Dr, Fort Wayne, IN 46816"
0,"$770 - 2,220",1-3 Beds,"1035 Ridgewood Dr, Fort Wayne, IN 46805"
0,"$1,699 - 2,665",2 Beds,"4021 Frost Grass Dr, Fort Wayne, IN 46845"
0,"$2,143 - 2,953",2 Beds,"1208 Cowen Pl, Fort Wayne, IN 46825"
0,"$1,624 - 2,446",2 Beds,"5450 Kinzie Ct, Fort Wayne, IN 46835"
