,price,rooms,address
0,"$1,199 - 2,545",Studio - 2 Beds,"5332 Trinity River Trl, Fort Worth, TX 76114"
0,"$1,452 - 2,518",1-3 Beds,"950 Spanish Needle Trl, Fort Worth, TX 76177"
0,"$1,534 - 2,687",1-3 Beds,"8900 Harmon Rd, Fort Worth, TX 76177"
0,"$1,141 - 3,115",Studio - 3 Beds,"5401 Barlean Rnch, Fort Worth, TX 76123"
0,"$1,300 - 2,600",Studio - 2 Beds,"2001 E 4th St, Fort Worth, TX 76102"
0,"$1,199 - 2,557",1-3 Beds,"9701 Theo Trl, Fort Worth, TX 76123"
0,"$831 - 2,793",Studio - 2 Beds,"8951 Randol Mill Rd, Fort Worth, TX 76120"
0,"$925 - 1,425",1-2 Beds,"5700 S Hulen St, Fort Worth, TX 76132"
0,"$850 - 1,919",1-2 Beds,"6776 W Creek Dr, Fort Worth, TX 76133"
0,"$1,035 - 1,850",1-2 Beds,"9001 Meadowbrook Blvd, Fort Worth, TX 76120"
0,"$849 - 1,280",1-2 Beds,"9001 Randol Mill Rd, Fort Worth, TX 76120"
0,"$1,120 - 1,595",1-2 Beds,"5701 Overton Ridge Blvd, Fort Worth, TX 76132"
0,"$929 - 1,239",1-2 Beds,"6401 Hulen Bend Blvd, Fort Worth, TX 76132"
0,"$1,250 - 2,705",Studio - 2 Beds,"100 Harding St, Fort Worth, TX 76102"
0,"$1,239 - 3,759",Studio - 4 Beds,"600 Harrold St, Fort Worth, TX 76107"
0,"$1,146 - 5,736",Studio - 3 Beds,"3964 Watercourse Dr, Fort Worth, TX 76109"
0,"$1,270 - 2,830",Studio - 3 Beds,"637 Samuels Ave, Fort Worth, TX 76102"
0,"$1,499 - 2,225",1-3 Beds,"5601 Golden Triangle Blvd, Fort Worth, TX 76244"
0,"$1,449 - 2,549",1-3 Beds,"299 Monroe Ave, Roanoke, TX 76262"
0,"$1,349 - 2,799",1-3 Beds,"11901 Willlow Springs Rd, Haslet, TX 76052"
0,"$1,299 - 2,495",1-3 Beds,"12000 Farm to Market 1171, Northlake, TX 76262"
0,"$1,420 - 2,710",Studio - 3 Beds,"4700 State Highway 114, Northlake, TX 76262"
0,"$1,088 - 2,160",1-3 Beds,"9510 Westpark Dr, Benbrook, TX 76126"
0,"$899 - 1,304",1-2 Beds,"2115 Park Springs Cir, Arlington, TX 76013"
0,"$1,000 - 2,850",Studio - 2 Beds,"1736 W Randol Mill Rd, Arlington, TX 76012"
0,"$1,499 - 2,399",1-3 Beds,"13524 Alta Vista Rd, Roanoke, TX 76262"
0,"$1,165 - 1,760",1-2 Beds,"2300 Central Park Blvd, Bedford, TX 76022"
0,"$1,450 - 2,710",1-3 Beds,"880 W Euless Blvd, Euless, TX 76040"
0,"$1,649 - 3,321",Studio - 2 Beds,"411 Harrold St, Fort Worth, TX 76107"
0,"$1,084 - 2,381",1-3 Beds,"7354 Harris Pky, Fort Worth, TX 76132"
0,"$1,178 - 2,234",1-3 Beds,"9069 Summer Creek Dr, Fort Worth, TX 76123"
0,"$1,614 - 6,254",Studio - 3 Beds,"4900 Gage Ave, Fort Worth, TX 76109"
0,"$1,375 - 2,991",1-3 Beds,"11325 Park Vista Blvd, Fort Worth, TX 76244"
0,"$1,349 - 2,461",1-3 Beds,"15848 Championship Pky, Fort Worth, TX 76177"
0,"$1,178 - 2,859",Studio - 2 Beds,"701 N Hampton St, Fort Worth, TX 76102"
0,"$1,178 - 2,650",Studio - 2 Beds,"1012 Burnett St, Fort Worth, TX 76102"
0,"$1,211 - 4,255",1-3 Beds,"8032 Monterra Blvd, Fort Worth, TX 76177"
0,"$1,360 - 2,454",1-3 Beds,"9100 Summit Ridge, Fort Worth, TX 76123"
0,"$1,525 - 2,525",1-2 Beds,"7545 Harris Pky, Fort Worth, TX 76123"
0,"$1,405 - 5,950",1-3 Beds,"2500 River Park Dr, Fort Worth, TX 76116"
