,price,rooms,address
0,"$1,833 - 5,000",Studio - 3 Beds,"4015 Aspen Grove Dr, Franklin, TN 37067"
0,"$1,900 - 4,880",1-3 Beds,"2000 Aureum Dr, Franklin, TN 37067"
0,"$1,684 - 2,854",1-3 Beds,"871 Oak Meadow Dr, Franklin, TN 37064"
0,"$1,713 - 8,789",1-3 Beds,"1000 Champions Cir, Franklin, TN 37064"
0,"$1,699 - 4,299",1-3 Beds,"413 Brick Path Ln, Franklin, TN 37064"
0,"$1,715 - 2,610",Studio - 3 Beds,"1116 Davenport Blvd, Franklin, TN 37069"
0,"$1,515 - 2,345",1-2 Beds,"427 Nichol Mill Ln, Franklin, TN 37067"
0,"$1,374 - 2,582",1-2 Beds,"801 Del Rio Pike, Franklin, TN 37064"
0,"$1,660 - 2,640",1-3 Beds,"101 Gillespie Dr, Franklin, TN 37067"
0,"$1,335 - 1,505",1-3 Beds,"813 Del Rio Pike, Franklin, TN 37064"
0,"$1,552 - 3,595",1-3 Beds,"2000 Toll House Cir, Franklin, TN 37064"
0,"$2,129 - 8,500",1-3 Beds,"159 1st Ave N, Franklin, TN 37064"
0,"$1,650",1-3 Beds,"113 Magnolia Dr, Franklin, TN 37064"
0,"$1,821 - 2,844",1-3 Beds,"1001 Archdale Dr, Franklin, TN 37064"
0,"$1,550 - 5,025",Studio - 3 Beds,"6001 Hughes Crossing, Franklin, TN 37064"
0,"$1,665 - 2,725",1-3 Beds,"10000 Mabel Dr, Franklin, TN 37064"
0,"$1,664 - 4,207",1-3 Beds,"2200 Aureum Dr, Franklin, TN 37067"
0,"$3,225 - 3,900",2-4 Beds,"1000 Legion Dr, Franklin, TN 37067"
0,"$2,999 - 3,500",3 Beds,"Franklin, TN 37064"
0,"$1,443 - 2,280",1-3 Beds,"3750 Carothers Pky, Franklin, TN 37067"
0,"$1,458 - 5,563",1-3 Beds,"1001 Midwood St, Franklin, TN 37067"
0,"$1,389 - 3,048",1-2 Beds,"1505 The Landing Dr, Brentwood, TN 37027"
0,"$3,025 - 3,775",3 Beds,"500 Black Tea Way, Franklin, TN 37064"
0,"$1,549 - 4,103",1-3 Beds,"1000 Artessa Cir, Franklin, TN 37067"
0,"$1,829",2 Beds,"1125 Magnolia Dr, Franklin, TN 37064"
0,"$1,527 - 1,839",1-2 Beds,"549 Southwind Blvd, Franklin, TN 37064"
0,"$1,545 - 3,685",1-3 Beds,"200 Resource Pky, Franklin, TN 37067"
0,"$1,578 - 2,969",1-2 Beds,"1001 Isleworth Dr, Franklin, TN 37064"
0,"$1,459 - 4,339",Studio - 2 Beds,"2007 Knoll Top Ln, Franklin, TN 37067"
0,"$1,640 - 3,775",1-3 Beds,"100 Reliance Dr, Franklin, TN 37067"
0,"$1,489 - 2,380",1-3 Beds,"100 Gillespie Dr, Franklin, TN 37067"
0,"$1,642 - 5,791",1-3 Beds,"2112 Vintage Tollgate Dr, Thompsons Station, TN 37179"
0,"$1,398 - 1,955",1-2 Beds,"300 N Royal Oaks Blvd, Franklin, TN 37067"
0,"$1,500 - 1,600",2 Beds,"700 Westminster Dr, Franklin, TN 37067"
0,Call for Rent,1-3 Beds,"3100 Aspen Grove Dr, Franklin, TN 37067"
0,"$1,800",3 Beds,"Franklin, TN 37064"
0,"$2,205",1 Bed,"Franklin, TN 37067"
0,"$2,783",1 Bed,"Franklin, TN 37067"
0,"$3,258",2 Beds,"Franklin, TN 37067"
0,"$2,397",1 Bed,"Franklin, TN 37067"
