,price,rooms,address
0,"$1,849 - 4,975",1-3 Beds,"550 Stanton St, Frederick, MD 21701"
0,"$1,376 - 2,621",1-3 Beds,"1420 Key Pky, Frederick, MD 21702"
0,"$1,845 - 3,490",Studio - 3 Beds,"1601 Pinder St, Frederick, MD 21701"
0,"$1,883 - 2,736",1-3 Beds,"6450 Mercantile Dr E, Frederick, MD 21703"
0,"$1,842 - 2,417",1-3 Beds,"1201 Riverwalk Pl, Frederick, MD 21701"
0,"$1,597 - 3,065",1-2 Beds,"6959 Castle Ct, Frederick, MD 21703"
0,"$1,664 - 2,520",1-2 Beds,"100 Holling Dr, Frederick, MD 21701"
0,"$1,654 - 4,282",1-3 Beds,"349 Prospect Blvd, Frederick, MD 21701"
0,"$1,940 - 3,130",1-3 Beds,"1009 Reagans Rd, Frederick, MD 21702"
0,"$1,867 - 3,290",1-3 Beds,"4901 Meridian Way, Frederick, MD 21703"
0,"$1,720 - 3,673",1-3 Beds,"5835 White Lake Ln, Frederick, MD 21703"
0,"$1,801 - 3,308",1-3 Beds,"607 Windview Way, Frederick, MD 21703"
0,"$1,801 - 3,395",1-3 Beds,"3300 Galena Dr, Frederick, MD 21704"
0,"$1,649 - 2,370",1-2 Beds,"909 Mansion Dr, Frederick, MD 21703"
0,"$1,601 - 2,507",1-3 Beds,"141 Willowdale Dr, Frederick, MD 21702"
0,"$1,489 - 1,848",1-2 Beds,"1070 Greenwall Pl, Frederick, MD 21703"
0,"$1,417 - 1,848",1-2 Beds,"91 Hill St, Frederick, MD 21703"
0,"$1,700 - 2,030",1-2 Beds,"1000 Columbine Dr, Frederick, MD 21701"
0,"$1,802 - 2,372",1-3 Beds,"5708 Trailview Dr, Frederick, MD 21703"
0,"$1,824 - 3,175",1-4 Beds,"2001 Wood Hollow Pl, Frederick, MD 21702"
0,"$1,416 - 2,719",1-3 Beds,"150-A Willowdale Dr, Frederick, MD 21702"
0,"$1,640 - 2,426",1-3 Beds,"100 Alessandra Ct, Frederick, MD 21702"
0,"$1,725 - 2,550",1-3 Beds,"300 Cormorant Pl, Frederick, MD 21701"
0,"$1,500 - 2,088",1-2 Beds,"6351 Spring Ridge Pky, Frederick, MD 21701"
0,"$1,375 - 2,200",1-3 Beds,"1001 Carroll Pky, Frederick, MD 21701"
0,"$1,375 - 1,625",1-2 Beds,"360 Prospect Blvd, Frederick, MD 21701"
0,"$1,399 - 1,850",1-3 Beds,"5234 Black Locust Dr, Frederick, MD 21703"
0,"$1,045 - 1,638",Studio - 2 Beds,"1200 Little Brook Dr, Frederick, MD 21702"
0,"$1,175 - 1,705",Studio - 2 Beds,"5792 Brook Hill Ln, Frederick, MD 21703"
0,Call for Rent,Studio - 3 Beds,"110 W South St, Frederick, MD 21701"
0,"$1,388 - 2,002",1-2 Beds,"400 E Church St, Frederick, MD 21701"
0,"$3,600",3 Beds,"Frederick, MD 21701"
0,"$3,170",2 Beds,"Frederick, MD 21704"
