,price,rooms,address
0,"$1,450 - 2,773",1-3 Beds,"6000 Eldorado Pky, Frisco, TX 75033"
0,"$1,335 - 2,380",1-3 Beds,"1801 McCord Way, Frisco, TX 75033"
0,"$1,469 - 6,110",1-3 Beds,"15950 Paramount Way, Frisco, TX 75033"
0,"$1,512 - 3,816",1-3 Beds,"5750 Cotton Gin Rd, Frisco, TX 75034"
0,"$3,008 - 25,957",1-3 Beds,"3101 Gaylord Pky, Frisco, TX 75034"
0,"$1,138 - 5,849",Studio - 2 Beds,"5765 Bozeman Dr, Plano, TX 75024"
0,"$1,601 - 7,323",Studio - 2 Beds,"5750 Grandscape Blvd, The Colony, TX 75056"
0,"$1,325 - 2,760",1-3 Beds,"408 W 5th St, Prosper, TX 75078"
0,"$1,257 - 2,003",1-2 Beds,"15117 Fishtrap Rd, Aubrey, TX 76227"
0,"$1,244 - 2,009",1-2 Beds,"3198 Parkwood Blvd, Frisco, TX 75034"
0,"$1,200 - 2,895",1-3 Beds,"4800 Printers Way, Frisco, TX 75033"
0,"$1,280 - 2,807",1-3 Beds,"5050 FM 423, Frisco, TX 75036"
0,"$1,277 - 2,842",1-4 Beds,"1750 FM 423, Frisco, TX 75033"
0,"$1,455 - 3,230",Studio - 3 Beds,"7255 Texas Rangers Dr, Frisco, TX 75034"
0,"$1,270 - 2,716",1-2 Beds,"5275 Town and Country Blvd, Frisco, TX 75034"
0,"$1,341 - 4,350",Studio - 4 Beds,"4255 Cotton Gin Rd, Frisco, TX 75034"
0,"$1,250 - 2,599",1-3 Beds,"9600 Gaylord Pky, Frisco, TX 75034"
0,"$1,315 - 2,510",1-3 Beds,"1690 FM 423, Frisco, TX 75033"
0,"$1,299 - 2,688",1-3 Beds,"6300 Farm to Market Road 423, Frisco, TX 75036"
0,"$1,195 - 5,448",Studio - 3 Beds,"7777 Adelaide St, Frisco, TX 75034"
0,"$1,272 - 7,200",Studio - 2 Beds,"3033 Ohio Dr, Frisco, TX 75035"
0,"$1,494 - 3,082",1-3 Beds,"3030 Ohio Dr, Frisco, TX 75035"
0,"$1,185 - 2,730",Studio - 3 Beds,"9355 John W Elliott Dr, Frisco, TX 75033"
0,"$1,319 - 2,659",Studio - 2 Beds,"4141 Frisco Green Ave, Frisco, TX 75034"
0,"$1,248 - 2,328",Studio - 3 Beds,"6235 Main St, Frisco, TX 75034"
0,"$1,421 - 2,759",1-3 Beds,"11900 Research Rd, Frisco, TX 75033"
0,"$1,329 - 5,003",Studio - 3 Beds,"4545 Mission Ave, Frisco, TX 75034"
0,"$1,534 - 2,796",1-3 Beds,"12050 Research Rd, Frisco, TX 75033"
0,"$1,305 - 4,156",Studio - 2 Beds,"4160 Gridiron Rd, Frisco, TX 75034"
0,"$1,509 - 3,620",1-3 Beds,"12330 Research Rd, Frisco, TX 75033"
0,"$1,330 - 3,065",1-3 Beds,"16220 Phoebe Rd, Frisco, TX 75035"
0,"$1,486 - 2,927",1-2 Beds,"4250 Gridiron Rd, Frisco, TX 75034"
0,"$1,455 - 2,575",Studio - 2 Beds,"5775 Blairview St, Frisco, TX 75034"
0,"$1,330 - 2,520",1-3 Beds,"9425 Rolater Rd, Frisco, TX 75035"
0,"$1,343 - 4,378",1-3 Beds,"6805 Lebanon Rd, Frisco, TX 75034"
0,"$1,213 - 4,663",Studio - 2 Beds,"3200 Rifle Gap Rd, Frisco, TX 75034"
0,"$1,337 - 3,492",1-3 Beds,"4777 Memorial Dr, The Colony, TX 75056"
0,"$1,386 - 2,312",1-3 Beds,"10200 Independence Pky, Plano, TX 75025"
0,"$1,135 - 3,640",Studio - 2 Beds,"5741 Martin Rd, Plano, TX 75024"
0,"$1,084 - 1,930",1-3 Beds,"6201 Windhaven Pky, Plano, TX 75093"
