,price,rooms,address
0,"$2,445 - 3,745",1-2 Beds,"3530-3560 E La Palma Ave, Anaheim, CA 92806"
0,"$2,065 - 2,675",1-2 Beds,"5600 Orangethorpe Ave, La Palma, CA 90623"
0,"$2,139 - 3,999",1-2 Beds,"1261 Deerpark Dr, Fullerton, CA 92831"
0,"$1,950 - 3,135",Studio - 2 Beds,"1942 Deerpark Dr, Fullerton, CA 92831"
0,"$1,780 - 3,277",Studio - 2 Beds,"2235 W Broadway, Anaheim, CA 92804"
0,"$2,060 - 2,870",1-2 Beds,"250 W Central Ave, Brea, CA 92821"
0,"$2,710 - 3,690",Studio - 2 Beds,"185 S State College Blvd, Brea, CA 92821"
0,"$2,612 - 6,398",Studio - 3 Beds,"901 E South St, Anaheim, CA 92805"
0,"$2,389 - 4,405",Studio - 3 Beds,"505-535 W Crowther Ave, Placentia, CA 92870"
0,"$2,243 - 3,176",1-3 Beds,"1250 S Euclid Ave, Anaheim, CA 92802"
0,"$2,690 - 3,240",2-4 Beds,"2130 W Crescent Ave, Anaheim, CA 92801"
0,"$2,495 - 2,695",2 Beds,"2828-2860 W Ball Rd, Anaheim, CA 92804"
0,"$2,078 - 2,769",1-2 Beds,"16124 Rosecrans Ave, La Mirada, CA 90638"
0,"$2,295 - 2,795",1-2 Beds,"2900 E Lincoln Ave, Anaheim, CA 92806"
0,"$1,725 - 2,220",1-2 Beds,"2000 W Glenoaks Ave, Anaheim, CA 92801"
0,"$2,167 - 2,772",1-2 Beds,"310 S Jefferson St, Placentia, CA 92870"
0,"$2,747 - 3,872",1-3 Beds,"770 S Harbor Blvd, Fullerton, CA 92832"
0,"$2,700 - 3,050",2 Beds,"140 W Hill Ave, Fullerton, CA 92832"
0,"$1,880 - 2,920",Studio - 2 Beds,"1480 S Highland Ave, Fullerton, CA 92832"
0,"$2,200 - 3,090",1-2 Beds,"2656 Associated Rd, Fullerton, CA 92835"
0,"$1,895 - 1,995",Studio - 2 Beds,"3201 Yorba Linda Blvd, Fullerton, CA 92831"
0,"$2,115 - 2,165",1 Bed,"150 S Magnolia Ave, Anaheim, CA 92804"
0,"$1,880 - 2,600",Studio - 2 Beds,"1000 E La Palma Ave, Anaheim, CA 92805"
0,"$1,885 - 2,795",Studio - 3 Beds,"841 W La Habra Blvd, La Habra, CA 90631"
0,"$1,495 - 1,795",Studio - 1 Bed,"3360 W Lincoln Ave, Anaheim, CA 92801"
0,"$1,350 - 1,550",Studio,"2630 W Lincoln Ave, Anaheim, CA 92801"
0,"$2,319 - 3,916",1-3 Beds,"1203-1311 N Gilbert St, Fullerton, CA 92833"
0,"$2,628 - 10,000",Studio - 3 Beds,"600 W Commonwealth Ave, Fullerton, CA 92832"
0,"$2,560 - 3,495",1-2 Beds,"2598 Associated Rd, Fullerton, CA 92835"
0,"$2,025 - 2,725",1-2 Beds,"1501 S Highland Ave, Fullerton, CA 92832"
0,"$2,482 - 6,512",Studio - 3 Beds,"1001 Starbuck St, Fullerton, CA 92833"
0,"$2,390 - 4,497",Studio - 2 Beds,"251 Orangefair Ave, Fullerton, CA 92832"
0,"$2,754 - 5,093",1-3 Beds,"420 La Crescenta Dr, Brea, CA 92823"
0,"$2,850 - 3,000",2 Beds,"8021 9th St, Buena Park, CA 90621"
0,"$2,480 - 3,155",1-2 Beds,"100 Pointe Dr, Brea, CA 92821"
0,"$2,275 - 2,795",1-2 Beds,"2960-2965 E Jackson Ave, Anaheim, CA 92806"
0,"$3,075 - 3,985",1-3 Beds,"1500 Cherry St, Placentia, CA 92870"
0,"$2,040 - 2,855",Studio - 2 Beds,"1919 E Birch St, Brea, CA 92821"
0,"$2,255 - 2,975",1-2 Beds,"655 N Brea Blvd, Brea, CA 92821"
0,"$2,175 - 2,800",1-2 Beds,"315 N Associated Rd, Brea, CA 92821"
