,price,rooms,address
0,"$579 - 1,549",Studio - 4 Beds,"2800 SW 35th Pl, Gainesville, FL 32608"
0,"$999 - 1,995",1-2 Beds,"3425 SW 2nd Ave, Gainesville, FL 32607"
0,"$1,540 - 2,599",1-3 Beds,"1900 SW 43rd St, Gainesville, FL 32607"
0,"$1,199 - 1,769",1-3 Beds,"2330 SW Williston Rd, Gainesville, FL 32608"
0,"$1,149 - 2,099",Studio - 3 Beds,"207 SE 2nd Pl, Gainesville, FL 32601"
0,"$474 - 1,896",2-4 Beds,"3205 NW 83rd St, Gainesville, FL 32606"
0,"$1,150 - 1,650",1-4 Beds,"2930 SW 23rd Ter, Gainesville, FL 32608"
0,"$539 - 6,664",2-4 Beds,"3700 SW 27th St, Gainesville, FL 32608"
0,"$1,645 - 1,824",2-3 Beds,"3415 SW 39th Blvd, Gainesville, FL 32608"
0,"$1,650 - 2,525",1-3 Beds,"9730 NW 24th Ln, Gainesville, FL 32606"
0,"$1,501 - 2,054",1-3 Beds,"6001 SW 75th Ter, Gainesville, FL 32608"
0,"$1,530 - 3,624",1-3 Beds,"3980 SW 24th Ave, Gainesville, FL 32607"
0,"$1,476 - 6,758",1-3 Beds,"658 NW 120th Ter, Gainesville, FL 32607"
0,"$989 - 1,802",1-6 Beds,"1139 SW 11th Ave, Gainesville, FL 32601"
0,"$1,800 - 2,650",1-3 Beds,"7000 SW 91 St, Gainesville, FL 32608"
0,"$1,001 - 1,595",1-3 Beds,"301 NW 39th Rd, Gainesville, FL 32607"
0,"$999 - 1,350",1-2 Beds,"2220 SW 34th St, Gainesville, FL 32608"
0,"$1,365",2-3 Beds,"2510 NE 9th St, Gainesville, FL 32609"
0,$495 - 625,3-4 Beds,"4000 SW 37th Blvd, Gainesville, FL 32608"
0,"$1,349",2-3 Beds,"1800 NW 4th St, Gainesville, FL 32609"
0,"$904 - 2,199",Studio - 3 Beds,"1216 SW 2nd Ave, Gainesville, FL 32601"
0,"$1,275 - 1,900",1-3 Beds,"316 SW 62nd Blvd, Gainesville, FL 32607"
0,"$624 - 2,352",1-4 Beds,"1015 NW 21st Ave, Gainesville, FL 32609"
0,"$895 - 1,245",1-2 Beds,"4117 SW 20th Ave, Gainesville, FL 32607"
0,"$1,804 - 1,934",2-3 Beds,"2801 NW 23rd Blvd, Gainesville, FL 32605"
0,$674 - 954,2-4 Beds,"3000 SW 35 th Pl, Gainesville, FL 32608"
0,"$995 - 1,335",3 Beds,"8203 NW 31st Ave, Gainesville, FL 32606"
0,"$1,275 - 1,495",Studio - 3 Beds,"1101 NW 39th Ave, Gainesville, FL 32609"
0,$589 - 929,2-4 Beds,"3801 SW 13th St, Gainesville, FL 32608"
0,"$935 - 1,400",1-2 Beds,"604 SW 70th Ter, Gainesville, FL 32607"
0,"$914 - 1,774",Studio - 4 Beds,"303 NW 17th St, Gainesville, FL 32603"
0,"$1,518 - 3,528",1-3 Beds,"1105 Ft Clarke Blvd, Gainesville, FL 32606"
0,"$1,513 - 2,743",1-2 Beds,"4170 NW 50th Ter, Gainesville, FL 32606"
0,"$549 - 1,579",1-3 Beds,"2777 SW Archer Rd, Gainesville, FL 32608"
0,$645 - 759,2-3 Beds,"1720 SW 37th St, Gainesville, FL 32607"
0,"$779 - 2,138",Studio - 6 Beds,"1900 SW 13th St, Gainesville, FL 32608"
0,"$600 - 1,415",1-3 Beds,"3461 SW 2nd Ave, Gainesville, FL 32607"
0,"$1,046 - 1,656",1-3 Beds,"205 SW 75th St, Gainesville, FL 32607"
0,"$1,534 - 2,289",1-3 Beds,"4455 SW 34th St, Gainesville, FL 32608"
0,"$1,474 - 2,039",2-3 Beds,"3515 SW 39th Blvd, Gainesville, FL 32608"
