,price,rooms,address
0,"$1,399 - 2,844",1-3 Beds,"1675 W Campbell Rd, Garland, TX 75044"
0,"$1,190 - 2,704",1-3 Beds,"6200 N Shiloh Rd, Garland, TX 75044"
0,"$1,150 - 2,735",Studio - 3 Beds,"305 River Fern Ave, Garland, TX 75040"
0,"$1,110 - 2,325",1-3 Beds,"11010 Harmony Hill Ln, Rowlett, TX 75089"
0,"$869 - 1,369",1-2 Beds,"12800 Jupiter Rd, Dallas, TX 75238"
0,"$1,475 - 3,000",1-3 Beds,"3422 Firewheel Pky, Garland, TX 75040"
0,"$974 - 2,133",Studio - 2 Beds,"217 S Garland Ave, Garland, TX 75040"
0,"$1,224 - 1,989",1-3 Beds,"2001 W Campbell Rd, Garland, TX 75044"
0,"$877 - 1,511",Studio - 2 Beds,"3100 W Walnut St, Garland, TX 75042"
0,"$785 - 3,318",Studio - 2 Beds,"4358 Point Blvd, Garland, TX 75043"
0,"$1,011 - 1,479",1-2 Beds,"1702 N Jupiter Rd, Garland, TX 75042"
0,"$1,011 - 1,505",1-3 Beds,"1233 Castle Dr, Garland, TX 75040"
0,"$1,350 - 1,859",1-2 Beds,"3232 N Garland Ave, Garland, TX 75040"
0,"$1,396 - 4,336",1-3 Beds,"1759 W Campbell Rd, Garland, TX 75044"
0,"$1,320 - 2,125",Studio - 3 Beds,"1961 Arapaho Rd, Garland, TX 75040"
0,"$1,339 - 6,391",1-3 Beds,"4901 Peninsula Way, Garland, TX 75043"
0,"$1,305 - 2,195",Studio - 3 Beds,"3400 Firewheel Pky, Garland, TX 75040"
0,"$885 - 1,601",1-2 Beds,"12111 Audelia Rd, Dallas, TX 75243"
0,"$1,455 - 2,360",Studio - 2 Beds,"4900 The Station Blvd, Sachse, TX 75048"
0,"$940 - 1,370",1-2 Beds,"10911 Woodmeadow Pky, Dallas, TX 75228"
0,"$760 - 1,695",1-3 Beds,"11515 Leisure Dr, Dallas, TX 75243"
0,"$1,049 - 1,349",1-2 Beds,"11600 Audelia Rd, Dallas, TX 75243"
0,"$1,025 - 1,665",1-2 Beds,"12516 Audelia Rd, Dallas, TX 75243"
0,"$832 - 1,349",1-2 Beds,"9350 Skillman St, Dallas, TX 75243"
0,Call for Rent,1-2 Beds,"11611 Ferguson Rd, Dallas, TX 75228"
0,"$800 - 1,325",1-2 Beds,"11330 Amanda Ln, Dallas, TX 75238"
0,"$1,399 - 4,901",1-2 Beds,"5300 The Station Blvd, Sachse, TX 75048"
0,"$850 - 1,482",1-2 Beds,"11991 Audelia Rd, Dallas, TX 75243"
0,"$1,475 - 3,200",1-3 Beds,"4501 N Garland Ave, Garland, TX 75040"
0,"$900 - 1,705",1-2 Beds,"1805 Oates Dr, Mesquite, TX 75150"
0,"$1,295 - 2,455",Studio - 3 Beds,"6310 Naaman Forest Blvd, Garland, TX 75044"
0,"$1,669 - 2,750",1-2 Beds,"2701 Lookout Dr, Garland, TX 75044"
0,"$1,025 - 1,519",Studio - 3 Beds,"1302 N Shiloh Rd, Garland, TX 75042"
0,"$1,225 - 1,660",1-2 Beds,"2379 Apollo Rd, Garland, TX 75044"
0,"$989 - 2,050",1-3 Beds,"4328 Duck Creek Dr, Garland, TX 75043"
0,"$1,150 - 5,358",1-2 Beds,"3401 Bobtown Rd, Garland, TX 75043"
0,"$897 - 1,150",Studio - 3 Beds,"410 N International Rd, Garland, TX 75042"
0,"$953 - 2,745",1-2 Beds,"802 Broadway Commons, Garland, TX 75043"
0,"$905 - 2,575",1-2 Beds,"2804 Belt Line Rd, Garland, TX 75044"
0,"$1,095 - 1,580",1-2 Beds,"801 La Prada Dr, Garland, TX 75043"
