,price,rooms,address
0,"$2,720 - 2,795",1-3 Beds,"526-540 N Central Ave, Glendale, CA 91203"
0,"$2,488 - 4,735",Studio - 2 Beds,"318 W Wilson Ave, Glendale, CA 91203"
0,"$4,610 - 5,425",2 Beds,"215 N Maryland Ave, Glendale, CA 91206"
0,"$2,650 - 3,600",1-2 Beds,"3909 San Fernando Rd, Glendale, CA 91204"
0,"$2,995 - 6,350",Studio - 2 Beds,"889 Americana Way, Glendale, CA 91210"
0,"$1,404 - 6,950",Studio - 3 Beds,"325 N First St, Burbank, CA 91502"
0,"$2,825 - 4,025",Studio - 3 Beds,"350 S San Fernando Blvd, Burbank, CA 91502"
0,"$2,045 - 4,495",Studio - 1 Bed,"1200 W Riverside Dr, Burbank, CA 91506"
0,"$4,500 - 4,800",2 Beds,"111 N Louise St, Glendale, CA 91206"
0,"$2,311 - 3,341",1-2 Beds,"521 W Colorado St, Glendale, CA 91204"
0,"$2,700 - 4,355",Studio - 3 Beds,"275 W Lexington Dr, Glendale, CA 91203"
0,"$3,400 - 4,065",1-2 Beds,"416 E Broadway, Glendale, CA 91205"
0,"$2,408 - 6,090",Studio - 2 Beds,"321 N Orange St, Glendale, CA 91203"
0,"$2,600 - 4,050",Studio - 2 Beds,"546 W Colorado St, Glendale, CA 91204"
0,"$3,200 - 3,625",1-4 Beds,"1717 N Verdugo Rd, Glendale, CA 91208"
0,"$2,338 - 5,381",Studio - 3 Beds,"313 W California Ave, Glendale, CA 91203"
0,"$3,214 - 5,233",Studio - 2 Beds,"515 W Broadway, Glendale, CA 91204"
0,"$2,650 - 3,650",1-2 Beds,"1407 W Glenoaks Blvd, Glendale, CA 91201"
0,"$1,795",1 Bed,"524 E Elk Ave, Glendale, CA 91205"
0,Call for Rent,2 Beds,"Glendale, CA 91205"
0,"$2,695 - 2,995",1-2 Beds,"1171 Allen Ave, Glendale, CA 91201"
0,"$2,395 - 2,595",2 Beds,"618 W Dryden St, Glendale, CA 91202"
0,Call for Rent,1-3 Beds,"3250 Fairesta St, La Crescenta, CA 91214"
0,"$1,871 - 4,590",Studio - 2 Beds,"3205 Los Feliz Blvd, Los Angeles, CA 90039"
0,"$1,999 - 2,099",1 Bed,"415 E Cedar Ave, Burbank, CA 91501"
0,"$2,495",1 Bed,"520 E Magnolia Blvd, Burbank, CA 91501"
0,"$2,500 - 3,150",1-3 Beds,"4247 Eagle Rock Blvd, Los Angeles, CA 90065"
0,"$3,725 - 10,500",1-3 Beds,"520 N Central Ave, Glendale, CA 91203"
0,"$2,780 - 4,530",Studio - 3 Beds,"1137 N Central Ave, Glendale, CA 91202"
0,"$2,963 - 6,950",1-3 Beds,"435 W Los Feliz Rd, Glendale, CA 91204"
0,"$2,350 - 2,674",1 Bed,"321 E Fairview Ave, Glendale, CA 91207"
0,"$2,500 - 5,100",1-3 Beds,"358 Milford St, Glendale, CA 91203"
0,"$2,423 - 13,039",Studio - 3 Beds,"108-120 W Wilson Ave, Glendale, CA 91203"
0,"$2,900 - 3,525",2-3 Beds,"720 N Louise St, Glendale, CA 91206"
0,"$2,260 - 11,164",1-3 Beds,"1435 Stanley Ave, Glendale, CA 91206"
0,"$2,295 - 2,495",2 Beds,"428 W Stocker St, Glendale, CA 91202"
0,"$2,040 - 2,795",1-2 Beds,"1119 E Elk Ave, Glendale, CA 91205"
0,"$2,300",1 Bed,"1377 E Windsor Rd, Glendale, CA 91205"
0,"$2,057 - 4,488",Studio - 2 Beds,"200 E Broadway, Glendale, CA 91205"
0,"$2,600",2 Beds,"435 Hawthorne St, Glendale, CA 91204"
