,price,rooms,address
0,"$1,400 - 4,046",1-3 Beds,"7165 Lake Ridge Pky, Grand Prairie, TX 75054"
0,"$1,463 - 2,630",1-2 Beds,"3850 Double Oak Ave, Grand Prairie, TX 76065"
0,"$1,295 - 2,205",Studio - 2 Beds,"3951 Dechman Dr, Grand Prairie, TX 75052"
0,"$1,370 - 2,000",Studio - 2 Beds,"2422 S Carrier Pky, Grand Prairie, TX 75051"
0,"$1,479 - 2,414",1-2 Beds,"3711 S State Highway 161, Grand Prairie, TX 75052"
0,"$1,360 - 2,735",Studio - 2 Beds,"3550 S Robinson Rd, Grand Prairie, TX 75052"
0,"$1,087 - 1,947",1-3 Beds,"2305 Windsprint Way, Arlington, TX 76014"
0,"$1,459 - 2,599",1-3 Beds,"1225 W Interstate 20, Grand Prairie, TX 75052"
0,"$1,225 - 2,070",Studio - 2 Beds,"3145 Lynn Creek Pky, Grand Prairie, TX 75052"
0,"$1,966 - 2,522",1-2 Beds,"3950 Dechman Dr, Grand Prairie, TX 75052"
0,"$1,648 - 3,250",1-3 Beds,"870 Dickey Rd, Grand Prairie, TX 75051"
0,"$1,452 - 3,763",1-3 Beds,"2105 S Forum Dr, Grand Prairie, TX 75052"
0,"$1,398 - 4,457",1-3 Beds,"3651 Prairie Waters Dr, Grand Prairie, TX 75052"
0,"$1,303 - 4,838",1-3 Beds,"525 W Westchester Pky, Grand Prairie, TX 75052"
0,"$1,229 - 2,379",Studio - 3 Beds,"2901 Mayfield Rd, Grand Prairie, TX 75052"
0,"$1,407 - 2,330",1-2 Beds,"2155 Arkansas Ln, Grand Prairie, TX 75052"
0,"$1,144 - 2,305",1-3 Beds,"2502 Riverside Dr, Grand Prairie, TX 75050"
0,"$1,181 - 2,197",1-3 Beds,"2825 N Highway 360, Grand Prairie, TX 75050"
0,"$1,215 - 2,543",1-3 Beds,"602 W Pioneer Pky, Grand Prairie, TX 75051"
0,"$999 - 1,699",1-3 Beds,"417 W Tarrant Rd, Grand Prairie, TX 75050"
0,"$1,163 - 4,352",1-3 Beds,"3030 Claremont Dr, Grand Prairie, TX 75052"
0,"$1,259 - 4,470",1-3 Beds,"2803 Riverside Pky, Grand Prairie, TX 75050"
0,"$1,249 - 2,489",1-3 Beds,"6310 State Highway 360, Grand Prairie, TX 75052"
0,"$1,324 - 2,413",1-2 Beds,"2255 Arkansas Ln, Grand Prairie, TX 75052"
0,"$1,249 - 2,604",1-3 Beds,"3655 Prairie Waters Dr, Grand Prairie, TX 75052"
0,"$925 - 1,880",1-3 Beds,"2502 Burney Oaks Ln, Arlington, TX 76006"
0,"$1,049 - 1,700",1-2 Beds,"2014 Remington Dr, Arlington, TX 76010"
0,"$1,385 - 2,480",1-2 Beds,"1300 Lowe Rd, Mansfield, TX 76063"
0,"$1,065 - 1,750",Studio - 2 Beds,"3720 Post Oak Blvd, Euless, TX 76040"
0,"$829 - 1,392",1-2 Beds,"14300 Statler Blvd, Fort Worth, TX 76155"
0,"$866 - 2,572",1-2 Beds,"3875 Post Oak Blvd, Euless, TX 76040"
0,"$1,060 - 2,313",1-2 Beds,"2409 Fallwood Dr, Arlington, TX 76014"
0,"$1,258 - 5,393",1-3 Beds,"1400 N State Hwy, Mansfield, TX 76063"
0,"$1,097 - 2,178",1-2 Beds,"2105 Cottonwood Club Rd, Arlington, TX 76010"
0,"$1,078 - 2,351",1-3 Beds,"3700 Post Oak Blvd, Euless, TX 76040"
0,"$975 - 2,386",1-2 Beds,"1147 Esters Rd, Irving, TX 75061"
0,"$1,385 - 2,145",Studio - 2 Beds,"1658 S Forum Dr, Grand Prairie, TX 75052"
0,"$1,320 - 2,105",1-3 Beds,"2250 Sara Jane Pky, Grand Prairie, TX 75052"
0,"$823 - 2,239",1-2 Beds,"1960 W Tarrant Rd, Grand Prairie, TX 75050"
0,"$1,279 - 2,658",1-3 Beds,"14301 Centre Station Dr, Fort Worth, TX 76155"
