,price,rooms,address
0,"$1,489 - 2,350",Studio - 3 Beds,"5770 29th St, Greeley, CO 80634"
0,"$1,370 - 2,275",Studio - 3 Beds,"2405 38th Ave, Greeley, CO 80634"
0,"$1,350 - 2,395",Studio - 3 Beds,"2025 50th Ave, Greeley, CO 80634"
0,"$1,239 - 1,840",1-3 Beds,"3775 W 25th St, Greeley, CO 80634"
0,"$895 - 1,995",Studio - 1 Bed,"609 8th Ave, Greeley, CO 80631"
0,"$1,585 - 2,215",1-3 Beds,"4118 Centerplace Dr, Greeley, CO 80634"
0,"$1,750 - 3,715",1-2 Beds,"1100 8th Ave, Greeley, CO 80631"
0,"$1,250 - 3,166",1-2 Beds,"3769 W 25th St, Greeley, CO 80634"
0,"$1,226 - 3,381",2-3 Beds,"3208 W 7th St, Greeley, CO 80634"
0,"$1,017 - 2,639",1-2 Beds,"1722 30th St, Greeley, CO 80631"
0,"$1,370 - 3,100",1-3 Beds,"4750 W 29th St, Greeley, CO 80634"
0,"$1,095 - 1,195",2 Beds,"509 18th St, Greeley, CO 80631"
0,"$1,294 - 2,335",Studio - 3 Beds,"7109 W 27th St, Greeley, CO 80634"
0,"$1,055 - 1,485",1-3 Beds,"1213-1233 26th Ave, Greeley, CO 80634"
0,"$1,103 - 1,674",1-4 Beds,"1750 Greeley Mall St, Greeley, CO 80631"
0,"$1,450 - 2,350",1-3 Beds,"4620 Tuscany St, Evans, CO 80620"
0,"$1,200 - 2,631",Studio - 3 Beds,"2420 W Reservoir Rd, Greeley, CO 80634"
0,"$1,430 - 2,424",1-2 Beds,"1001 50th Ave, Greeley, CO 80634"
0,"$775 - 1,180",Studio - 1 Bed,"1700 6th Ave, Greeley, CO 80631"
0,"$995 - 1,445",Studio - 2 Beds,"701 23rd St, Greeley, CO 80631"
0,"$999 - 1,325",Studio - 3 Beds,"1709 31st St Rd, Greeley, CO 80631"
0,$635 - 725,2-3 Beds,"3202 11th Ave, Evans, CO 80620"
0,"$1,230 - 1,814",Studio - 2 Beds,"1540 8th Ave, Greeley, CO 80631"
0,"$1,050 - 1,275",Studio - 1 Bed,"811 15th St, Greeley, CO 80631"
0,"$1,490 - 2,270",1-3 Beds,"6720 W 29th St, Greeley, CO 80634"
0,"$2,400 - 2,525",3 Beds,"8150 W 12th St, Greeley, CO 80634"
0,"$1,650",2-3 Beds,"3101-3115 17th Ave, Greeley, CO 80631"
0,"$1,300 - 1,725",1-2 Beds,"3643 29th St, Greeley, CO 80634"
0,"$1,350 - 1,600",1-2 Beds,"8200 W 20th St, Greeley, CO 80634"
0,"$1,450 - 2,275",1-3 Beds,"10306 20th St, Greeley, CO 80634"
0,"$1,400 - 2,200",1-3 Beds,"1111 86th Ave, Greeley, CO 80634"
0,"$1,400",2 Beds,"1902-1930 68th Ave, Greeley, CO 80634"
0,"$1,035 - 1,415",1-3 Beds,"2162 30th St, Greeley, CO 80631"
0,"$1,135 - 1,575",1-2 Beds,"2311 W 16th St, Greeley, CO 80634"
0,"$1,400",2 Beds,"3004 W A St, Greeley, CO 80631"
0,"$1,000 - 1,450",1-3 Beds,"2633 23rd Ave, Greeley, CO 80634"
0,"$1,104 - 1,523",1-3 Beds,"3770 W 24th St, Greeley, CO 80634"
0,"$1,250 - 1,900",1-3 Beds,"2540 Crescent Cove Dr, Evans, CO 80620"
