,price,rooms,address
0,"$1,099 - 1,449",2-3 Beds,"2 Hiltin Pl, Greensboro, NC 27409"
0,"$895 - 1,211",1-2 Beds,"1606 Pinecroft Rd, Greensboro, NC 27407"
0,"$895 - 1,465",Studio - 2 Beds,"3822 Mizell Rd, Greensboro, NC 27405"
0,"$1,591 - 6,730",1-3 Beds,"2900 Queenstown Cir, Greensboro, NC 27407"
0,"$1,475 - 2,120",1-3 Beds,"1800 Kauri Cliffs Pt, Greensboro, NC 27409"
0,"$1,212 - 2,196",1-3 Beds,"2735 Horse Pen Creek Rd, Greensboro, NC 27410"
0,"$1,445 - 2,015",1-3 Beds,"622 Brigham Rd, Greensboro, NC 27409"
0,"$1,300 - 2,460",1-2 Beds,"1001 S Lindell Rd, Greensboro, NC 27403"
0,"$1,055 - 1,630",2-3 Beds,"5505 Tomahawk Dr, Greensboro, NC 27410"
0,"$999 - 1,525",1-3 Beds,"3200 Lawndale Dr, Greensboro, NC 27408"
0,$940,2 Beds,"3900 Hahns Ln, Greensboro, NC 27401"
0,"$974 - 1,284",1-2 Beds,"2205 New Garden Rd, Greensboro, NC 27410"
0,"$1,178 - 6,989",1-3 Beds,"1921 New Garden Rd, Greensboro, NC 27410"
0,"$1,274 - 1,861",1-3 Beds,"4103 Cox Pl, Greensboro, NC 27409"
0,"$1,533 - 2,080",1-3 Beds,"5500 Freedom Ln, Jamestown, NC 27282"
0,"$895 - 1,250",1-3 Beds,"2905 Cottage Pl, Greensboro, NC 27455"
0,"$1,120 - 1,975",1-3 Beds,"1338 Adams Farm Pky, Greensboro, NC 27407"
0,"$950 - 1,175",2-3 Beds,"1805 Fairfax Rd, Greensboro, NC 27407"
0,"$1,462 - 1,846",1-3 Beds,"101 Shore Lake Dr, Greensboro, NC 27455"
0,"$925 - 1,400",1-3 Beds,"3601 Lynhaven Dr, Greensboro, NC 27406"
0,"$910 - 1,110",1-3 Beds,"3854 West Ave, Greensboro, NC 27407"
0,"$1,129 - 1,504",1-3 Beds,"3800 Cotswold Ave, Greensboro, NC 27410"
0,"$1,034 - 2,367",Studio - 2 Beds,"7 Woodstream Ln, Greensboro, NC 27410"
0,"$1,003 - 2,913",1-2 Beds,"5646 W Market St, Greensboro, NC 27409"
0,"$1,005 - 1,660",1-2 Beds,"1 A Saint Croix Pl, Greensboro, NC 27410"
0,"$1,099 - 2,581",1-2 Beds,"2826 Vanstory St, Greensboro, NC 27407"
0,"$1,015 - 1,638",1-3 Beds,"3201 Allerton Cir, Greensboro, NC 27409"
0,"$999 - 1,350",1-2 Beds,"6400 Old Oak Ridge Rd, Greensboro, NC 27410"
0,"$850 - 1,075",1-3 Beds,"3216 S Holden Rd, Greensboro, NC 27407"
0,"$1,175 - 1,650",1-3 Beds,"201 Sandbar Cir, Greensboro, NC 27406"
0,"$1,225 - 1,375",2-3 Beds,"4904 Koger Blvd, Greensboro, NC 27407"
