,price,rooms,address
0,"$775 - 1,200",1-2 Beds,"121 Harbor Pointe Ln, Greenville, NC 27858"
0,"$1,300 - 1,930",1-3 Beds,"904 Gabriel Dr, Greenville, NC 27834"
0,"$875 - 1,350",1-4 Beds,"3800 Bostic Dr, Greenville, NC 27834"
0,$580 - 650,3-4 Beds,"1526 S Charles Blvd, Greenville, NC 27858"
0,$580,4 Beds,"3305 E 10th St, Greenville, NC 27858"
0,"$904 - 1,283",1-2 Beds,"640 Brighton Park Dr, Greenville, NC 27834"
0,"$1,250 - 1,500",2-4 Beds,"2200 Bellamy Dr, Greenville, NC 27858"
0,"$875 - 1,250",1-3 Beds,"1510 Bridle Cir, Greenville, NC 27834"
0,$625 - 745,2-4 Beds,"2201 Greenville Blvd NE, Greenville, NC 27858"
0,"$1,025 - 1,250",1-2 Beds,"3002 Kingston Cir, Greenville, NC 27858"
0,$525 - 600,3-4 Beds,"3535 E 10th St, Greenville, NC 27858"
0,Call for Rent,1-3 Beds,"940-970 Spring Forest Rd, Greenville, NC 27834"
0,"$1,200 - 1,540",1-2 Beds,"2221 Hyde Dr, Greenville, NC 27858"
0,"$999 - 1,399",1-2 Beds,"1804 Bradford Dr, Greenville, NC 27858"
0,"$1,400 - 1,870",1-3 Beds,"611 Legacy Ct, Winterville, NC 28590"
0,$710 - 809,2-4 Beds,"1920 Exchange Dr, Greenville, NC 27858"
0,"$675 - 1,380",1-4 Beds,"504 Boxelder Way, Greenville, NC 27858"
0,"$775 - 1,075",1-3 Beds,"204 Eastbrook Dr, Greenville, NC 27858"
0,$599 - 650,2-3 Beds,"2230 Greenville Blvd NE, Greenville, NC 27858"
0,"$1,252 - 1,742",1-3 Beds,"2700 W Arlington Blvd, Greenville, NC 27834"
0,"$1,190 - 1,531",1-2 Beds,"701 Treybrooke Cir, Greenville, NC 27834"
0,"$1,175 - 1,435",1-2 Beds,"3400 Briarcliff Dr, Greenville, NC 27834"
0,$569 - 639,2-4 Beds,"1725 E First St, Greenville, NC 27858"
0,"$900 - 1,355",1-3 Beds,"14A Merry Ln, Greenville, NC 27858"
0,$849,1 Bed,"3212 Summer Plz, Greenville, NC 27834"
0,"$1,025 - 1,536",1-3 Beds,"1530 Wimbledon Dr, Greenville, NC 27858"
0,"$1,050 - 1,250",2-3 Beds,"1301-1321 Westpointe Dr, Greenville, NC 27834"
0,$945,1 Bed,"1255 Westpointe Dr, Greenville, NC 27834"
0,$725 - 950,1-2 Beds,"3150 Boardwalk Ln, Greenville, NC 27834"
0,"$825 - 1,299",1-2 Beds,"589 S Square Dr, Winterville, NC 28590"
0,"$795 - 1,405",Studio - 4 Beds,"550 Pitt-Greene Connector, Greenville, NC 27834"
0,"$1,025 - 1,350",1-3 Beds,"3278 Colony Ct, Greenville, NC 27834"
0,$670 - 925,2-3 Beds,"2613 Whitaker Dr, Greenville, NC 27834"
0,"$1,430 - 1,590",1-2 Beds,"3863 Dunhagan Rd, Greenville, NC 27858"
0,"$1,445 - 1,525",1-2 Beds,"3866 Dunhagan Rd, Greenville, NC 27858"
0,"$739 - 1,219",Studio - 4 Beds,"400 S Greene St, Greenville, NC 27834"
0,$720 - 755,2 Beds,"1110 E 10th St, Greenville, NC 27858"
0,$850 - 975,1-2 Beds,"200 Verdant Dr, Greenville, NC 27858"
0,"$1,075 - 1,515",1-3 Beds,"410 Beasley Dr, Greenville, NC 27834"
0,"$895 - 1,045",1-2 Beds,"1600-1606 W Arlington Blvd, Greenville, NC 27834"
