,price,rooms,address
0,"$1,369 - 5,118",Studio - 2 Beds,"1699 NW Civic Dr, Gresham, OR 97030"
0,"$1,624 - 1,794",1-2 Beds,"2831 SE Palmquist Rd, Gresham, OR 97080"
0,"$1,550 - 1,685",1-3 Beds,"20433 SE Stark St, Gresham, OR 97030"
0,"$1,304 - 2,180",Studio - 2 Beds,"23765 NE Halsey St, Wood Village, OR 97060"
0,"$1,445 - 1,645",2 Beds,"17310 SE Naegeli Dr, Portland, OR 97236"
0,"$1,495 - 2,595",1-3 Beds,"2530 SW Cherry Park Rd, Troutdale, OR 97060"
0,"$1,552 - 3,178",1-3 Beds,"588 SE 217th Ave, Gresham, OR 97030"
0,"$1,225 - 1,450",1-2 Beds,"2950 NE 23rd St, Gresham, OR 97030"
0,"$1,620 - 2,120",1-2 Beds,"188 NW 3rd St, Gresham, OR 97030"
0,"$1,392 - 2,221",1-2 Beds,"1167 NW Wallula Ave, Gresham, OR 97030"
0,"$1,750",2 Beds,"2948 W Powell Blvd, Gresham, OR 97030"
0,"$1,423 - 2,372",1-3 Beds,"1930 SE 6th St, Gresham, OR 97080"
0,"$1,453 - 1,823",1-3 Beds,"1112 NW 15th St, Gresham, OR 97030"
0,"$1,325 - 2,275",1-3 Beds,"3604 SE Powell Valley Rd, Gresham, OR 97080"
0,"$1,475 - 1,625",1-2 Beds,"468 SE 202nd Ave, Gresham, OR 97030"
0,"$1,575 - 1,795",Studio - 2 Beds,"20300 SE Morrison Ter, Gresham, OR 97030"
0,"$1,280 - 2,363",1-3 Beds,"3500 NE 17th St, Gresham, OR 97030"
0,"$1,434 - 2,257",1-2 Beds,"2700 W Powell Blvd, Gresham, OR 97030"
0,"$1,245 - 2,025",1-3 Beds,"1717 SE Orient Dr, Gresham, OR 97080"
0,"$1,395 - 2,398",1-2 Beds,"1381 NE Park Ln, Fairview, OR 97024"
0,"$2,400",2 Beds,"14615 NE Rose Pky, Portland, OR 97230"
0,"$1,725",2 Beds,"2079 SW 257th Ave, Troutdale, OR 97060"
0,"$1,995",3 Beds,"17366 NE Halsey St, Portland, OR 97230"
0,"$1,611 - 2,707",1-3 Beds,"20650 NE Halsey St, Fairview, OR 97024"
0,"$1,900 - 2,075",2 Beds,"16533 NE Halsey St, Portland, OR 97230"
0,"$1,585 - 1,918",2 Beds,"20347 NE Halsey St, Fairview, OR 97024"
0,"$1,375 - 1,800",1-2 Beds,"1555 NE Village St, Fairview, OR 97024"
0,"$1,222 - 1,540",1-3 Beds,"224 SE 188th Ave, Portland, OR 97233"
0,"$1,338 - 2,709",1-3 Beds,"20121 SE Stark St, Portland, OR 97233"
0,"$1,725 - 1,872",1-3 Beds,"21933-21989 NE Chinook Way, Fairview, OR 97024"
0,"$1,355 - 2,212",1-3 Beds,"665 NE 178th Ave, Portland, OR 97230"
0,"$1,527 - 2,564",1-3 Beds,"4777 SW 11th St, Gresham, OR 97080"
0,"$1,375 - 2,990",1-3 Beds,"1500 SW Pleasant View Dr, Gresham, OR 97080"
0,"$1,595",2 Beds,"2755 NE Hogan Dr, Gresham, OR 97030"
0,"$1,575 - 1,895",1-2 Beds,"22025 NE Halsey St, Fairview, OR 97024"
0,"$1,445 - 1,770",1-2 Beds,"3000 SW Corbeth Ln, Troutdale, OR 97060"
0,"$1,715 - 3,544",1-2 Beds,"1833 SE 6th St, Gresham, OR 97080"
0,"$1,679 - 2,099",2 Beds,"700 SW Eastman Pky, Gresham, OR 97080"
0,"$1,679 - 2,299",1-3 Beds,"1132 NW Birdsdale Ave, Gresham, OR 97030"
0,"$1,506 - 3,439",1-2 Beds,"1616 NE 16th Way, Gresham, OR 97030"
