,price,rooms,address
0,"$1,454 - 3,490",Studio - 3 Beds,"2100 N Campus Pky, Hampton, VA 23666"
0,"$1,065 - 2,840",1-3 Beds,"5109 Goldsboro Dr, Hampton, VA 23605"
0,"$1,280 - 1,520",1-2 Beds,"4900 Falcon Creek Way, Hampton, VA 23666"
0,"$1,543 - 2,984",1-3 Beds,"600 Freeman Dr, Hampton, VA 23666"
0,"$1,475 - 1,937",Studio - 3 Beds,"1850 Merchant Ln, Hampton, VA 23666"
0,"$1,450 - 2,255",1-2 Beds,"200 S Mallory St, Hampton, VA 23663"
0,"$1,421 - 2,536",1-2 Beds,"27 King St, Hampton, VA 23669"
0,"$1,199 - 1,949",1-2 Beds,"2 Wyndham Dr, Hampton, VA 23666"
0,"$1,284 - 1,568",1-3 Beds,"70 Lakeshore Dr, Hampton, VA 23666"
0,"$1,215 - 1,400",1-2 Beds,"810 Lasalle Ave, Hampton, VA 23669"
0,"$1,474 - 2,175",Studio - 3 Beds,"670 Downey Green, Hampton, VA 23666"
0,"$1,475",2 Beds,"132 Tide Mill Ln, Hampton, VA 23666"
0,"$1,153 - 1,411",1-3 Beds,"2018 Cunningham Dr, Hampton, VA 23666"
0,"$1,221 - 1,618",1-3 Beds,"1220 N King St, Hampton, VA 23669"
0,"$1,536 - 2,215",2-3 Beds,"900 Lake Ridge Rd, Hampton, VA 23666"
0,"$1,440 - 2,400",1-3 Beds,"553 Settlers Landing Rd, Hampton, VA 23669"
0,"$1,526 - 1,831",1-3 Beds,"3100 Hampton Hwy, Yorktown, VA 23693"
0,"$1,000 - 1,500",1-3 Beds,"173 Louise Dr, Newport News, VA 23601"
0,"$1,274 - 1,440",1-2 Beds,"135 Pine Chapel Rd, Hampton, VA 23666"
0,"$1,200 - 1,600",1-3 Beds,"313 Silver Isles Blvd, Hampton, VA 23664"
0,"$1,170 - 2,650",1-3 Beds,"6001 Terrell Ln, Hampton, VA 23666"
0,"$1,145 - 1,595",2-3 Beds,"2002 N Seldendale Dr, Hampton, VA 23669"
0,"$1,380 - 2,090",2-4 Beds,"2109 Newton Rd, Hampton, VA 23663"
0,"$1,175 - 1,760",2-3 Beds,"11112 Tarrytown Ct, Newport News, VA 23601"
0,"$1,150 - 1,400",1-2 Beds,"802 Constance Dr, Newport News, VA 23601"
0,"$800 - 1,599",1-4 Beds,"4801 Marshall Ave, Newport News, VA 23607"
0,"$1,320 - 1,975",Studio - 2 Beds,"102 Sunrise Cv, Hampton, VA 23666"
0,"$1,630 - 2,480",2 Beds,"1 Hampstead Heath Way, Hampton, VA 23666"
0,"$1,651 - 1,882",1-3 Beds,"507 Marcella Rd, Hampton, VA 23666"
0,"$1,444 - 2,869",1-3 Beds,"2 Abbott Dr, Hampton, VA 23666"
0,"$1,499 - 2,950",1-3 Beds,"100 Monticello Mews, Hampton, VA 23666"
0,"$1,265 - 3,135",1-3 Beds,"2 Tradewinds Quay, Hampton, VA 23666"
0,"$1,125",2 Beds,"1115 E Pembroke Ave, Hampton, VA 23669"
0,"$1,211 - 3,812",1-4 Beds,"99 #189 Tide Mill Ln, Hampton, VA 23666"
0,"$979 - 1,470",1-2 Beds,"2632 N Armistead Ave, Hampton, VA 23666"
0,"$925 - 1,200",1-2 Beds,"3785 Kecoughtan Rd, Hampton, VA 23669"
0,"$975 - 1,745",1-3 Beds,"1587 Briarfield Rd, Hampton, VA 23666"
0,"$1,493 - 2,785",1-3 Beds,"101 Benevita Pl, Hampton, VA 23666"
0,"$1,100 - 1,150",2 Beds,"102 Michigan Dr, Hampton, VA 23669"
0,"$1,385 - 1,825",2-3 Beds,"600 Willow Oaks Blvd, Hampton, VA 23669"
