,price,rooms,address
0,"$1,642 - 2,810",Studio - 3 Beds,"1009 NW 206th Ave, Hillsboro, OR 97006"
0,"$1,360 - 2,390",Studio - 2 Beds,"1090 NE 91st Ave, Hillsboro, OR 97006"
0,"$2,050 - 2,100",1-2 Beds,"210 SE 9th Ave, Hillsboro, OR 97123"
0,"$1,790 - 2,650",Studio - 3 Beds,"1250 NE Compton Dr, Hillsboro, OR 97006"
0,"$2,050",3 Beds,"148 NE 24th Ave, Hillsboro, OR 97124"
0,"$3,502 - 5,839",3 Beds,"3405 SE Reed Dr, Hillsboro, OR 97123"
0,"$1,636 - 2,216",1-3 Beds,"2065 SE 44th Ave, Hillsboro, OR 97123"
0,"$1,759 - 5,587",1-3 Beds,"6199 NE Alder St, Hillsboro, OR 97124"
0,"$1,395 - 1,825",1 Bed,"1401 NE Carlaby Way, Hillsboro, OR 97124"
0,"$1,559 - 2,114",1-3 Beds,"2053 NE 106th Ave, Hillsboro, OR 97124"
0,"$1,775 - 3,719",1-3 Beds,"1099 NW Ordonez Pl, Hillsboro, OR 97006"
0,"$1,764 - 2,741",1-3 Beds,"10300 NE Evergreen Pky, Hillsboro, OR 97124"
0,"$1,925 - 2,425",1-3 Beds,"6710 NE Vinings Way, Hillsboro, OR 97124"
0,"$1,469 - 2,351",Studio - 2 Beds,"2451 NW 206 Ave, Hillsboro, OR 97006"
0,"$1,710 - 2,420",1-3 Beds,"545 SW 201st Ave, Beaverton, OR 97006"
0,Call for Rent,1-3 Beds,"875 SW 185th Ave, Beaverton, OR 97006"
0,"$1,813 - 2,707",1-3 Beds,"18300 NW Walker Rd, Beaverton, OR 97006"
0,"$1,645 - 2,445",Studio - 3 Beds,"390 SE Main St, Hillsboro, OR 97123"
0,Call for Rent,1-2 Beds,"8515 NE Quatama St, Hillsboro, OR 97006"
0,"$1,645 - 2,245",2-3 Beds,"663-666 E Main St, Hillsboro, OR 97123"
0,"$3,725 - 7,250",Studio - 2 Beds,"1075 NE Amberglen Pky, Hillsboro, OR 97006"
0,"$1,874 - 4,302",1-3 Beds,"6910 NE Ronler Way, Hillsboro, OR 97124"
0,"$1,848 - 16,619",Studio - 3 Beds,"6523 NE Cherry Dr, Hillsboro, OR 97124"
0,"$1,550 - 2,185",1-3 Beds,"5502 NE Hidden Creek Dr, Hillsboro, OR 97124"
0,"$1,595 - 2,210",1-3 Beds,"2705 NE John Olsen Ave, Hillsboro, OR 97124"
0,"$1,663 - 3,083",1-4 Beds,"2615 NW 194th Ter, Hillsboro, OR 97124"
0,"$1,926 - 3,085",1-3 Beds,"1299 NE Orenco Station Pky, Hillsboro, OR 97124"
0,"$1,573 - 3,995",1-3 Beds,"1101 NE 89th Ave, Hillsboro, OR 97006"
0,"$1,793 - 4,792",1-2 Beds,"3009 NE Overlook Dr, Hillsboro, OR 97124"
0,"$1,604 - 2,458",1-3 Beds,"3120 NW John Olsen Ave, Hillsboro, OR 97124"
0,"$1,479 - 2,370",Studio - 3 Beds,"9250 NE Rockspring St, Hillsboro, OR 97006"
0,"$914 - 1,718",1-3 Beds,"181 SE 18th Ave, Hillsboro, OR 97123"
0,"$1,735 - 2,265",1-3 Beds,"21187 NW Galice Ln, Portland, OR 97229"
0,"$2,033 - 4,169",1-4 Beds,"7001 SE Blanton St, Hillsboro, OR 97123"
0,Call for Rent,1-3 Beds,"9350 NE Windsor St, Hillsboro, OR 97006"
0,"$1,450 - 2,815",1-3 Beds,"2301 NW Schmidt Way, Beaverton, OR 97006"
0,"$1,495 - 1,795",1-3 Beds,"380 NW Gina Way, Aloha, OR 97006"
0,"$1,540 - 2,165",Studio - 3 Beds,"1563 SW 172nd Ter, Beaverton, OR 97003"
0,"$1,720 - 4,490",Studio - 2 Beds,"6380 NE Cherry Dr, Hillsboro, OR 97124"
0,"$1,849 - 2,821",1-3 Beds,"8911 NE Colonnade Dr, Hillsboro, OR 97124"
