,price,rooms,address
0,"$1,152 - 2,264",1-3 Beds,"200 River Haven Cir, Hoover, AL 35244"
0,"$915 - 1,485",1-4 Beds,"990 Wisteria Pl, Hoover, AL 35216"
0,"$899 - 1,772",1-3 Beds,"915 Valley Ridge Dr, Homewood, AL 35209"
0,"$1,464 - 2,684",1-3 Beds,"100 Wildwood Ct, Birmingham, AL 35209"
0,"$1,379 - 2,827",Studio - 2 Beds,"3090 Highway 280, Birmingham, AL 35243"
0,"$1,419 - 3,374",Studio - 3 Beds,"3560 Grandview Pky, Birmingham, AL 35243"
0,"$925 - 1,200",1-2 Beds,"3 Greenhill Pky, Birmingham, AL 35242"
0,"$1,775 - 3,600",1-3 Beds,"120 Whitby Ln, Birmingham, AL 35242"
0,"$1,499 - 3,099",1-3 Beds,"7273 Cahaba Valley Rd, Birmingham, AL 35242"
0,"$995 - 1,827",1-3 Beds,"2000 Colony Park Dr, Birmingham, AL 35243"
0,"$915 - 2,269",1-4 Beds,"550 Hampton Park Dr, Hoover, AL 35216"
0,"$1,003 - 1,859",1-3 Beds,"2139 Rocky Ridge Ranch Rd, Hoover, AL 35216"
0,"$925 - 1,400",1-3 Beds,"3708 Lodge Dr, Hoover, AL 35216"
0,"$999 - 1,963",1-3 Beds,"3801 Galleria Woods Dr, Hoover, AL 35244"
0,"$835 - 2,562",1-3 Beds,"100 Tree Crossing Pky, Hoover, AL 35244"
0,"$1,000 - 1,546",1-2 Beds,"2600 Waterford Pl, Hoover, AL 35244"
0,"$1,089 - 2,787",1-3 Beds,"5775 Summer Place Pky, Hoover, AL 35244"
0,"$900 - 1,500",1-3 Beds,"861 Tyler Cir, Hoover, AL 35226"
0,"$1,034 - 1,670",1-2 Beds,"100 Summerchase Dr, Hoover, AL 35244"
0,"$1,240 - 1,725",1-3 Beds,"1200 Oaks Dr, Birmingham, AL 35209"
0,"$925 - 1,685",Studio - 3 Beds,"779 Woodmere Creek Dr, Birmingham, AL 35226"
0,"$1,349 - 2,044",1-3 Beds,"1 Lake Heather Reserve, Birmingham, AL 35242"
0,"$1,417 - 1,905",1-3 Beds,"2801 Riverview Rd, Birmingham, AL 35242"
0,"$1,336 - 3,878",1-3 Beds,"201 Retreat Dr, Birmingham, AL 35242"
0,"$1,420 - 4,583",1-3 Beds,"1000 Wildforest Dr, Birmingham, AL 35209"
0,"$1,170 - 2,005",1-3 Beds,"101 Leaf Lake Blvd, Birmingham, AL 35211"
0,"$1,154 - 2,183",1-3 Beds,"1 Stonecrest Dr, Birmingham, AL 35242"
0,"$1,392 - 1,672",1-3 Beds,"2800 Riverview Rd, Birmingham, AL 35242"
0,"$899 - 1,410",1-4 Beds,"218 Olympia Dr, Homewood, AL 35209"
0,"$812 - 1,500",1-3 Beds,"2071 Alpine Village St, Birmingham, AL 35216"
0,"$899 - 1,429",1-2 Beds,"1000 Hunt Cliff Rd, Birmingham, AL 35242"
0,"$960 - 2,279",1-3 Beds,"726 Raleigh Ct, Homewood, AL 35209"
0,"$1,089 - 2,049",1-3 Beds,"2927 Columbiana Ct, Vestavia Hills, AL 35216"
0,"$975 - 1,520",1-3 Beds,"403 Edgecrest Dr, Homewood, AL 35209"
0,"$986 - 2,791",1-3 Beds,"100 Inverness Cliffs Dr, Birmingham, AL 35242"
0,"$1,105 - 3,132",1-3 Beds,"150 Summit Pl, Birmingham, AL 35243"
0,"$965 - 1,205",1-3 Beds,"1229 Beacon Pky E, Birmingham, AL 35209"
0,"$1,122 - 3,190",1-3 Beds,"2850 Venice Rd, Birmingham, AL 35211"
0,"$1,255 - 2,250",1-3 Beds,"1922 Tree Top Ln, Vestavia Hills, AL 35216"
0,"$1,339 - 4,315",1-2 Beds,"3120 Cahaba River Rd, Birmingham, AL 35243"
