,price,rooms,address
0,"$1,099 - 1,855",1-2 Beds,"8700 Main St, Houston, TX 77025"
0,"$799 - 1,330",1-2 Beds,"14402 Pavilion Pt, Houston, TX 77083"
0,"$799 - 1,310",1-3 Beds,"5050 Yale St, Houston, TX 77018"
0,"$965 - 1,090",2 Beds,"11700-11710 Fuqua St, Houston, TX 77034"
0,"$1,415 - 2,200",Studio - 2 Beds,"1111 Post Oak Blvd, Houston, TX 77056"
0,"$764 - 1,435",1-2 Beds,"9988 Windmill Lakes Blvd, Houston, TX 77075"
0,"$795 - 1,540",1-2 Beds,"8900 Chimney Rock Rd, Houston, TX 77096"
0,"$1,070 - 1,990",1-3 Beds,"5500 Sampson St, Houston, TX 77004"
0,"$1,165 - 2,139",1-3 Beds,"2040 Greenhouse Rd, Houston, TX 77084"
0,"$1,095 - 1,600",1-2 Beds,"14580 Crosby Fwy, Houston, TX 77049"
0,"$1,931 - 12,009",Studio - 3 Beds,"808 Crawford St, Houston, TX 77002"
0,"$1,150 - 1,849",1-3 Beds,"12850 Perry Rd, Houston, TX 77070"
0,"$1,355 - 2,335",1-3 Beds,"7100 Uvalde Rd, Houston, TX 77049"
0,"$1,119 - 1,785",1-2 Beds,"5550 Bingle Rd, Houston, TX 77092"
0,"$1,425 - 3,245",Studio - 2 Beds,"2400 W Dallas St, Houston, TX 77019"
0,"$1,617 - 3,630",1-2 Beds,"401 W 25th St, Houston, TX 77008"
0,"$1,379 - 3,049",Studio - 3 Beds,"1095 Brittmoore Rd, Houston, TX 77043"
0,"$1,315 - 2,435",Studio - 3 Beds,"4840 N Shepherd Dr, Houston, TX 77018"
0,"$1,385 - 2,499",1-2 Beds,"9779 Fannin Railway, Houston, TX 77045"
0,"$1,071 - 1,715",1-2 Beds,"13611 Perry Rd, Houston, TX 77070"
0,"$1,375 - 1,955",1-2 Beds,"11918 Clay Rd, Houston, TX 77043"
0,"$1,079 - 2,050",1-3 Beds,"3225 Woodland Park Dr, Houston, TX 77082"
0,"$1,325 - 1,849",1-2 Beds,"18707 Egret Bay Blvd, Houston, TX 77058"
0,"$799 - 1,294",1-3 Beds,"10300 S Wilcrest Dr, Houston, TX 77099"
0,"$1,103 - 3,003",1-2 Beds,"15200 Park Row, Houston, TX 77084"
0,"$1,304 - 2,058",1-2 Beds,"14900 Memorial Dr, Houston, TX 77079"
0,"$1,310 - 2,880",1-2 Beds,"2001 S Voss Rd, Houston, TX 77057"
0,"$800 - 1,335",1-2 Beds,"5402 Renwick Dr, Houston, TX 77081"
0,"$1,369 - 2,810",Studio - 3 Beds,"1 Hermann Park Ct, Houston, TX 77021"
0,"$835 - 2,045",1-4 Beds,"9449 Briarforest Dr, Houston, TX 77063"
0,"$802 - 2,768",Studio - 2 Beds,"2000 Bay Area Blvd, Houston, TX 77058"
0,"$950 - 1,650",Studio - 3 Beds,"9707 Timberside Dr, Houston, TX 77025"
0,"$795 - 2,630",Studio - 3 Beds,"7510 Brompton Rd, Houston, TX 77025"
0,"$935 - 1,560",1-2 Beds,"12951 Briar Forest Dr, Houston, TX 77077"
0,"$1,280 - 1,865",1-2 Beds,"9000 Almeda Rd, Houston, TX 77054"
0,"$1,630 - 8,000",1-4 Beds,"5927 Almeda Rd, Houston, TX 77004"
0,"$1,485 - 2,445",1-3 Beds,"2401 S Gessner Rd, Houston, TX 77063"
0,"$725 - 1,986",1-3 Beds,"2530 Yorktown, Houston, TX 77056"
0,"$1,020 - 2,100",1-3 Beds,"4200 Cypress Creek Pky, Houston, TX 77068"
0,"$924 - 1,409",1-2 Beds,"300 Woerner Rd, Houston, TX 77090"
