,price,rooms,address
0,"$2,385 - 2,910",1-2 Beds,"7701 Warner Ave, Huntington Beach, CA 92647"
0,"$2,270 - 3,728",1-3 Beds,"21551 Brookhurst St, Huntington Beach, CA 92646"
0,"$2,157 - 3,403",1-2 Beds,"15555 Huntington Village Ln, Huntington Beach, CA 92647"
0,"$2,120 - 2,795",1-2 Beds,"8081 Holland Dr, Huntington Beach, CA 92647"
0,"$2,396 - 3,681",Studio - 2 Beds,"19891-19895 Beach Blvd, Huntington Beach, CA 92648"
0,"$2,220 - 2,990",1-2 Beds,"21661 Brookhurst St, Huntington Beach, CA 92646"
0,"$2,336 - 3,490",Studio - 2 Beds,"7302-7400 Center Ave, Huntington Beach, CA 92647"
0,"$2,299 - 4,096",Studio - 3 Beds,"7521 Edinger Ave, Huntington Beach, CA 92647"
0,"$3,149 - 9,043",1-3 Beds,"21040 Pacific City Cir, Huntington Beach, CA 92648"
0,"$2,460 - 6,904",Studio - 3 Beds,"6401 Warner Ave, Huntington Beach, CA 92647"
0,"$2,560 - 3,955",1-2 Beds,"16700 Saybrook Ln, Huntington Beach, CA 92649"
0,Call for Rent,2 Beds,"6242 Warner Ave, Huntington Beach, CA 92647"
0,"$2,000 - 2,495",Studio - 2 Beds,"7780 Bolsa Ave, Midway City, CA 92655"
0,"$4,250 - 5,018",2-4 Beds,"7795 Neptune Dr, Huntington Beach, CA 92648"
0,"$2,400 - 3,245",1-2 Beds,"8450 Atlanta Ave, Huntington Beach, CA 92646"
0,"$2,275 - 3,175",1-2 Beds,"16552 Sell Cir, Huntington Beach, CA 92649"
0,"$2,380 - 3,215",1-2 Beds,"6700 Warner Ave, Huntington Beach, CA 92647"
0,"$2,200 - 2,700",1 Bed,"16211 Parkside Ln, Huntington Beach, CA 92647"
0,"$2,775 - 3,405",1-3 Beds,"6200 Edinger Ave, Huntington Beach, CA 92647"
0,"$2,230 - 3,075",1-2 Beds,"7051 Maddox Dr, Huntington Beach, CA 92647"
0,"$1,975 - 2,115",Studio - 3 Beds,"17301 Keelson Ln, Huntington Beach, CA 92647"
0,"$2,025 - 2,895",Studio - 2 Beds,"8211 San Angelo Dr, Huntington Beach, CA 92647"
0,"$1,870 - 2,150",1 Bed,"18561 Florida St, Huntington Beach, CA 92648"
0,"$2,662 - 4,277",1-2 Beds,"1850 Whittier Ave, Costa Mesa, CA 92627"
0,"$2,589 - 3,142",1-2 Beds,"9580 El Rey Ave, Fountain Valley, CA 92708"
0,"$2,465 - 2,505",2 Beds,"13751 Edwards St, Westminster, CA 92683"
0,"$2,500 - 4,878",Studio - 3 Beds,"7290 Edinger Ave, Huntington Beach, CA 92647"
0,"$2,200 - 2,220",1 Bed,"17171 Bolsa Chica St, Huntington Beach, CA 92649"
0,"$1,999 - 3,344",Studio - 2 Beds,"21270 Beach Blvd, Huntington Beach, CA 92648"
0,"$2,345 - 2,795",1-2 Beds,"17052 Green St, Huntington Beach, CA 92649"
0,"$2,460 - 3,670",Studio - 2 Beds,"7441-7461 Edinger Ave, Huntington Beach, CA 92647"
0,"$2,390 - 3,402",Studio - 2 Beds,"18504 Beach Blvd, Huntington Beach, CA 92648"
0,"$2,225 - 3,525",1-3 Beds,"16900 Algonquin St, Huntington Beach, CA 92649"
0,"$2,575 - 3,150",2-3 Beds,"16761 Viewpoint Ln, Huntington Beach, CA 92647"
0,"$2,150 - 2,700",1-2 Beds,"9632 Hamilton Ave, Huntington Beach, CA 92646"
0,"$1,915 - 2,976",Studio - 2 Beds,"8400 Edinger Ave, Huntington Beach, CA 92647"
0,"$2,450 - 2,900",1-2 Beds,"19131-19161 Delaware St, Huntington Beach, CA 92648"
0,"$2,050 - 2,745",1-2 Beds,"16040 Springdale St, Huntington Beach, CA 92649"
0,"$1,950 - 3,399",Studio - 2 Beds,"18700 Florida St, Huntington Beach, CA 92648"
0,"$2,825 - 3,070",2 Beds,"14221 Edwards St, Westminster, CA 92683"
