,price,rooms,address
0,"$1,199 - 2,925",1-3 Beds,"1001 Cernan Dr, Huntsville, AL 35806"
0,"$1,021 - 3,973",1-3 Beds,"6854 Governors West NW, Huntsville, AL 35806"
0,"$1,205 - 2,686",Studio - 3 Beds,"925 Makers Way NW, Huntsville, AL 35806"
0,"$1,530 - 4,890",1-3 Beds,"7 Town Center Dr NW, Huntsville, AL 35806"
0,"$1,259 - 4,654",Studio - 3 Beds,"3700 Governors Dr SW, Huntsville, AL 35805"
0,"$1,088 - 1,521",1-2 Beds,"112 Mountain Flat Dr, Huntsville, AL 35811"
0,"$1,295 - 2,045",1-2 Beds,"7 Dairy Creek Rd, Huntsville, AL 35803"
0,"$1,145 - 2,295",1-2 Beds,"930 Blue Mound Ln, Huntsville, AL 35806"
0,"$1,226 - 2,067",1-3 Beds,"556 Martin Rd SW, Huntsville, AL 35824"
0,"$1,025 - 1,700",Studio - 2 Beds,"415 Halsey Ave NE, Huntsville, AL 35801"
0,"$1,310 - 2,895",1-4 Beds,"100 Memorial Village Dr, Huntsville, AL 35803"
0,"$1,482 - 1,898",1-3 Beds,"45 Shields Rd NE, Huntsville, AL 35811"
0,"$1,026 - 1,552",1-4 Beds,"1325 Old Monrovia Rd NW, Huntsville, AL 35806"
0,"$2,450 - 2,695",3 Beds,"1589 Old Monrovia Rd NW, Huntsville, AL 35806"
0,"$1,154 - 1,669",1-3 Beds,"741 Plummer Rd, Huntsville, AL 35806"
0,"$1,327 - 2,916",1-2 Beds,"700 Dorothy Ford Ln SW, Huntsville, AL 35801"
0,"$1,159 - 1,899",Studio - 3 Beds,"6200 Rime Village Dr, Huntsville, AL 35806"
0,"$1,295 - 1,720",Studio - 3 Beds,"1010 Elliston Plz NW, Madison, AL 35757"
0,"$1,299 - 2,299",1-3 Beds,"141 Patterson Ln, Meridianville, AL 35759"
0,"$1,299 - 1,699",1-3 Beds,"240 Kirby Ln, Madison, AL 35757"
0,"$1,145 - 2,435",Studio - 3 Beds,"170 Graphics Dr, Madison, AL 35758"
0,"$1,246 - 2,468",1-3 Beds,"286 Slaughter Rd, Madison, AL 35758"
0,"$1,229 - 2,600",1-3 Beds,"515 Dunlop Blvd, Madison, AL 35824"
0,"$1,175 - 1,500",1-2 Beds,"11200 Packard Dr, Madison, AL 35756"
0,"$1,220 - 3,160",Studio - 2 Beds,"375 Lime Quarry Rd, Madison, AL 35758"
0,"$873 - 1,791",Studio - 3 Beds,"1 Springtime Blvd SW, Huntsville, AL 35802"
0,"$702 - 1,386",Studio - 2 Beds,"4116 Newson Rd SW, Huntsville, AL 35805"
0,"$1,325 - 1,375",2 Beds,"2515 Toll Gate Rd SE, Huntsville, AL 35801"
0,"$899 - 2,071",1-3 Beds,"8309 Whitesburg Way, Huntsville, AL 35802"
0,"$899 - 1,749",1-3 Beds,"515 Chateau Dr SW, Huntsville, AL 35801"
0,"$814 - 2,000",1-3 Beds,"8003 SW Benaroya Ln, Huntsville, AL 35802"
0,"$895 - 1,185",1-3 Beds,"125 Ridgegate Pl, Huntsville, AL 35801"
0,"$899 - 1,519",1-2 Beds,"1935 Meadowbrook Dr, Huntsville, AL 35803"
0,"$1,518 - 2,315",1-3 Beds,"201 Jefferson St N, Huntsville, AL 35801"
0,"$909 - 1,695",1-2 Beds,"4100 S Memorial Pky, Huntsville, AL 35802"
0,"$1,065 - 1,600",1-3 Beds,"6500 Walden Run Cir, Huntsville, AL 35806"
0,"$1,094 - 1,899",1-3 Beds,"30 Gates Mill St NW, Huntsville, AL 35806"
0,"$1,163 - 2,761",Studio - 3 Beds,"740 Constellation Place Dr SW, Huntsville, AL 35801"
0,"$1,130 - 2,154",Studio - 2 Beds,"401 Williams Ave SW, Huntsville, AL 35801"
0,"$1,051 - 4,265",Studio - 3 Beds,"1100 Enterprise Way, Huntsville, AL 35806"
