,price,rooms,address
0,"$1,310 - 1,995",1-3 Beds,"20301 E 45th St, Independence, MO 64015"
0,"$1,010 - 1,490",1-3 Beds,"3100 Quail Creek Dr, Independence, MO 64055"
0,"$1,244 - 1,829",1-2 Beds,"4580 South Bass Pro Dr, Independence, MO 64055"
0,$665 - 985,Studio - 2 Beds,"530 Sundown Dr, Independence, MO 64054"
0,"$799 - 1,405",1-3 Beds,"10500 E 42nd St, Kansas City, MO 64133"
0,"$1,251 - 1,593",1-3 Beds,"1900 S Brookstone Village Dr, Independence, MO 64057"
0,"$925 - 1,470",1-3 Beds,"2905 S Lees Summit Rd, Independence, MO 64055"
0,"$1,106 - 1,940",1-3 Beds,"4631 S Eastland Center Dr, Independence, MO 64055"
0,"$955 - 1,510",1-3 Beds,"16801 Larkspur Ln, Independence, MO 64055"
0,$770 - 985,1-2 Beds,"1401 S Cunningham St, Independence, MO 64050"
0,"$1,250 - 1,700",1-2 Beds,"19301 E 50th Ter, Independence, MO 64055"
0,$680 - 985,Studio - 2 Beds,"1500 W 23rd Ter, Independence, MO 64050"
0,"$900 - 1,050",1-2 Beds,"3151 Jennings Rd, Independence, MO 64055"
0,$750 - 850,1-2 Beds,"17013 E US Highway 24, Independence, MO 64056"
0,"$1,670 - 1,760",1-2 Beds,"19301 E Eastland Center Ct, Independence, MO 64055"
0,"$1,195 - 1,395",1-2 Beds,"19401 E 40th Street Ct S, Independence, MO 64057"
0,"$1,085 - 1,595",1-3 Beds,"19400 E 37th Terrace Ct S, Independence, MO 64057"
0,"$1,136 - 1,973",1-3 Beds,"19700 E 39th Pl S, Independence, MO 64057"
0,"$875 - 1,025",1-2 Beds,"1105 S Brookside Ave, Independence, MO 64053"
0,$889 - 943,1-2 Beds,"4430 S Liberty Ave, Independence, MO 64055"
0,$895 - 995,1-2 Beds,"13004 E US Highway 40, Independence, MO 64055"
0,$700 - 970,Studio - 2 Beds,"2141 S Swope Dr, Independence, MO 64057"
0,"$650 - 1,025",Studio - 2 Beds,"12407 E 43rd St S, Independence, MO 64055"
0,$650 - 850,Studio - 2 Beds,"728 Jennings Rd, Independence, MO 64056"
0,"$645 - 1,067",1-3 Beds,"16995 E Dover Ln, Independence, MO 64056"
0,"$975 - 1,268",1-2 Beds,"1141 NW Arlington Pl, Blue Springs, MO 64015"
0,"$999 - 1,099",1-2 Beds,"3403 NW Duncan Rd, Blue Springs, MO 64015"
0,"$850 - 1,300",1-3 Beds,"1300 NW Candletree Dr, Blue Springs, MO 64015"
0,"$862 - 1,134",1-2 Beds,"10415 E 43rd St, Kansas City, MO 64133"
0,"$925 - 1,261",1-2 Beds,"16301 E 48th Ter, Kansas City, MO 64136"
