,price,rooms,address
0,"$999 - 1,893",1-3 Beds,"6800 Brendon Way W Dr, Indianapolis, IN 46226"
0,"$1,699 - 3,929",1-3 Beds,"50 N Illinois St, Indianapolis, IN 46204"
0,"$1,275 - 1,815",1-2 Beds,"3914 Lake Clearwater Pl, Indianapolis, IN 46240"
0,"$845 - 2,650",Studio - 3 Beds,"6000 Westlake Dr, Indianapolis, IN 46224"
0,"$793 - 1,756",1-3 Beds,"5301 S Turtle Creek South Dr, Indianapolis, IN 46227"
0,"$799 - 1,499",Studio - 3 Beds,"7171 Twin Oaks Dr, Indianapolis, IN 46226"
0,"$1,587 - 3,224",Studio - 3 Beds,"5858 N College Ave, Indianapolis, IN 46220"
0,"$1,353 - 4,520",Studio - 2 Beds,"421 N Pennsylvania St, Indianapolis, IN 46204"
0,"$775 - 1,630",Studio - 3 Beds,"3645 Wingate Ct, Indianapolis, IN 46235"
0,"$1,389 - 2,099",2-3 Beds,"832 Park Central Ct, Indianapolis, IN 46260"
0,"$974 - 3,499",1-3 Beds,"7745 Solana Dr, Indianapolis, IN 46240"
0,"$1,195 - 3,275",1-3 Beds,"335 W 9th St, Indianapolis, IN 46202"
0,"$1,050 - 1,600",1-2 Beds,"8850 Riverbend Pky, Indianapolis, IN 46250"
0,"$725 - 1,525",Studio - 2 Beds,"7601 Carlton Arms Dr, Indianapolis, IN 46256"
0,"$1,299 - 2,799",1-3 Beds,"5000 Bennett Pky, Zionsville, IN 46077"
0,"$1,086 - 4,634",Studio - 3 Beds,"451-475 E Market St, Indianapolis, IN 46204"
0,"$925 - 1,600",1-3 Beds,"7913 Ella Dobbs Ln, Indianapolis, IN 46227"
0,"$869 - 1,758",Studio - 3 Beds,"7999 Silverleaf Dr, Indianapolis, IN 46260"
0,"$665 - 1,245",Studio - 2 Beds,"9000 N College Ave, Indianapolis, IN 46240"
0,"$1,288 - 1,734",1-2 Beds,"6640 Heron Neck Dr, Indianapolis, IN 46217"
0,"$1,040 - 1,430",1-2 Beds,"5200 E Fall Creek Parkway North Dr, Indianapolis, IN 46220"
0,"$1,400 - 1,855",1-2 Beds,"2810 Willow Lake Dr, Indianapolis, IN 46268"
0,"$925 - 1,475",1-3 Beds,"4901 Whitton Pl, Indianapolis, IN 46220"
0,"$1,150 - 1,770",1-3 Beds,"7251 Windsor Lakes Dr, Indianapolis, IN 46237"
0,"$1,100 - 2,420",1-4 Beds,"1201 Indiana Ave, Indianapolis, IN 46202"
0,"$859 - 1,309",1-2 Beds,"9093 Bourbon St, Indianapolis, IN 46235"
0,"$1,090 - 1,685",1-3 Beds,"8281 Clearvista Pky, Indianapolis, IN 46256"
0,"$1,049 - 1,459",1-2 Beds,"5483 Holly Springs Dr W, Indianapolis, IN 46254"
0,"$900 - 1,400",1-3 Beds,"8002 Harcourt Rd, Indianapolis, IN 46260"
0,"$865 - 1,495",1-3 Beds,"7136 Crystal Bay Dr E, Indianapolis, IN 46260"
0,"$825 - 1,285",1-2 Beds,"9115 Knights Bridge Blvd, Indianapolis, IN 46240"
0,"$835 - 1,525",1-4 Beds,"8201 Madison Ave, Indianapolis, IN 46227"
0,"$1,025 - 1,581",1-2 Beds,"1501 W 16th St, Indianapolis, IN 46202"
0,"$650 - 1,684",1-2 Beds,"6046 E 21st St, Indianapolis, IN 46219"
0,"$1,214 - 2,189",1-3 Beds,"7247 Vista Cir, Indianapolis, IN 46217"
0,"$1,140 - 1,732",1-3 Beds,"2054 High Eagle Trl, Indianapolis, IN 46224"
0,"$1,642 - 6,208",Studio - 3 Beds,"220 N Meridian St, Indianapolis, IN 46204"
0,"$1,016 - 1,686",1-3 Beds,"7855 Cimarron Trl, Indianapolis, IN 46214"
0,"$879 - 1,139",1-2 Beds,"9060 E 39th Pl, Indianapolis, IN 46235"
0,"$873 - 1,879",1-4 Beds,"56 Port Ocall Dr, Indianapolis, IN 46224"
