,price,rooms,address
0,"$2,865 - 4,755",Studio - 3 Beds,"1100 Steely, Irvine, CA 92614"
0,"$2,738 - 6,197",Studio - 3 Beds,"2590 Red Hill Ave, Santa Ana, CA 92705"
0,"$2,697 - 5,400",1-2 Beds,"16101 Murphy Ave, Irvine, CA 92606"
0,"$2,395 - 6,630",Studio - 2 Beds,"18000 Spectrum, Irvine, CA 92618"
0,"$2,410 - 7,630",Studio - 2 Beds,"25 Pacifica, Irvine, CA 92618"
0,"$2,440 - 6,575",1-2 Beds,"350 Gitano, Irvine, CA 92618"
0,"$3,463 - 4,275",2-3 Beds,"18880 Douglas, Irvine, CA 92612"
0,"$2,604 - 5,110",Studio - 3 Beds,"1100 Synergy, Irvine, CA 92614"
0,"$2,525 - 4,680",Studio - 2 Beds,"17600 Cartwright Rd, Irvine, CA 92614"
0,"$2,644 - 6,769",Studio - 2 Beds,"3301 Michelson Dr, Irvine, CA 92612"
0,"$2,665 - 6,815",Studio - 2 Beds,"1100 Perlita, Irvine, CA 92618"
0,"$2,325 - 4,659",Studio - 3 Beds,"2801 Kelvin Ave, Irvine, CA 92614"
0,"$2,390 - 3,635",1-3 Beds,"4 Austin, Irvine, CA 92604"
0,"$2,587 - 6,878",1-3 Beds,"2555 Main St, Irvine, CA 92614"
0,"$2,412 - 4,695",Studio - 2 Beds,"2777 Alton Pky, Irvine, CA 92606"
0,"$2,490 - 5,250",1-2 Beds,"400 Enclave Cir, Costa Mesa, CA 92626"
0,"$2,111 - 7,769",Studio - 2 Beds,"635 W Baker St, Costa Mesa, CA 92626"
0,"$2,592 - 5,020",Studio - 3 Beds,"1901 E Dyer Rd, Santa Ana, CA 92705"
0,"$2,799 - 4,035",Studio - 2 Beds,"651 Sunflower Ave, Santa Ana, CA 92707"
0,"$2,753 - 5,342",Studio - 3 Beds,"1951 E Dyer Rd, Santa Ana, CA 92705"
0,"$2,630 - 3,055",2 Beds,"805 W Stevens Ave, Santa Ana, CA 92707"
0,"$2,645 - 8,610",Studio - 3 Beds,"100 Vilaggio, Newport Beach, CA 92660"
0,"$2,605 - 5,415",Studio - 2 Beds,"7725 Gateway Pky, Irvine, CA 92618"
0,"$2,520 - 6,645",Studio - 2 Beds,"3395 Michelson Dr, Irvine, CA 92612"
0,"$3,088 - 7,345",1-3 Beds,"2700 Main St, Irvine, CA 92614"
0,"$2,860 - 6,600",1-2 Beds,"1 White Cap Ln, Newport Beach, CA 92657"
0,"$2,100 - 2,850",1-2 Beds,"3400 S Main St, Santa Ana, CA 92707"
0,"$2,595 - 5,965",1-2 Beds,"10 Marketview, Irvine, CA 92602"
0,"$2,495 - 6,710",1-2 Beds,"100 Turtle Crest Dr, Irvine, CA 92603"
0,"$2,695 - 5,040",1-3 Beds,"100 Family Tree, Irvine, CA 92618"
0,"$2,680 - 5,520",1-2 Beds,"100 Simplicity, Irvine, CA 92620"
0,"$4,276 - 29,018",1-3 Beds,"401-405 Rockefeller, Irvine, CA 92612"
0,"$2,755 - 5,845",Studio - 2 Beds,"29131 Spectrum, Irvine, CA 92618"
0,"$2,965 - 4,795",Studio - 3 Beds,"2300 DuPont Dr, Irvine, CA 92612"
0,"$2,765 - 5,625",1-2 Beds,"100 Anacapa, Irvine, CA 92602"
0,"$2,340 - 6,975",Studio - 3 Beds,"25 Palatine Rd, Irvine, CA 92612"
