,price,rooms,address
0,"$995 - 1,625",1-3 Beds,"200 Carmen Ave, Jacksonville, NC 28540"
0,"$1,210 - 1,500",1-3 Beds,"217 Carolina Forest Blvd, Jacksonville, NC 28546"
0,"$1,425 - 1,500",2 Beds,"1000 Yorktown Ln, Jacksonville, NC 28544"
0,"$1,185 - 1,755",1-3 Beds,"5116 Western Blvd, Jacksonville, NC 28546"
0,"$920 - 1,629",1-3 Beds,"500 Talon Dr, Jacksonville, NC 28546"
0,"$995 - 1,395",2 Beds,"2 Aragona Blvd, Jacksonville, NC 28540"
0,"$925 - 1,275",Studio - 3 Beds,"2301 Indian Dr, Jacksonville, NC 28546"
0,$950,2 Beds,"411 Whitehall Ln, Jacksonville, NC 28546"
0,"$929 - 1,050",2 Beds,"318 Richlands Ave, Jacksonville, NC 28540"
0,"$1,075 - 1,550",1-3 Beds,"2015 Gum Branch Rd, Jacksonville, NC 28540"
0,"$850 - 1,225",1-2 Beds,"902 Gum Branch Rd, Jacksonville, NC 28540"
0,$825,2 Beds,"113-131 Zack Cir, Jacksonville, NC 28540"
0,$805 - 899,1-2 Beds,"118 Broadhurst Rd, Jacksonville, NC 28540"
0,"$1,280 - 1,710",1-3 Beds,"400 Charleston Ln, Jacksonville, NC 28546"
0,"$1,215 - 1,585",1-3 Beds,"334 Carolina Forest Blvd, Jacksonville, NC 28546"
0,"$1,031 - 2,479",Studio - 3 Beds,"100 Windsor Cir, Jacksonville, NC 28546"
0,"$1,125 - 1,350",1-2 Beds,"215 Valencia Dr, Jacksonville, NC 28546"
0,"$1,055 - 2,110",1-3 Beds,"301 Village Dr, Jacksonville, NC 28546"
0,$850,1 Bed,"1140 Kellum Loop Rd, Jacksonville, NC 28546"
0,"$999 - 1,000",2 Beds,"3340 Richlands Hwy, Jacksonville, NC 28540"
0,"$1,195 - 1,545",1-3 Beds,"1025 Kensington Dr, Jacksonville, NC 28546"
0,$955,2 Beds,"2100 Country Club Rd, Jacksonville, NC 28546"
