,price,rooms,address
0,"$939 - 2,600",1-3 Beds,"4495 Gull Run Dr, Kalamazoo, MI 49048"
0,"$400 - 2,535",2-6 Beds,"3201 Michigamme Woods Dr, Kalamazoo, MI 49006"
0,"$460 - 1,709",Studio - 6 Beds,"1324 Lafayette Ave, Kalamazoo, MI 49006"
0,$419 - 869,Studio - 4 Beds,"5800 Jefferson Commons Dr, Kalamazoo, MI 49009"
0,"$1,020 - 1,130",2 Beds,"3200 W Main St, Kalamazoo, MI 49006"
0,"$1,085 - 2,525",1-2 Beds,"200 Lake Forest Blvd, Kalamazoo, MI 49006"
0,"$1,050 - 1,175",1-2 Beds,"4525 W Main St, Kalamazoo, MI 49006"
0,"$770 - 1,300",1-3 Beds,"704 S Drake Rd, Kalamazoo, MI 49009"
0,"$1,175 - 1,655",1-2 Beds,"4139 Valley Ridge Dr, Kalamazoo, MI 49006"
0,"$1,255 - 3,400",Studio - 2 Beds,"155 W Michigan Ave, Kalamazoo, MI 49007"
0,"$1,160 - 3,155",Studio - 2 Beds,"400 S Rose St, Kalamazoo, MI 49007"
0,"$1,125 - 1,995",Studio - 3 Beds,"5283 E O Ave, Kalamazoo, MI 49048"
0,"$1,899 - 3,436",2 Beds,"4895 Red Willow Trl, Kalamazoo, MI 49048"
0,"$2,000 - 2,600",1 Bed,"108 E Michigan Ave, Kalamazoo, MI 49007"
0,$355 - 630,2-3 Beds,"3814 Pine Terrace Blvd, Kalamazoo, MI 49006"
0,$430 - 520,3-4 Beds,"4346 Hidden Hills Dr, Kalamazoo, MI 49006"
0,"$1,099 - 1,700",1-3 Beds,"555 S Drake Rd, Kalamazoo, MI 49009"
0,"$718 - 1,353",Studio - 2 Beds,"1400 Concord Place Dr, Kalamazoo, MI 49009"
0,"$1,835 - 1,935",1-2 Beds,"525 S Burdick St, Kalamazoo, MI 49007"
0,$599 - 709,3-4 Beds,"5900 Copper Beech Blvd, Kalamazoo, MI 49009"
0,"$920 - 1,620",1-3 Beds,"1412 Banbury Rd, Kalamazoo, MI 49001"
0,"$987 - 1,575",1-2 Beds,"2210 E Cork St, Kalamazoo, MI 49001"
0,"$984 - 3,042",1-2 Beds,"5545 Summer Ridge Blvd, Kalamazoo, MI 49009"
0,$575 - 690,3-4 Beds,"700 S Howard St, Kalamazoo, MI 49006"
0,"$1,899 - 3,320",2 Beds,"1201 Snowapple Ave, Portage, MI 49002"
0,"$865 - 1,260",Studio - 2 Beds,"6285 Ivywood Dr, Portage, MI 49024"
0,"$1,400 - 2,175",1-3 Beds,"807 Central Park Cir, Kalamazoo, MI 49006"
0,"$1,092 - 1,287",1-2 Beds,"3740 Winchell Way, Kalamazoo, MI 49008"
0,$430 - 605,2-4 Beds,"1010 Arboretum Cir, Kalamazoo, MI 49006"
0,"$1,105 - 1,662",1-3 Beds,"3707 Greenleaf Cir, Kalamazoo, MI 49008"
0,"$870 - 1,250",1-3 Beds,"1928 Colgrove Ave, Kalamazoo, MI 49048"
0,"$1,075 - 2,060",1-3 Beds,"8380 Greenspire Dr, Portage, MI 49024"
0,"$1,560 - 2,100",4-6 Beds,"140 S Kendall Ave, Kalamazoo, MI 49006"
0,"$3,600",2 Beds,"155 South Kalamazoo Mall, Kalamazoo, MI 49007"
0,"$1,182 - 1,991",1-2 Beds,"6675 Tall Oaks Dr, Kalamazoo, MI 49009"
0,"$1,560",4 Beds,"209 N Kendall Ave, Kalamazoo, MI 49006"
0,"$1,974 - 3,346",2 Beds,"8032 Rowan St, Kalamazoo, MI 49009"
0,"$1,223 - 1,995",1-3 Beds,"1400 Concord Place Dr, Kalamazoo, MI 49009"
0,"$1,156 - 1,985",Studio - 3 Beds,"5295 Voyager Ln, Kalamazoo, MI 49009"
0,"$1,150 - 1,300",1-2 Beds,"3420 W Main St, Kalamazoo, MI 49006"
