,price,rooms,address
0,"$807 - 3,027",1-2 Beds,"3808 Booth St 2, Kansas City, KS 66103"
0,"$1,099 - 2,769",Studio - 2 Beds,"11403 Parallel Pky, Kansas City, KS 66109"
0,"$1,187 - 2,197",Studio - 2 Beds,"2980 Gillham Rd, Kansas City, MO 64108"
0,"$915 - 2,375",Studio - 3 Beds,"1936 Summit St, Kansas City, MO 64108"
0,"$811 - 3,867",Studio - 3 Beds,"720 Main St, Kansas City, MO 64105"
0,"$1,325 - 13,561",Studio - 3 Beds,"1477 Main St, Kansas City, MO 64105"
0,"$1,279 - 3,350",Studio - 3 Beds,"1801 Diamond Pky, North Kansas City, MO 64116"
0,"$1,280 - 2,499",Studio - 2 Beds,"318 W 7th St, Kansas City, MO 64105"
0,"$829 - 1,895",Studio - 2 Beds,"933 McGee St, Kansas City, MO 64106"
0,"$1,225 - 1,675",1-3 Beds,"12929 Delaware Pky, Kansas City, KS 66109"
0,"$815 - 1,275",1-3 Beds,"1100-1156 County Line Rd, Kansas City, KS 66103"
0,"$1,270 - 2,360",1-2 Beds,"1845 Village West Pky, Kansas City, KS 66111"
0,"$1,149 - 3,301",Studio - 3 Beds,"1204 N 94th St, Kansas City, KS 66112"
0,"$2,250 - 2,450",3 Beds,"3809 S Thompson St, Kansas City, KS 66103"
0,"$650 - 1,099",Studio,"4326 Mission Rd, Kansas City, KS 66103"
0,$743 - 953,Studio - 2 Beds,"7350 State Ave, Kansas City, KS 66112"
0,"$940 - 1,985",Studio - 3 Beds,"2121 Central St, Kansas City, MO 64108"
0,"$1,392 - 2,786",1-2 Beds,"1200 Washington St, Kansas City, MO 64105"
0,"$1,089 - 3,466",Studio - 2 Beds,"701 Broadway Blvd, Kansas City, MO 64105"
0,"$1,540 - 4,100",Studio - 2 Beds,"122 Delaware St, Kansas City, MO 64105"
0,"$1,379 - 2,071",1-2 Beds,"601 Avenida Cesar E Chavez, Kansas City, MO 64108"
0,"$1,521 - 3,848",Studio - 2 Beds,"1125 Grand Blvd, Kansas City, MO 64106"
0,"$1,000 - 2,650",Studio - 2 Beds,"106 W 11th St, Kansas City, MO 64105"
0,"$1,137 - 1,627",Studio - 2 Beds,"2975 Main St, Kansas City, MO 64108"
0,"$1,139 - 6,879",Studio - 2 Beds,"4111 Broadway, Kansas City, MO 64111"
0,"$1,364 - 6,417",Studio - 1 Bed,"1800 Walnut St, Kansas City, MO 64108"
0,"$1,247 - 1,999",1-2 Beds,"3420 Broadway Blvd, Kansas City, MO 64111"
0,"$1,628 - 3,615",1-3 Beds,"551 Washington Ave, Kansas City, MO 64111"
0,"$1,008 - 2,511",Studio - 2 Beds,"2501 Beacon Hill, Kansas City, MO 64108"
0,"$1,187 - 2,271",Studio - 2 Beds,"1770 Diamond Pky, North Kansas City, MO 64116"
0,"$1,265 - 4,446",Studio - 2 Beds,"701 Berkley Pky, Kansas City, MO 64120"
0,"$1,224 - 2,219",Studio - 2 Beds,"15325 Old Town Dr, Parkville, MO 64152"
0,$795,Studio,"2950 Summit St, Kansas City, MO 64108"
0,"$1,335 - 2,189",1-3 Beds,"200 E 23rd Ave, North Kansas City, MO 64116"
0,"$985 - 2,132",Studio - 2 Beds,"1020 E Armour Blvd, Kansas City, MO 64111"
0,"$1,115 - 2,441",Studio - 3 Beds,"1600 NW 38th St, Kansas City, MO 64116"
0,"$1,050 - 1,884",Studio - 2 Beds,"16100 Roundtripper Dr, Parkville, MO 64152"
0,"$1,175 - 1,850",1-2 Beds,"300-306 E 12th St, Kansas City, MO 64106"
0,"$965 - 1,225",1-2 Beds,"3616 Warwick Blvd, Kansas City, MO 64111"
0,"$998 - 6,492",Studio - 3 Beds,"2100 Wyandotte St, Kansas City, MO 64108"
