,price,rooms,address
0,"$1,499 - 2,550",Studio - 2 Beds,"2030 W Meeker St, Kent, WA 98032"
0,"$1,619 - 5,177",1-2 Beds,"4620 S 254th Pl, Kent, WA 98032"
0,"$1,434 - 3,476",Studio - 2 Beds,"11239 SE 260th St, Kent, WA 98030"
0,"$1,317 - 3,531",1-3 Beds,"1024 N Central Ave, Kent, WA 98032"
0,"$1,486 - 1,825",1-2 Beds,"10925 SE 259th St, Kent, WA 98030"
0,"$2,141 - 2,530",2 Beds,"3322 So 222nd Pl, Kent, WA 98032"
0,"$1,635 - 2,670",Studio - 2 Beds,"24615 64th Ave S, Kent, WA 98032"
0,"$1,578 - 2,509",Studio - 2 Beds,"102 Madison Ave, Kent, WA 98032"
0,"$2,002 - 2,856",1-2 Beds,"419 E Novak Ln, Kent, WA 98032"
0,"$1,540 - 4,095",Studio - 3 Beds,"1020 Central Ave, Kent, WA 98032"
0,"$961 - 1,199",1 Bed,"309 5th Ave S, Kent, WA 98032"
0,"$2,080 - 5,094",1-3 Beds,"10619 SE 172nd St, Renton, WA 98055"
0,"$1,199 - 1,693",1-2 Beds,"21212 International Blvd, Seatac, WA 98198"
0,"$1,492 - 2,064",1-3 Beds,"22837 Pacific Hwy S, Des Moines, WA 98198"
0,"$2,100 - 2,560",2-3 Beds,"28700 34th Ave S, Auburn, WA 98001"
0,"$1,595 - 2,025",1-2 Beds,"2701 S 224th St, Des Moines, WA 98198"
0,"$1,326 - 6,681",1-3 Beds,"2211 S STAR LAKE Rd, FEDERAL WAY, WA 98003"
0,"$1,720 - 2,865",Studio - 3 Beds,"25102 62nd Ave S, Kent, WA 98032"
0,"$1,315 - 2,045",Studio - 2 Beds,"23913 111th Pl SE, Kent, WA 98031"
0,"$1,590 - 2,400",2 Beds,"11126 SE 256th St, Kent, WA 98030"
0,"$1,600 - 2,350",1-2 Beds,"25842 87th Ave S, Kent, WA 98030"
0,"$2,071 - 3,540",1-3 Beds,"14901 SE 272nd St, Kent, WA 98042"
0,"$1,565 - 2,320",1-3 Beds,"27400 132nd Ave SE, Kent, WA 98042"
0,"$1,760 - 2,890",Studio - 3 Beds,"2200 W Meeker St, Kent, WA 98032"
0,"$1,500 - 2,600",1-3 Beds,"22804 90th Way S, Kent, WA 98031"
0,"$1,750 - 3,100",1-3 Beds,"6248 S 242nd Pl, Kent, WA 98032"
0,"$1,190 - 1,700",Studio - 2 Beds,"11020 SE Kent Kangley Rd, Kent, WA 98030"
0,"$2,350 - 2,499",1-3 Beds,"26900 242nd Ave, Maple Valley, WA 98038"
0,"$2,135 - 2,938",1-3 Beds,"26285 238th Ln SE, Maple Valley, WA 98038"
0,"$1,799 - 2,431",1-2 Beds,"18414 108th Ave SE, Renton, WA 98055"
0,"$2,050 - 2,650",1-3 Beds,"18025 SE 272nd St, Covington, WA 98042"
0,"$1,679 - 3,580",1-3 Beds,"802 45th St NE, Auburn, WA 98002"
0,"$1,710 - 2,705",1-3 Beds,"17440 103rd Ave SE, Renton, WA 98055"
0,"$2,040 - 2,672",2-3 Beds,"10031 SE 258th Pl, Kent, WA 98030"
0,"$1,699 - 2,100",1-2 Beds,"6329 S 212th St, Kent, WA 98032"
0,"$1,202 - 2,965",Studio - 3 Beds,"25426 98th Ave SE, Kent, WA 98030"
0,"$1,406 - 4,020",1-3 Beds,"25220 109th Pl SE, Kent, WA 98030"
0,"$1,458 - 7,223",1-3 Beds,"11101 SE 208th St, Kent, WA 98031"
0,"$1,983 - 2,918",1-3 Beds,"17735 105Th Pl SE, Renton, WA 98055"
0,"$1,627 - 3,216",1-3 Beds,"3231 S 204th St, Seattle, WA 98198"
