,price,rooms,address
0,"$1,170 - 2,302",1-2 Beds,"3604 S W S Young Dr, Killeen, TX 76542"
0,"$850 - 2,311",1-3 Beds,"1100 Willow Springs Rd, Killeen, TX 76549"
0,"$740 - 1,300",Studio - 2 Beds,"2501 Bacon Ranch Rd, Killeen, TX 76542"
0,"$975 - 2,353",1-3 Beds,"1611 Grandon Dr, Killeen, TX 76541"
0,"$1,275 - 2,564",1-4 Beds,"5016 Watercrest Rd, Killeen, TX 76549"
0,"$885 - 1,460",1-2 Beds,"401 S Twin Creek Dr, Killeen, TX 76543"
0,"$1,150 - 2,132",1-2 Beds,"2710 Cunningham Rd, Killeen, TX 76542"
0,"$1,236 - 1,881",2-5 Beds,"18010 TJ Mills, Killeen, TX 76544"
0,"$1,249 - 2,099",1-2 Beds,"5002 Thayer Dr, Killeen, TX 76549"
0,"$990 - 1,149",1-2 Beds,"4101 E Rancier Ave, Killeen, TX 76543"
0,"$939 - 1,839",1-2 Beds,"2502 Bacon Ranch Rd, Killeen, TX 76542"
0,"$1,719 - 1,899",3 Beds,"330B Water Course Dr, Harker Heights, TX 76548"
0,"$1,206 - 1,850",1-3 Beds,"2908 Trimmier Rd, Killeen, TX 76542"
0,"$1,250 - 1,735",1-3 Beds,"3701 Rosewood Dr, Killeen, TX 76542"
0,"$995 - 1,395",Studio - 3 Beds,"1320 Wales Dr, Killeen, TX 76549"
0,"$779 - 1,299",1-2 Beds,"101 S Twin Creek Dr, Killeen, TX 76543"
0,"$745 - 1,299",1-3 Beds,"2205 Botanical Dr, Killeen, TX 76542"
0,"$1,095 - 1,195",1-2 Beds,"1014-1020 N Gilmer St, Killeen, TX 76541"
0,"$1,165 - 1,239",2 Beds,"3316 E Rancier Ave, Killeen, TX 76543"
0,"$975 - 1,625",1-2 Beds,"2700 Trimmier Rd, Killeen, TX 76542"
0,"$1,252 - 2,231",Studio - 3 Beds,"801 S WS Young Dr, Killeen, TX 76543"
0,"$909 - 1,303",1-2 Beds,"1001 N Twin Creek Dr, Killeen, TX 76543"
0,$715 - 980,1-2 Beds,"4301 E Rancier Ave, Killeen, TX 76543"
0,"$800 - 1,125",1-3 Beds,"2305-2323 Botanical Dr, Killeen, TX 76542"
0,"$775 - 1,250",Studio - 2 Beds,"3109-3211 Grider Cir, Killeen, TX 76543"
0,$649 - 849,1-3 Beds,"2812 Lake Rd, Killeen, TX 76543"
0,"$799 - 1,125",1-3 Beds,"600 W Hallmark Ave, Killeen, TX 76541"
0,$675 - 750,1-2 Beds,"702 Santa Rosa Dr, Killeen, TX 76541"
0,"$995 - 2,085",1-2 Beds,"1201 Bacon Ranch Rd, Killeen, TX 76542"
0,"$1,025 - 1,225",1-2 Beds,"2820 Cedar Cir, Killeen, TX 76543"
0,"$1,088 - 1,997",1-3 Beds,"2801 O. W. Curry Dr, Killeen, TX 76542"
0,$719 - 839,1-2 Beds,"111 S 28th St, Killeen, TX 76541"
0,"$729 - 1,150",1-2 Beds,"710 N 46th St, Killeen, TX 76543"
0,$789 - 979,1-3 Beds,"2900 Zephyr Rd, Killeen, TX 76543"
0,"$650 - 1,450",1-2 Beds,"501 W Central Texas Expy, Killeen, TX 76541"
0,$729 - 989,1-3 Beds,"1701 Terrace Dr, Killeen, TX 76541"
0,"$684 - 1,025",1-2 Beds,"3300-3310 E Rancier Ave, Killeen, TX 76543"
0,$635 - 775,1-2 Beds,"1310 Bundrant Dr, Killeen, TX 76543"
0,$600 - 825,1-2 Beds,"2908 Lake Rd, Killeen, TX 76543"
0,"$767 - 1,077",2-3 Beds,"2900 Illinois Ave, Killeen, TX 76543"
