,price,rooms,address
0,"$2,795 - 5,690",1-2 Beds,"434 Kirkland Way, Kirkland, WA 98033"
0,"$2,475 - 9,795",Studio - 3 Beds,"140 Lake St S, Kirkland, WA 98033"
0,"$1,872 - 4,102",Studio - 2 Beds,"12540 120th Ave NE, Kirkland, WA 98034"
0,"$1,773 - 2,545",Studio - 2 Beds,"11415 NE Slater Ave, Kirkland, WA 98033"
0,"$2,070 - 4,085",Studio - 2 Beds,"550 Uptown Ct, Kirkland, WA 98033"
0,"$2,640 - 2,735",1 Bed,"12670 120th Ave NE, Kirkland, WA 98034"
0,"$2,595 - 3,495",Studio - 1 Bed,"312 Central Way, Kirkland, WA 98033"
0,"$2,496 - 3,151",1-3 Beds,"5604 Lakeview Dr, Kirkland, WA 98033"
0,"$1,975 - 3,199",1-3 Beds,"11110 Forbes Creek Dr, Kirkland, WA 98033"
0,"$1,195 - 3,895",Studio - 3 Beds,"432-450 Central Way, Kirkland, WA 98033"
0,"$2,295 - 4,200",Studio - 2 Beds,"207 Park Ln, Kirkland, WA 98033"
0,"$1,873 - 2,875",1-3 Beds,"13215 NE 123rd St, Kirkland, WA 98034"
0,"$3,750 - 8,350",Studio - 2 Beds,"11729 NE 118th St, Kirkland, WA 98034"
0,"$1,699 - 2,299",Studio - 2 Beds,"11733 NE 131st Pl, Kirkland, WA 98034"
0,"$1,844 - 4,118",1-3 Beds,"11105 NE 123rd Ln, Kirkland, WA 98034"
0,"$2,090 - 4,483",Studio - 2 Beds,"12655 120th Ave NE, Kirkland, WA 98034"
0,"$2,344 - 8,561",Studio - 2 Beds,"10715 NE 37th Ct, Kirkland, WA 98033"
0,"$2,565 - 6,507",1-2 Beds,"128 State St S, Kirkland, WA 98033"
0,"$2,340 - 3,874",1-2 Beds,"4311 Lake Washington Blvd NE, Kirkland, WA 98033"
0,"$1,710 - 1,950",1-2 Beds,"13210 NE 97th Ave, Kirkland, WA 98034"
0,"$1,316 - 1,905",1-2 Beds,"9224 Slater Ave NE, Kirkland, WA 98033"
0,"$2,246 - 2,810",1-2 Beds,"10211 NE 134th Ln, Kirkland, WA 98034"
0,"$1,865 - 4,240",Studio - 3 Beds,"10930 116th Ave, Kirkland, WA 98033"
0,"$1,980 - 2,320",Studio - 2 Beds,"12821 126th Way NE, Kirkland, WA 98034"
0,"$1,795 - 2,795",Studio - 1 Bed,"11801 97th Ln NE, Kirkland, WA 98034"
0,"$1,850 - 2,095",1-2 Beds,"11230 NE 132nd St, Kirkland, WA 98034"
0,"$3,152 - 3,162",2 Beds,"6750-6754 Lake Washington Blvd NE, Kirkland, WA 98033"
0,"$2,804 - 3,639",2-3 Beds,"10013 NE 130th Ln, Kirkland, WA 98034"
0,"$2,999 - 3,839",2-3 Beds,"12520 101st Way NE, Kirkland, WA 98034"
0,"$2,084 - 2,929",1-3 Beds,"12000 131st Ln NE, Kirkland, WA 98034"
0,"$2,195 - 4,550",Studio - 3 Beds,"221 1st St, Kirkland, WA 98033"
0,"$1,899 - 1,949",1-3 Beds,"12233 NE 131st Way, Kirkland, WA 98034"
0,"$1,795 - 2,395",1-2 Beds,"9823 NE 130th Pl, Kirkland, WA 98034"
0,"$1,705 - 5,712",Studio - 3 Beds,"11723 NE 117th Ct, Kirkland, WA 98034"
0,Call for Rent,Studio - 2 Beds,"12377 137th Pl NE, Redmond, WA 98052"
0,"$2,768 - 3,949",2-3 Beds,"11330 NE 36th Pl, Bellevue, WA 98004"
0,"$2,058 - 5,564",1-3 Beds,"10600 NE 29th St, Bellevue, WA 98004"
0,"$2,160 - 2,475",1-3 Beds,"8500 NE 148th Ave, Redmond, WA 98052"
0,"$1,675 - 2,075",1 Bed,"11249 NE 36th Pl, Bellevue, WA 98004"
0,"$3,190",3 Beds,"Kirkland, WA 98034"
