,price,rooms,address
0,"$1,162 - 2,864",Studio - 2 Beds,"9007 Ten Mile Rd, Knoxville, TN 37923"
0,"$1,459 - 2,219",1-3 Beds,"8700 Hopemont Way, Knoxville, TN 37923"
0,"$1,470 - 1,675",2-3 Beds,"505 Fox Crossing Blvd, Knoxville, TN 37923"
0,"$1,850 - 2,100",Studio - 1 Bed,"101 E 5th Ave, Knoxville, TN 37917"
0,"$1,497 - 4,166",1-3 Beds,"9635 Westland Cove Way, Knoxville, TN 37922"
0,"$1,425 - 2,050",1-3 Beds,"11613 Vista Terrace Way, Knoxville, TN 37932"
0,"$1,690 - 2,590",1-3 Beds,"8860 Crescent Lake Way, Knoxville, TN 37923"
0,"$2,000 - 2,775",1-3 Beds,"1980 Icon Way, Knoxville, TN 37932"
0,"$1,400 - 2,300",Studio - 3 Beds,"10865 Parkside Dr, Knoxville, TN 37934"
0,"$1,750 - 2,400",1-2 Beds,"906 Waterfront Dr, Knoxville, TN 37920"
0,"$2,449 - 2,785",3-4 Beds,"5121 Yonah Way, Knoxville, TN 37918"
0,"$2,200 - 2,550",3 Beds,"10853 Solway Summit Way, Knoxville, TN 37931"
0,"$1,339 - 1,899",1-4 Beds,"220 W Blount Ave, Knoxville, TN 37920"
0,"$1,619 - 1,867",1-2 Beds,"520 Windview Way, Knoxville, TN 37919"
0,"$969 - 1,799",Studio - 3 Beds,"501 Longview Rd, Knoxville, TN 37919"
0,"$1,265 - 1,870",1-3 Beds,"7118 W Arbor Trace Dr, Knoxville, TN 37909"
0,"$1,383 - 2,590",2 Beds,"657 Rain Forest Dr, Knoxville, TN 37923"
0,"$1,289 - 2,089",1-3 Beds,"201 Cairn Cir, Knoxville, TN 37923"
0,"$1,528 - 1,878",1-3 Beds,"5000 Tazewell Pike, Knoxville, TN 37918"
0,"$1,080 - 2,310",1-4 Beds,"505 Buckeye Dr, Knoxville, TN 37919"
0,"$1,795 - 2,270",2-3 Beds,"9400 Havenbrooke Way, Knoxville, TN 37922"
0,"$1,259 - 2,049",Studio - 3 Beds,"401 S Gallaher View Rd, Knoxville, TN 37919"
0,"$1,150 - 1,450",1-2 Beds,"2300 Davenport Rd, Knoxville, TN 37920"
0,"$1,685 - 2,655",1-3 Beds,"850 E Hill Ave, Knoxville, TN 37915"
0,"$1,352 - 4,009",1-3 Beds,"350 Amberleigh Bluff Way, Knoxville, TN 37922"
0,"$1,429 - 2,439",1-4 Beds,"1000 Country Oak Cir, Knoxville, TN 37909"
0,"$1,639 - 5,292",1-3 Beds,"1703 Island Home, Knoxville, TN 37920"
0,"$1,383 - 2,185",1-3 Beds,"10105 Hardin Valley Rd, Knoxville, TN 37932"
0,"$1,319 - 4,850",Studio - 2 Beds,"2004 City Vista Way, Knoxville, TN 37920"
0,"$1,438 - 3,454",1-3 Beds,"651 Rainforest Rd, Knoxville, TN 37923"
0,"$1,600 - 4,100",Studio - 1 Bed,"625 Cumberland Ave, Knoxville, TN 37902"
0,"$1,539 - 2,150",1-3 Beds,"875 Cornerstone Dr, Knoxville, TN 37932"
0,"$2,700",4 Beds,"7340 Coatney Rd, Knoxville, TN 37920"
0,"$1,465 - 1,765",1-5 Beds,"2136 Cumberland Ave, Knoxville, TN 37916"
0,"$1,549 - 2,379",1-3 Beds,"500 Manor View Dr, Knoxville, TN 37923"
0,"$1,950 - 2,200",3 Beds,"4827 Ancient Glacier Ln, Knoxville, TN 37918"
0,"$1,492 - 1,765",1-2 Beds,"5000 Western Ave, Knoxville, TN 37921"
0,"$1,626 - 3,143",1-2 Beds,"151 E Blount Ave, Knoxville, TN 37920"
0,"$1,299 - 1,739",1-3 Beds,"4831 Summit Cir, Knoxville, TN 37919"
0,"$1,429 - 4,042",Studio - 2 Beds,"700 Henley St SW, Knoxville, TN 37902"
