,price,rooms,address
0,"$865 - 1,199",1-3 Beds,"2700 Ernest St, Lake Charles, LA 70601"
0,"$849 - 1,449",1-3 Beds,"2770 Power Center Pky, Lake Charles, LA 70607"
0,"$950 - 1,725",1-3 Beds,"4950 Weaver Rd, Lake Charles, LA 70605"
0,"$871 - 2,173",1-3 Beds,"5200 Nelson Rd, Lake Charles, LA 70605"
0,"$777 - 1,801",1-3 Beds,"2845 Country Club Rd, Lake Charles, LA 70605"
0,"$859 - 1,584",1-3 Beds,"1531 Country Club Rd, Lake Charles, LA 70605"
0,"$794 - 1,325",1-3 Beds,"4650 Nelson Rd, Lake Charles, LA 70605"
0,"$929 - 1,591",1-3 Beds,"1225 Country Club Rd, Lake Charles, LA 70605"
0,"$1,615 - 1,775",2-3 Beds,"5121 Bayview Pky, Lake Charles, LA 70605"
0,"$819 - 1,199",1-3 Beds,"5020 Pecan Acres St, Lake Charles, LA 70605"
0,"$1,250 - 1,600",1-3 Beds,"4821 Amy St, Lake Charles, LA 70605"
0,$800 - 900,1-2 Beds,"4404 Canal St, Lake Charles, LA 70605"
0,"$625 - 1,045",Studio - 3 Beds,"1045 Walters St, Lake Charles, LA 70607"
0,"$994 - 1,273",1-3 Beds,"5355 Southpark Dr, Lake Charles, LA 70607"
0,"$899 - 1,703",1-3 Beds,"5225 Elliott Rd, Lake Charles, LA 70605"
0,$725 - 895,1-2 Beds,"1515 W McNeese St, Lake Charles, LA 70605"
0,"$740 - 1,149",1-3 Beds,"4245 5th Ave, Lake Charles, LA 70607"
0,"$695 - 1,045",1-3 Beds,"211 Louie St, Lake Charles, LA 70601"
0,"$695 - 1,045",1-3 Beds,"2960 Lake St, Lake Charles, LA 70601"
0,"$898 - 1,630",1-3 Beds,"1000 Carlyss Blvd, Sulphur, LA 70665"
0,$640 - 880,1-4 Beds,"700 Henning Dr, Sulphur, LA 70663"
0,$725,2 Beds,"1011 W 18th St, Lake Charles, LA 70601"
0,$625 - 825,1-3 Beds,"4249 Fifth Ave, Lake Charles, LA 70607"
0,"$950 - 7,500",Studio - 2 Beds,"625 Ryan St, Lake Charles, LA 70601"
0,"$899 - 1,414",1-3 Beds,"1330 W McNeese St, Lake Charles, LA 70605"
0,$649 - 849,1-2 Beds,"600 Avenue J, Lake Charles, LA 70615"
0,"$900 - 1,555",Studio - 2 Beds,"600 Ryan St, Lake Charles, LA 70601"
0,$882 - 963,2-3 Beds,"4101 5th Ave, Lake Charles, LA 70607"
0,"$875 - 1,640",Studio - 3 Beds,"2130 Country Club Rd, Lake Charles, LA 70605"
0,"$935 - 1,760",1-3 Beds,"2900 Westwood Rd, Westlake, LA 70669"
