,price,rooms,address
0,"$1,125 - 2,274",Studio - 2 Beds,"501 S Capitol Ave, Lansing, MI 48933"
0,"$1,320 - 2,699",Studio - 3 Beds,"3595 Jolly Oak Rd, Okemos, MI 48864"
0,$900 - 975,1 Bed,"201 W Jolly Rd, Lansing, MI 48910"
0,"$850 - 1,650",1-4 Beds,"410 Charity Cir, Lansing, MI 48917"
0,"$1,440 - 3,995",1-3 Beds,"4540 Collins Rd, Lansing, MI 48910"
0,"$910 - 1,245",1-2 Beds,"5332 W Michigan Ave, Lansing, MI 48917"
0,"$670 - 1,210",1-3 Beds,"900 Long Blvd, Lansing, MI 48911"
0,"$1,100 - 1,782",1-2 Beds,"7715 Streamwood Dr, Lansing, MI 48917"
0,"$925 - 1,295",1-2 Beds,"2305 E Jolly Rd, Lansing, MI 48910"
0,"$850 - 1,475",1-3 Beds,"229 Parkwood Dr, Lansing, MI 48917"
0,"$924 - 2,099",Studio - 3 Beds,"610 W Ottawa St, Lansing, MI 48933"
0,"$1,120 - 2,240",Studio - 2 Beds,"301 W Lenawee St, Lansing, MI 48933"
0,"$2,099 - 3,106",2 Beds,"7877 Celosia Dr, Lansing, MI 48917"
0,"$1,295 - 29,590",1-3 Beds,"707 Prudden St, Lansing, MI 48906"
0,"$810 - 1,396",1-2 Beds,"4030 Hartford Rd, Lansing, MI 48911"
0,"$1,199 - 1,575",1-2 Beds,"831 Brookside Ln, Lansing, MI 48917"
0,"$1,050 - 1,450",1-3 Beds,"1010 W Edgewood Blvd, Lansing, MI 48911"
0,"$979 - 1,765",1-3 Beds,"410 Pine Forest Dr, East Lansing, MI 48823"
0,"$1,769 - 1,789",Studio,"233 Abbot Rd, East Lansing, MI 48823"
0,"$955 - 2,198",1-5 Beds,"155 Cascade Blvd, Lansing, MI 48912"
0,"$800 - 1,050",1-2 Beds,"201 S Waverly Rd, Lansing, MI 48917"
0,"$1,884 - 3,070",2 Beds,"8156 Roslyn Hill, Lansing, MI 48917"
0,"$1,172 - 1,877",1-2 Beds,"7606 Briarbrook Dr, Lansing, MI 48917"
0,"$1,291 - 1,628",1-2 Beds,"620 May St, Lansing, MI 48906"
0,"$1,138 - 1,680",Studio - 2 Beds,"312 N Cedar St, Lansing, MI 48912"
0,"$1,275 - 1,810",1-3 Beds,"7530 Waters Edge, Lansing, MI 48917"
0,"$1,002 - 2,083",Studio - 2 Beds,"313 N Cedar St, Lansing, MI 48912"
0,"$865 - 1,045",1-2 Beds,"206 E Malcolm X St, Lansing, MI 48933"
0,"$1,315 - 5,477",Studio - 2 Beds,"3140 E Michigan Ave, Lansing, MI 48912"
0,"$800 - 1,100",1-2 Beds,"3601-3620 Richmond St, Lansing, MI 48911"
0,"$725 - 1,125",Studio - 2 Beds,"323 N Walnut St, Lansing, MI 48933"
0,"$845 - 1,577",1-2 Beds,"3001 Trappers Cove Trl, Lansing, MI 48910"
0,"$795 - 1,220",1-3 Beds,"5200 Mall Dr W, Lansing, MI 48917"
0,"$1,290 - 2,770",1-3 Beds,"1551 Pebblecreek Blvd, East Lansing, MI 48823"
0,"$1,164 - 1,704",1-2 Beds,"4425 Heritage Ave, Okemos, MI 48864"
0,"$875 - 1,070",1-2 Beds,"1185 Palmer Ln, East Lansing, MI 48823"
0,"$1,275 - 1,365",2 Beds,"401 S Washington Sq, Lansing, MI 48933"
0,"$1,238 - 2,320",Studio - 2 Beds,"600 E Michigan Ave, Lansing, MI 48912"
0,"$998 - 1,680",1-2 Beds,"3313 W Mount Hope Ave, Lansing, MI 48911"
0,"$1,060 - 1,540",Studio - 2 Beds,"313 N Capitol Ave, Lansing, MI 48933"
