,price,rooms,address
0,"$1,880 - 3,759",Studio - 3 Beds,"420 SW 27th Ave, Fort Lauderdale, FL 33312"
0,"$2,550 - 3,110",Studio - 3 Beds,"3880 W Broward Blvd, Plantation, FL 33312"
0,"$2,225 - 3,570",1-3 Beds,"9141 W Commercial Blvd, Tamarac, FL 33351"
0,"$1,799 - 2,699",1-3 Beds,"3541 NW 30th Pl, Lauderdale Lakes, FL 33311"
0,"$1,875 - 3,050",Studio - 3 Beds,"5475 N University, Lauderhill, FL 33351"
0,"$948 - 1,215",Studio - 2 Beds,"4200 NW 19th St, Lauderhill, FL 33313"
0,"$1,300 - 2,075",Studio - 3 Beds,"4200 Inverrary Blvd, Lauderhill, FL 33319"
0,"$1,750 - 2,630",1-3 Beds,"2360 NW 56th Ave, Lauderhill, FL 33313"
0,"$2,066 - 3,340",1-3 Beds,"8894 NW 44th St, Sunrise, FL 33351"
0,"$1,895 - 2,357",1-2 Beds,"6701 W Oakland Park Blvd, Fort Lauderdale, FL 33313"
0,"$1,525 - 2,425",1-3 Beds,"7001-7081 NW 16th St, Plantation, FL 33313"
0,"$2,150 - 2,600",2 Beds,"5350-5370 NW 88th Ave, Sunrise, FL 33351"
0,"$1,845 - 1,965",2 Beds,"3540 NW 50th Ave, Fort Lauderdale, FL 33319"
0,"$2,075 - 4,715",1-3 Beds,"6901 W Sunrise Blvd, Plantation, FL 33313"
0,"$1,730 - 2,198",1-2 Beds,"8650 NW 61st St, Tamarac, FL 33321"
0,"$1,990 - 2,040",1-4 Beds,"4001 N Pine Island Rd, Sunrise, FL 33351"
0,"$2,203 - 4,521",1-3 Beds,"3551 NW 85th Way, Sunrise, FL 33351"
0,"$1,890 - 2,200",1-2 Beds,"5314 NW 27th St, Lauderhill, FL 33313"
0,"$1,670 - 2,470",1-2 Beds,"7505 NW 44th St, Lauderhill, FL 33319"
0,"$1,632 - 3,108",1-3 Beds,"4491 NW 19th St, Lauderhill, FL 33313"
0,"$2,315 - 2,650",1-2 Beds,"4108 N Pine Island Rd, Sunrise, FL 33351"
0,"$1,836 - 2,749",1-3 Beds,"5903 NW 57th Ct, Tamarac, FL 33319"
0,"$1,732 - 1,782",1-2 Beds,"1196 NW 40th Ave, Fort Lauderdale, FL 33311"
0,"$1,811 - 2,455",1-2 Beds,"8798 NW 38th St, Sunrise, FL 33351"
0,"$1,700 - 2,000",1-2 Beds,"3200 NW 84th Ave, Sunrise, FL 33351"
0,"$1,695 - 2,399",1-3 Beds,"8140 SW 22nd St, North Lauderdale, FL 33068"
0,"$1,687 - 2,138",Studio - 3 Beds,"4001 N University Dr, Sunrise, FL 33351"
0,"$1,980 - 2,450",2-3 Beds,"2011-2051 NW 43rd Ter, Lauderhill, FL 33313"
0,Call for Rent,1-2 Beds,"5500 NW 69th Ave, Lauderhill, FL 33319"
0,"$2,150",2 Beds,"9404 NW 49th Pl, Sunrise, FL 33351"
0,"$2,125 - 4,932",1-3 Beds,"335 N State Road 7, Plantation, FL 33317"
0,"$1,749 - 2,200",1-2 Beds,"2725 Somerset Dr, Lauderdale Lakes, FL 33311"
0,"$1,650",1 Bed,"7609 NW 42nd Plz, Sunrise, FL 33351"
0,"$1,550 - 2,615",1-2 Beds,"2915 NW 60th Ave, Sunrise, FL 33313"
0,"$1,507 - 2,750",1-3 Beds,"601 NW 42nd Ave, Plantation, FL 33317"
0,"$1,420 - 1,840",1-2 Beds,"6527 NW 70th Ave, Tamarac, FL 33321"
0,"$2,900 /mo","3 Beds, 2 Baths","Lauderhill, FL 33313"
0,"$2,100",2 Beds,"Lauderhill, FL 33313"
0,"$2,850",2 Beds,"Lauderhill, FL 33319"
0,"$1,495",Studio,"Lauderhill, FL 33319"
