,price,rooms,address
0,"$999 - 1,562",1-2 Beds,"540 W 1425 N, Layton, UT 84041"
0,"$1,499 - 2,522",1-3 Beds,"1375 Jaques Dr, Layton, UT 84040"
0,"$1,350 - 1,800",1-2 Beds,"1600 N 1575 W, Layton, UT 84041"
0,"$1,397 - 1,795",1-3 Beds,"2090 N Hillfield Rd, Layton, UT 84041"
0,"$1,411 - 3,797",1-3 Beds,"1300 S 1800 E, Clearfield, UT 84015"
0,"$1,333 - 5,693",1-3 Beds,"1902 E 700 S, Clearfield, UT 84015"
0,"$1,319 - 3,191",1-3 Beds,"1100 S 2000 E, Clearfield, UT 84015"
0,"$1,525 - 1,950",1-3 Beds,"1150 W 825 N, Layton, UT 84041"
0,"$1,899 - 2,049",2-3 Beds,"2798 N Hill Field Rd, Layton, UT 84041"
0,"$1,380 - 1,899",1-3 Beds,"2925 N Church St, Layton, UT 84040"
0,"$1,450 - 1,550",1 Bed,"50 W 400 S, Layton, UT 84041"
0,"$893 - 3,236",Studio - 2 Beds,"2955 N 400 W, Layton, UT 84041"
0,"$1,443 - 2,385",1-3 Beds,"1342 S 950 E, Clearfield, UT 84015"
0,"$1,325 - 2,820",1-3 Beds,"900 S 1500 E, Clearfield, UT 84015"
0,"$1,089 - 1,199",1-2 Beds,"1200 S 1500, Clearfield, UT 84015"
0,"$1,475 - 2,045",1-2 Beds,"540 S Fort Ln, Layton, UT 84041"
0,"$1,850 - 1,925",3 Beds,"275 S Fort Ln, Layton, UT 84041"
0,"$1,360 - 2,411",1-2 Beds,"250 N Adamswood Rd, Layton, UT 84040"
0,"$1,295 - 1,695",1-3 Beds,"2075 N Main St, Layton, UT 84041"
0,"$1,999 - 2,397",2-4 Beds,"100 N Cross St, Layton, UT 84041"
0,"$1,849 - 2,300",2-4 Beds,"112 N Fort Ln, Layton, UT 84041"
0,"$1,399 - 2,050",1-2 Beds,"1225 E Gentile St, Layton, UT 84040"
0,"$1,338 - 1,714",2-4 Beds,"25 E 1800 S, Clearfield, UT 84015"
0,"$2,250 - 2,530",3 Beds,"2027 W 975 N, Layton, UT 84041"
0,"$1,350 - 1,650",1-2 Beds,"60 S Main St, Layton, UT 84041"
0,"$1,959 - 2,170",2-3 Beds,"3310 N 1750 E, Layton, UT 84040"
0,"$1,320 - 1,600",1-3 Beds,"1347 E Rosewood Ln, Layton, UT 84040"
0,"$1,276 - 2,108",1-3 Beds,"2111 N Hill Field Rd, Layton, UT 84041"
0,"$1,295 - 1,395",2 Beds,"754 Eastside Dr, Layton, UT 84040"
0,"$1,249 - 1,449",1-2 Beds,"1656 N Hill Field Rd, Layton, UT 84041"
0,"$1,415 - 1,834",1-2 Beds,"1814 N 700th W, Layton, UT 84041"
0,"$950 - 1,400",1-2 Beds,"300 N Fort Ln, Layton, UT 84041"
0,"$1,200 - 1,400",1-3 Beds,"1560 N Main St, Layton, UT 84041"
0,"$1,500",3 Beds,"Layton, UT 84040"
