,price,rooms,address
0,"$1,361 - 2,591",1-2 Beds,"1600 N Summit Ave, Lewisville, TX 75077"
0,"$1,625 - 3,080",1-2 Beds,"100 E Main St, Lewisville, TX 75057"
0,"$1,601 - 7,323",Studio - 2 Beds,"5750 Grandscape Blvd, The Colony, TX 75056"
0,"$1,342 - 2,629",1-3 Beds,"2801 Denton Tap Rd, Lewisville, TX 75067"
0,"$1,277 - 2,145",1-3 Beds,"801 Hebron Pky, Lewisville, TX 75057"
0,"$1,365 - 1,850",1-2 Beds,"1070 Grandys Ln, Lewisville, TX 75077"
0,"$1,433 - 3,248",1-3 Beds,"2241 S Business Hwy, Lewisville, TX 75067"
0,"$1,330 - 5,008",1-3 Beds,"5500 State Highway 121, Lewisville, TX 75056"
0,"$1,152 - 2,616",1-2 Beds,"300 E Round Grove Rd, Lewisville, TX 75067"
0,"$1,410 - 3,130",1-3 Beds,"2701 MacArthur Blvd, Lewisville, TX 75067"
0,"$1,195 - 3,175",Studio - 3 Beds,"3600 Windhaven Pky, Lewisville, TX 75056"
0,"$1,236 - 2,360",1-3 Beds,"195 E Round Grove Rd, Lewisville, TX 75067"
0,"$1,537 - 3,030",1-3 Beds,"951 Leora Ln, Lewisville, TX 75056"
0,"$1,181 - 2,685",1-3 Beds,"1200 College Pky, Lewisville, TX 75077"
0,"$1,186 - 1,738",1-2 Beds,"701 N Leora Ln, Lewisville, TX 75056"
0,"$1,250 - 2,040",1-3 Beds,"165 Forestbrook Dr, Lewisville, TX 75067"
0,"$1,373 - 3,055",1-3 Beds,"350 Continental Dr, Lewisville, TX 75067"
0,"$1,246 - 2,004",1-3 Beds,"5200 Windhaven Pky, Lewisville, TX 75056"
0,"$1,092 - 2,629",1-2 Beds,"650 N Leora Ln, Lewisville, TX 75056"
0,"$1,095 - 2,115",1-2 Beds,"1400 Valley Ridge Blvd, Lewisville, TX 75077"
0,"$1,215 - 1,975",1-3 Beds,"901 Lakeside Cir, Lewisville, TX 75057"
0,"$1,220 - 2,400",1-2 Beds,"4440 TX-121, Lewisville, TX 75056"
0,"$1,454 - 3,174",1-3 Beds,"1000 Grandys Ln, Lewisville, TX 75077"
0,"$1,250 - 3,104",Studio - 3 Beds,"535 S Mill St, Lewisville, TX 75057"
0,"$1,300 - 2,775",Studio - 2 Beds,"2901 Lady Bettye Dr, Lewisville, TX 75056"
0,"$1,279 - 2,333",1-3 Beds,"2057 W Hebron Pkwy, Carrollton, TX 75010"
0,"$1,337 - 3,492",1-3 Beds,"4777 Memorial Dr, The Colony, TX 75056"
0,"$1,393 - 4,418",1-3 Beds,"1701 Hebron Pky E, Carrollton, TX 75010"
0,"$1,287 - 6,088",1-3 Beds,"6815-6855 Windhaven Pky, The Colony, TX 75056"
0,"$1,529 - 4,029",1-3 Beds,"3701 Grapevine Mills Pky, Grapevine, TX 76051"
0,"$1,490 - 9,813",1-3 Beds,"3225 N Grapevine Blvd, Grapevine, TX 76051"
0,"$1,444 - 2,284",1-3 Beds,"4000 S Broadway Ave, Flower Mound, TX 75028"
0,"$1,373 - 2,749",1-3 Beds,"215 N Moore Rd, Coppell, TX 75019"
0,"$1,382 - 2,521",1-3 Beds,"3601 Grapevine Mills Pkwy, Grapevine, TX 76051"
0,"$1,598 - 3,222",1-3 Beds,"3900 Riverwalk Dr, Flower Mound, TX 75028"
0,"$1,514 - 3,553",Studio - 3 Beds,"3535 Bluffs Ln, Grapevine, TX 76051"
0,"$1,334 - 2,255",1-2 Beds,"1700 W Frankford Rd, Carrollton, TX 75007"
0,"$1,040 - 2,350",1-3 Beds,"201 E Round Grove Rd, Lewisville, TX 75067"
0,"$1,429 - 3,174",Studio - 2 Beds,"501 E College St, Lewisville, TX 75057"
0,"$1,309 - 3,119",1-3 Beds,"351 State Highway 121 Byp, Lewisville, TX 75067"
