,price,rooms,address
0,"$1,095 - 2,250",Studio - 3 Beds,"10300 S 27th St, Roca, NE 68430"
0,"$975 - 1,800",Studio - 2 Beds,"6800 Ashbrook Dr, Lincoln, NE 68516"
0,"$1,075 - 1,550",1-2 Beds,"3715 Hohensee Dr, Lincoln, NE 68516"
0,"$990 - 1,690",Studio - 2 Beds,"4101 Hohensee Dr, Lincoln, NE 68516"
0,"$1,525 - 1,825",2 Beds,"8421 S 48th St, Lincoln, NE 68516"
0,"$1,099 - 1,825",Studio - 2 Beds,"7155 S 29th St, Lincoln, NE 68516"
0,"$1,202 - 2,433",Studio - 2 Beds,"222 N 22nd St, Lincoln, NE 68503"
0,"$929 - 1,407",1-3 Beds,"1170 SW 27th St, Lincoln, NE 68522"
0,"$1,250 - 2,130",1-3 Beds,"701 Lakeside Dr, Lincoln, NE 68528"
0,"$1,215 - 2,191",1-3 Beds,"3751 Faulkner Dr, Lincoln, NE 68516"
0,"$781 - 1,905",1-2 Beds,"375 Fletcher Ave, Lincoln, NE 68521"
0,"$719 - 1,448",Studio - 3 Beds,"510 Surfside Dr, Lincoln, NE 68528"
0,"$995 - 2,043",Studio - 3 Beds,"3055 Crescent Dr, Lincoln, NE 68516"
0,"$1,178 - 1,967",Studio - 3 Beds,"8300 Cheney Ridge Rd, Lincoln, NE 68516"
0,"$1,140 - 1,849",1-2 Beds,"6010 Meridian Dr, Lincoln, NE 68504"
0,"$1,014 - 1,949",1-3 Beds,"8801 S 33rd St, Lincoln, NE 68516"
0,"$1,142 - 3,262",1-3 Beds,"8430 Fremont St, Lincoln, NE 68507"
0,"$1,100 - 1,895",Studio - 2 Beds,"1220 W Highland Blvd, Lincoln, NE 68521"
0,"$895 - 1,645",Studio - 3 Beds,"9100 Heritage Lakes Dr, Lincoln, NE 68526"
0,"$1,480 - 2,372",1-3 Beds,"8801 Executive Woods Dr, Lincoln, NE 68512"
0,"$945 - 1,700",Studio - 2 Beds,"8450-8455 Cody Dr, Lincoln, NE 68512"
0,"$1,099 - 1,600",Studio - 2 Beds,"1401 Cedar Cove Rd, Lincoln, NE 68505"
0,"$1,075 - 1,450",1-2 Beds,"1400 Garret Ln, Lincoln, NE 68512"
0,"$999 - 1,799",Studio - 3 Beds,"6740 SW 4th St, Lincoln, NE 68523"
0,"$930 - 1,572",1-2 Beds,"4911 N 32nd St, Lincoln, NE 68504"
0,"$1,035 - 2,402",1-3 Beds,"2901 Fletcher Ave, Lincoln, NE 68504"
0,"$940 - 1,605",Studio - 2 Beds,"2701 Fletcher Ave, Lincoln, NE 68504"
0,$950 - 975,1-2 Beds,"8341 Karl Ridge Rd, Lincoln, NE 68506"
0,"$875 - 1,425",Studio - 2 Beds,"4607 Old Cheney Rd, Lincoln, NE 68516"
0,"$989 - 1,599",Studio - 3 Beds,"7370 Husker Cir, Lincoln, NE 68504"
0,"$975 - 1,925",Studio - 2 Beds,"7210 S 89th St, Lincoln, NE 68526"
0,$950 - 965,1 Bed,"901 Roanoke Ct, Lincoln, NE 68510"
0,"$840 - 1,690",Studio - 3 Beds,"2840 Fletcher Ave, Lincoln, NE 68504"
0,"$800 - 1,500",Studio - 3 Beds,"5501 Warwick Ct, Lincoln, NE 68516"
0,"$918 - 1,700",1-2 Beds,"5900 Roose St, Lincoln, NE 68506"
0,"$2,125",2-3 Beds,"6010 Meridian Dr, Lincoln, NE 68504"
0,"$977 - 1,869",Studio - 3 Beds,"111 S 90th St, Lincoln, NE 68520"
0,"$1,184 - 2,127",Studio - 3 Beds,"1800 Fletcher Ave, Lincoln, NE 68521"
0,"$1,058 - 1,893",Studio - 2 Beds,"225 N Cotner Blvd, Lincoln, NE 68505"
0,"$1,725 - 2,000",1-3 Beds,"7015 S 38th St, Lincoln, NE 68516"
