,price,rooms,address
0,"$2,135 - 2,575",1-2 Beds,"1160 Portola Meadows Rd, Livermore, CA 94551"
0,"$1,700 - 2,161",1-2 Beds,"1089 Bluebell Dr, Livermore, CA 94551"
0,"$2,572 - 6,821",1-2 Beds,"1809 Railroad Ave, Livermore, CA 94550"
0,"$1,799 - 2,493",1-2 Beds,"434 Junction Ave, Livermore, CA 94551"
0,"$2,546 - 3,786",1-3 Beds,"1001-1097 Westwind St, Livermore, CA 94550"
0,"$2,329 - 3,146",2-3 Beds,"3819 East Ave, Livermore, CA 94550"
0,"$2,845 - 2,993",1-2 Beds,"3550 Pacific Ave, Livermore, CA 94550"
0,"$2,408 - 3,183",2-4 Beds,"5720 East Ave, Livermore, CA 94550"
0,"$2,288 - 7,239",1-2 Beds,"1700 Paseo Laguna Seco Dr, Livermore, CA 94551"
0,"$3,000",2 Beds,"5639 Jacquiline Way, Livermore, CA 94550"
0,"$2,404 - 6,841",1-2 Beds,"51 Murdell Ln, Livermore, CA 94550"
0,"$2,999 - 3,099",1-3 Beds,"2991 College Ave, Livermore, CA 94550"
0,"$2,362 - 2,568",1-2 Beds,"277 Junction Ave, Livermore, CA 94551"
0,"$2,710 - 3,250",2-3 Beds,"4601 Gerrilyn Way, Livermore, CA 94550"
0,"$2,395 - 2,895",1-2 Beds,"1550 Springtown Blvd, Livermore, CA 94551"
0,"$1,900 - 2,949",1-3 Beds,"6175 Water Lily Commons, Livermore, CA 94551"
0,"$1,995 - 2,400",1-2 Beds,"1135-1193 Concannon Blvd, Livermore, CA 94550"
0,"$1,962 - 2,810",Studio - 3 Beds,"5643 Charlotte Way, Livermore, CA 94550"
0,"$2,300 - 2,600",2-3 Beds,"5107 Norma Way, Livermore, CA 94550"
0,"$1,795 - 2,195",1-2 Beds,"3998 East Ave, Livermore, CA 94550"
0,"$2,250",1 Bed,"4161 Keegan St, Dublin, CA 94568"
0,"$1,266 - 2,470",1-2 Beds,"3115 Finnian Way, Dublin, CA 94568"
