,price,rooms,address
0,"$895 - 1,450",1-3 Beds,"701 Gilmer Rd, Longview, TX 75604"
0,"$1,205 - 2,380",1-3 Beds,"1121 E Hawkins Pky, Longview, TX 75605"
0,"$1,049 - 1,720",1-3 Beds,"2300 Bill Owens Pky, Longview, TX 75604"
0,"$749 - 1,439",1-2 Beds,"110 E Hawkins Pky, Longview, TX 75605"
0,"$1,330 - 2,592",1-3 Beds,"3637 US Highway 259 N, Longview, TX 75605"
0,"$1,325 - 1,899",1-3 Beds,"1130 E Hawkins Pkwy, Longview, TX 75605"
0,"$1,200 - 1,600",1-3 Beds,"3401 N Highway 259, Longview, TX 75605"
0,"$851 - 1,156",1-3 Beds,"3401 E Marshall Ave, Longview, TX 75601"
0,"$720 - 1,100",1-2 Beds,"2601 Bill Owens Pky, Longview, TX 75604"
0,"$768 - 1,070",1-2 Beds,"2019 Toler Rd, Longview, TX 75605"
0,"$824 - 1,236",Studio - 2 Beds,"616 City Center Way, Longview, TX 75605"
0,"$1,050 - 1,250",1-2 Beds,"100 Heston St, Longview, TX 75604"
0,"$775 - 1,338",1-2 Beds,"3700 McCann Rd, Longview, TX 75605"
0,"$879 - 3,103",1-3 Beds,"1507 N Eastman Rd, Longview, TX 75601"
0,"$995 - 1,558",1-3 Beds,"115 E Hawkins Pky, Longview, TX 75605"
0,"$910 - 1,140",1-2 Beds,"3100 McCann Rd, Longview, TX 75605"
0,"$900 - 1,435",1-3 Beds,"3623 McCann Rd, Longview, TX 75605"
0,"$814 - 1,389",1-2 Beds,"301 W Hawkins Pky, Longview, TX 75605"
0,"$699 - 1,569",1-2 Beds,"1400 H G Mosley Pky, Longview, TX 75604"
0,"$795 - 1,275",1-2 Beds,"1818 Judson Rd, Longview, TX 75605"
0,"$1,095 - 1,375",1-2 Beds,"1100 McCann Rd, Longview, TX 75601"
0,"$1,075",2 Beds,"2114 E Marshall Ave, Longview, TX 75601"
0,"$735 - 1,025",1-2 Beds,"2900 McCann Rd, Longview, TX 75605"
0,"$675 - 1,030",1-2 Beds,"614 Gilmer Rd, Longview, TX 75604"
0,"$695 - 1,080",1-2 Beds,"2801 Bill Owens Pky, Longview, TX 75605"
0,"$2,000 /mo","3 Beds, 2 Baths","Longview, TX 75605"
