,price,rooms,address
0,"$1,525 - 1,900",1-2 Beds,"9800 Willowbrook Cir, Louisville, KY 40223"
0,"$825 - 1,348",1-3 Beds,"5103 S 1st St, Louisville, KY 40214"
0,"$1,083 - 3,225",Studio - 3 Beds,"400 Mallard Creek Rd, Louisville, KY 40207"
0,"$860 - 2,075",Studio - 2 Beds,"800 S 4th St, Louisville, KY 40203"
0,"$919 - 1,719",Studio - 2 Beds,"1031 Everett Ave, Louisville, KY 40204"
0,"$949 - 1,569",1-3 Beds,"2814 De Mel Ave, Louisville, KY 40214"
0,"$1,238 - 2,210",1-3 Beds,"9500 Williamsburg Plz, Louisville, KY 40222"
0,"$1,496 - 2,017",1-3 Beds,"400 Echelon Way, Louisville, KY 40223"
0,"$1,336 - 2,457",Studio - 3 Beds,"555 S 4th St, Louisville, KY 40202"
0,"$1,150 - 1,425",1-2 Beds,"7715 Oakfields Pointe Rd, Louisville, KY 40228"
0,"$1,250 - 1,754",1-3 Beds,"5420 Eight Bells Ln, Louisville, KY 40258"
0,"$1,375 - 1,995",1-3 Beds,"3400 Tevis Dr, Louisville, KY 40220"
0,Call for Rent,1-3 Beds,"5217 Springdale Rd, Louisville, KY 40241"
0,"$1,475 - 3,124",1-3 Beds,"13645 Elanna Ave, Louisville, KY 40245"
0,"$1,174 - 2,000",1-3 Beds,"1453 Avoca Ridge Dr, Louisville, KY 40223"
0,"$988 - 1,902",1-2 Beds,"430 W Muhammad Ali Blvd, Louisville, KY 40202"
0,"$1,119 - 1,819",1-3 Beds,"841 River Dell Dr, Louisville, KY 40206"
0,"$1,179 - 1,919",1-3 Beds,"9811 Vieux Carre Dr, Louisville, KY 40223"
0,"$1,215 - 1,745",1-3 Beds,"10605 Newtown Woods Trl, Fairdale, KY 40118"
0,"$1,410 - 2,963",1-4 Beds,"1501 Main St, Clarksville, IN 47129"
0,"$899 - 1,125",Studio - 2 Beds,"703 N Shore Dr, Jeffersonville, IN 47130"
0,"$1,030 - 1,690",1-3 Beds,"9400 Hurstbourne Park Blvd, Louisville, KY 40220"
0,"$983 - 2,999",1-3 Beds,"9100 Rainbow Springs Ct, Louisville, KY 40241"
0,"$1,193 - 1,840",1-2 Beds,"700 Landis Ridge Dr, Louisville, KY 40245"
0,"$1,129 - 1,859",1-3 Beds,"201 Heritage Hill Trl, Louisville, KY 40223"
0,"$999 - 1,619",1-3 Beds,"700 Zorn Ave, Louisville, KY 40206"
0,"$1,199 - 2,199",1-3 Beds,"13516 Skywatch Ln, Louisville, KY 40245"
0,"$895 - 2,105",1-2 Beds,"633-657 S Third St, Louisville, KY 40202"
0,"$963 - 1,250",1-2 Beds,"3130 Saint Anthony Gardens Dr, Louisville, KY 40214"
0,"$1,272 - 4,293",1-3 Beds,"11950 Victory Knoll Cir, Louisville, KY 40243"
0,"$1,290 - 1,766",Studio - 2 Beds,"303 Axis Dr, Louisville, KY 40206"
0,"$849 - 1,205",Studio - 2 Beds,"3201 Leith Ln, Louisville, KY 40218"
0,"$1,309 - 2,780",1-3 Beds,"10200 Renaissance Valley Way, Louisville, KY 40272"
0,"$785 - 3,040",Studio - 3 Beds,"1800 Marina's Edge Way, Louisville, KY 40206"
0,"$950 - 1,395",1-3 Beds,"9601 Balsam Way, Louisville, KY 40299"
0,"$1,289 - 1,823",1-3 Beds,"407 Charlestown Ct, Louisville, KY 40243"
0,"$1,085 - 2,470",1-3 Beds,"2050 Stony Brook Dr, Louisville, KY 40220"
0,"$886 - 2,906",1-3 Beds,"203 Breckinridge Sq, Louisville, KY 40220"
0,"$1,199 - 1,999",2-3 Beds,"6100 Ledgewood Pky, Louisville, KY 40214"
0,"$1,599",2 Beds,"7607 Ashton Park Cir, Louisville, KY 40228"
