,price,rooms,address
0,"$2,445 - 2,906",Studio - 2 Beds,"42 Wellman St, Lowell, MA 01851"
0,"$2,350 - 2,400",1 Bed,"850 Lawrence St, Lowell, MA 01852"
0,"$2,099 - 2,399",1-2 Beds,"27 Jackson St, Lowell, MA 01852"
0,"$2,025 - 3,150",1-2 Beds,"165 Thorndike St, Lowell, MA 01852"
0,"$1,739 - 2,451",Studio - 2 Beds,"130 Bowden St, Lowell, MA 01852"
0,"$2,196 - 2,898",1-2 Beds,"250 Skyline Dr, Dracut, MA 01826"
0,"$1,700 - 2,575",Studio - 2 Beds,"670-678 Princeton Blvd, Lowell, MA 01851"
0,"$1,675 - 1,950",1-2 Beds,"71 Robbins St, Lowell, MA 01851"
0,"$1,499 - 1,950",Studio - 2 Beds,"727 Princeton Blvd, Lowell, MA 01851"
0,"$1,650 - 1,725",1 Bed,"1895-1905 Middlesex St, Lowell, MA 01851"
0,"$2,450 - 2,650",1-2 Beds,"353-357 Pawtucket St, Lowell, MA 01854"
0,"$2,695 - 3,175",2 Beds,"525 Pawtucket Blvd, Lowell, MA 01854"
0,"$2,114 - 3,325",Studio - 3 Beds,"150 Massmills Dr, Lowell, MA 01852"
0,"$2,000 - 3,715",1-3 Beds,"130 John St, Lowell, MA 01852"
0,"$1,710 - 1,950",Studio - 2 Beds,"17 E Meadow Ln, Lowell, MA 01854"
0,"$825 - 1,295",1-4 Beds,"1 Merrimack Plz, Lowell, MA 01852"
0,"$1,334 - 1,805",1-3 Beds,"1 River Pl, Lowell, MA 01852"
0,"$1,350 - 1,750",Studio - 2 Beds,"240 Barker Ave, Lowell, MA 01850"
0,"$2,881 - 4,838",1-2 Beds,"1 Technology Dr, Chelmsford, MA 01863"
0,"$1,795 - 2,750",1-2 Beds,"439 Mammoth Rd, Dracut, MA 01826"
0,"$1,577 - 2,523",1-2 Beds,"40-50 Skyline Dr, Dracut, MA 01826"
0,"$1,280 - 1,580",1-2 Beds,"594 Merrimack Ave, Dracut, MA 01826"
