,price,rooms,address
0,"$1,800 - 3,400",Studio - 2 Beds,"408 E Washington Ave, Madison, WI 53703"
0,"$1,550 - 2,100",1-2 Beds,"2521 East Washington Ave, Madison, WI 53704"
0,"$1,475 - 3,925",Studio - 3 Beds,"1868 E Washington Ave, Madison, WI 53704"
0,"$1,650 - 3,350",1-2 Beds,"1689 Capital Ave, Madison, WI 53705"
0,"$1,715 - 3,935",Studio - 2 Beds,"179 W Wilson St, Madison, WI 53704"
0,"$1,880 - 3,915",Studio - 2 Beds,"4702 Madison Yards Way, Madison, WI 53705"
0,"$1,035 - 2,110",Studio - 5 Beds,"339 W Gorham St, Madison, WI 53703"
0,"$1,400 - 2,900",Studio - 2 Beds,"512 S Yellowstone Dr, Madison, WI 53719"
0,"$1,195 - 1,895",1-2 Beds,"5015 Sheboygan Ave, Madison, WI 53705"
0,"$1,160 - 1,649",1-2 Beds,"2517 Pheasant Ridge Trl, Madison, WI 53717"
0,"$960 - 1,085",1 Bed,"620 W Badger Rd, Madison, WI 53713"
0,"$1,350 - 1,675",Studio - 3 Beds,"800 W Broadway, Monona, WI 53713"
0,"$1,462 - 2,955",Studio - 3 Beds,"1312 John Q Hammons Dr, Middleton, WI 53562"
0,"$1,295 - 3,035",1-3 Beds,"4888 Brassica Rd, Fitchburg, WI 53711"
0,"$1,409 - 1,689",Studio - 1 Bed,"2676 N Park Ln, Fitchburg, WI 53711"
0,"$1,375 - 1,600",1-2 Beds,"925 Harrington Dr, Madison, WI 53718"
0,"$1,325 - 1,850",1-2 Beds,"6902 East Pass, Madison, WI 53719"
0,"$1,199 - 2,099",Studio - 2 Beds,"4603 DiLoreto Ave, Madison, WI 53704"
0,"$1,299 - 3,899",Studio - 3 Beds,"110 N Livingston St, Madison, WI 53703"
0,"$1,380 - 2,500",Studio - 2 Beds,"2221 Sherman Ave, Madison, WI 53704"
0,"$1,365 - 3,650",Studio - 2 Beds,"1010 E Washington Ave, Madison, WI 53703"
0,"$1,310 - 3,950",Studio - 3 Beds,"5711 Slate Dr, Madison, WI 53718"
0,"$2,080",2 Beds,"7920 Watts Rd, Madison, WI 53719"
0,"$1,475 - 2,580",Studio - 3 Beds,"1827 E Washington Ave, Madison, WI 53704"
0,"$1,385 - 3,000",Studio - 3 Beds,"3515 Cross Hill Dr, Madison, WI 53718"
0,"$1,560 - 3,749",Studio - 2 Beds,"1008 S Park St, Madison, WI 53715"
0,"$1,025 - 3,850",Studio - 2 Beds,"216 S Pinckney St, Madison, WI 53703"
0,"$1,540 - 3,905",Studio - 3 Beds,"1050 E Washington Ave, Madison, WI 53703"
0,"$1,490 - 1,565",1 Bed,"6518 Milwaukee St, Madison, WI 53718"
0,"$1,545 - 5,380",Studio - 3 Beds,"4002 Manchester Rd, Madison, WI 53719"
0,"$1,275 - 2,465",1-2 Beds,"5909 Sharpsburg Dr, Madison, WI 53718"
0,"$1,615 - 3,700",1-2 Beds,"510 W Washington Ave, Madison, WI 53703"
0,"$1,299 - 2,299",Studio - 2 Beds,"5601 Fraser Cir, Madison, WI 53718"
0,"$1,300 - 2,100",1-3 Beds,"1 High Point Oaks Ln, Madison, WI 53719"
0,"$1,485 - 4,025",Studio - 3 Beds,"822 E Washington Ave, Madison, WI 53703"
0,"$2,415 - 2,650",2 Beds,"251 S Yellowstone Dr, Madison, WI 53705"
0,"$1,550 - 2,595",1-2 Beds,"7602 Midtown Rd, Madison, WI 53719"
0,"$1,550 - 1,795",2 Beds,"477 S High Point Rd, Madison, WI 53719"
0,"$1,469 - 2,799",Studio - 2 Beds,"960 John Nolen Dr, Madison, WI 53713"
0,"$1,425 - 1,765",1-2 Beds,"1124 N High Point Rd, Madison, WI 53717"
